judul,provinsi,id_teks,teks,referensi
Si Kabayan,Jawa Barat,1,"di tanah pasundan, hiduplah seorang lelaki bernama kabayan, yang terkenal dengan sifatnya yang pemalas, bodoh, namun anehnya selalu penuh akal. ia sering menggunakan akal bulusnya untuk mendukung kemalasannya. kabayan telah menikah dengan nyi iteung, tetapi mertuanya sangat kesal dengan sifat malas kabayan. meski sering dimarahi, kabayan selalu berhasil menghadapi mertuanya dengan kecerdikannya.","nang tanah pasundan, urip wong lanang jenenge kabayan, sing misuwur merga watake pemalas, bodho, nanging anehe tansah kebak akal. dheweke kerep nganggo akal buluse kanggo ndhukung kemalasane. kabayan wis omah-omah karo nyi iteung, nanging mertuane banget nesu karo watak malase kabayan. sanajan kerep dimarahi, kabayan tansah isa ngadhepi mertuane nganggo kecerdikane."
Si Kabayan,Jawa Barat,2,"suatu hari, mertua kabayan menyuruhnya mencari tutut, sejenis siput kecil di sawah, untuk dimasak. kabayan pun pergi ke sawah, tetapi bukannya mencari tutut, ia malah duduk santai di pematang sawah.","sawijining dina, mertuane kabayan nyuruh dheweke golek tutut, sawijining jinis siput cilik nang sawah, kanggo dimasak. kabayan banjur lunga menyang sawah, nanging ora golek tutut, malah lungguh santai nang pematang sawah."
Si Kabayan,Jawa Barat,3,"setelah lama menunggu, mertua kabayan menyusulnya ke sawah dan sangat marah melihat kabayan yang hanya bersantai.","sawise suwe ngenteni, mertuane kabayan nyusul dheweke menyang sawah lan banget nesu weruh kabayan mung ngaso."
Si Kabayan,Jawa Barat,4,"hai kabayan aku suruh cari tutut, kenapa malah duduk-duduk dasar pemalas teriak mertuanya.","hai kabayan aku nyuruh golek tutut, kok malah lungguh-lungguh dasar pemalas bengok mertuane."
Si Kabayan,Jawa Barat,5,"kabayan menjawab dengan santai, aduh, abah, aku takut masuk sawah. sawah ini sangat dalam. lihat, sampai-sampai langit terlihat di airnya","kabayan mangsuli kanthi santai, aduh, abah, aku wedi mlebu sawah. sawah iki jero banget. delok, nganthi langit katon nang banyune"
Si Kabayan,Jawa Barat,6,"kesal mendengar alasan kabayan, mertuanya langsung mendorongnya ke sawah. kabayan tersenyum sambil berkata, oh, ternyata sawahnya dangkal, ya. setelah itu, barulah ia mulai mengambil tutut.","nesu krungu alesane kabayan, mertuane langsung ndorong dheweke mlebu sawah. kabayan mesem sambil kandha, oh, jebule sawahe cethek, ya. sawise kuwi, dheweke wiwit njupuk tutut."
Si Kabayan,Jawa Barat,7,"suatu hari, kabayan jatuh sakit karena kehujanan. ia pilek dan batuk, sehingga hanya meringkuk di tempat tidur. nyi iteung merasa khawatir dan membawanya ke puskesmas.","sawijining dina, kabayan lara merga kudanan. dheweke pilek lan watuk, nganthi mung ngeringkuk nang amben. nyi iteung krasa kuwatir lan nggawa dheweke menyang puskesmas."
Si Kabayan,Jawa Barat,8,"di puskesmas, pak mantri memberikan dua macam obat dan berpesan agar kabayan cukup makan, minum obat sesuai aturan, dan beristirahat. setelah pulang, kabayan meminum obatnya dan beristirahat.","nang puskesmas, pak mantri maringi obat loro lan pesen supaya kabayan cukup mangan, ngombe obat sesuai aturan, lan ngaso. sakwise bali, kabayan ngombe obate lan ngaso."
Si Kabayan,Jawa Barat,9,"namun, ketika sore tiba, kabayan lupa membaca aturan di botol obat batuk yang bertuliskan kocok dahulu sebelum diminum. karena tidak ingin melanggar aturan, kabayan mulai meloncat-loncat di rumah sambil berkata, aku sedang mengocok obat di dalam perutku","nanging, pas sore teka, kabayan lali maca aturan nang botol obat watuk sing ditulis kocok dhisik sakdurunge diombe. merga ora kepengin ngelanggar aturan, kabayan wiwit mlumpat-mlumpat nang omah sambil kandha, aku lagi ngocok obat nang jero wetengku"
Si Kabayan,Jawa Barat,10,"nyi iteung yang melihatnya hanya bisa menggeleng sambil tertawa, aduh, kang kabayan. obatnya nggak perlu dikocok seperti itu.","nyi iteung sing weruh mung isa nggeleng sambil ngguyu, aduh, kang kabayan. obate ora perlu dikocok kaya ngono."
