judul,provinsi,id_teks,teks,referensi
Si Keliling,Aceh,1,"pada zaman dahulu, di sebuah kampung dekat kerajaan jambi, hiduplah sepasang suami istri yang sudah tua. mereka telah menikah puluhan tahun, namun belum juga dikaruniai seorang anak. segala usaha dan doa telah mereka panjatkan kepada yang maha kuasa, tetapi belum juga dikabulkan.","ing jaman mbiyen, ana sepasang bojo sing wis sepuh urip ing sawijining kampung cedhak karajan jambi. wis puluhan taun bojone bebrayan, nanging durung tau nduwe anak. kabeh usaha lan donga wis dipanjatke marang sing maha kuwasa, nanging durung uga dikabulkake."
Si Keliling,Aceh,2,"suatu saat, di tengah keputusasaan, mereka memanjatkan doa dengan penuh kerendahan hati: ya tuhan, berikanlah kami keturunan, walaupun hanya sebesar kelingking. kami akan menerimanya dengan ikhlas.","siji wektu, nalika lagi kerasa putus asa, wong loro kuwi ndonga nganggo rasa andhap asor:"
Si Keliling,Aceh,3,"akhirnya, doa mereka dikabulkan. sang istri hamil, meskipun awalnya sang suami tidak percaya karena tidak ada tanda-tanda kehamilan. namun, istrinya meyakinkan bahwa inilah jawaban atas doa mereka. bayi yang dikandung memang hanya sebesar kelingking.","âya gusti, paringana kula turun, sanajan mung sak gedhe driji cilik. kula bakal nampani kanthi ikhlas.â"
Si Keliling,Aceh,4,"sembilan bulan kemudian, lahirlah seorang bayi laki-laki sebesar kelingking. pasangan tersebut sangat bahagia dan menamainya kelingking. meskipun tubuhnya kecil, mereka merawatnya dengan penuh kasih sayang.","akhire, donga kuwi dikabulke. sing wadon ngandhut, senajan bojone awale ora percaya merga ora ana tandha-tandha ngandhut. nanging, bojone yakin menawa kuwi jawaban saka donga-donga sing wis diucapke. bayi sing dikandhut tenan mung sak gedhe driji cilik."
Si Keliling,Aceh,5,"waktu berlalu, kelingking tumbuh menjadi seorang pemuda yang pintar dan cerdas, meski tubuhnya tetap kecil.","sawise sangang wulan, lairlah bayi lanang sing ukurane mung sak gedhe driji cilik. pasangan kuwi banget bungahe lan jenenge bayi kuwi kelingking. senajan awake cilik, wong tuwane ngopeni nganggo katresnan sing gedhe."
Si Keliling,Aceh,6,"suatu hari, kampung mereka didatangi oleh raksasa kelaparan. penduduk kampung ketakutan dan melarikan diri. namun, kelingking justru ingin melawan raksasa tersebut. setelah berhasil membujuk kedua orang tuanya, ia mendapatkan restu untuk melawan.","wektu lumaku, kelingking tuwuh dadi nom-noman sing pinter lan cerdas, senajan awake tetep cilik."
Si Keliling,Aceh,7,"kelingking meminta ayahnya menggali sebuah lubang untuk bersembunyi. ketika raksasa tiba, ia marah melihat kampung yang sepi dan mulai berteriak memanggil penduduk. dari dalam lubang, kelingking membalas teriakan raksasa dengan suara yang lebih keras.","ing salah sawijining dina, kampunge diserang dening raseksa sing kaliren. warga kampung padha wedi lan podo mlayu. nanging, kelingking malah kepengin ngelawan raseksa kuwi. sawise bisa mbujuk wong tuwane, dheweke oleh restu kanggo ngelawan."
Si Keliling,Aceh,8,"raksasa menjadi bingung karena mendengar suara keras tetapi tidak melihat siapa pun. ia memanggil lagi, namun kelingking kembali membalas dengan suara lebih keras. akhirnya, raksasa ketakutan dan melarikan diri. dalam pelariannya, ia jatuh ke jurang dan tewas.","kelingking nyuwun marang bapake kanggo nggali bolongan kanggo ndhelik. nalika raseksa teka, raseksa nesu ndelok kampung sepi lan wiwit njerit-njerit nyeluk warga. saka njero bolongan, kelingking mbales swarane raseksa nganggo swara sing luwih banter."
Si Keliling,Aceh,9,"keberhasilan kelingking sampai ke telinga raja. ia dipanggil ke istana untuk memastikan kebenaran ceritanya. raja mengancam, jika kelingking berbohong, ia akan dimasukkan ke kandang tikus peliharaan putri. namun, kelingking menyanggupi pembuktian dengan syarat jika ia benar, raja harus mengangkatnya menjadi panglima kerajaan.","raseksa bingung merga krungu swara banter nanging ora ndelok sapa-sapa. dheweke nyeluk maneh, nanging kelingking mbales maneh nganggo swara luwih banter. akhire, raseksa kuwi wedi lan mlayu. nalika mlayu, dheweke tiba ing jurang lan mati."
Si Keliling,Aceh,10,"seminggu kemudian, kelingking dan ayahnya menemukan bangkai raksasa di jurang. mereka membawa bukti itu ke kerajaan. dengan kesaksian ayah dan ibunya, raja percaya dan mengangkat kelingking sebagai panglima kerajaan.","kabeh keberhasilane kelingking nganti tekan kupinge raja. dheweke diundang menyang karajan kanggo mbuktekake critane. raja ngancem, yen kelingking ngapusi, dheweke bakal dilebokke ing kandhang tikus sing dadi kewan kesayangane putri. nanging, kelingking gelem mbuktekake kanthi syarat yen critane bener, raja kudu ngangkat dheweke dadi panglima karajan."
Si Keliling,Aceh,11,"beberapa bulan kemudian, kelingking meminta kedua orang tuanya untuk melamar putri raja. awalnya, raja marah dan menolak. namun, setelah kelingking menyampaikan lamarannya langsung di hadapan raja dan sang putri, putri membujuk ayahnya untuk menerima lamaran tersebut.","seminggu sakbanjure, kelingking lan bapake nemokake bangke raseksa ing jurang. bukti kuwi digawa menyang karajan. kanthi kesaksian bapak lan ibune, raja percaya lan ngangkat kelingking dadi panglima karajan."
Si Keliling,Aceh,12,"akhirnya, raja menyetujui pernikahan mereka. pesta pernikahan berlangsung meriah selama tujuh hari tujuh malam. namun, di pelaminan, hanya sang putri yang tampak, karena tubuh kelingking yang kecil.","sawetara wulan sakbanjure, kelingking nyuwun marang wong tuwane kanggo ngelamar putri raja. awale, raja nesu lan nolak. nanging, sawise kelingking ngandhakake lamaran langsung ing ngarsane raja lan sang putri, sang putri mbujuk bapake supaya nampa lamaran kuwi."
Si Keliling,Aceh,13,"setelah pernikahan, raja memberikan separuh wilayah kerajaan kepada kelingking untuk memimpin bersama sang putri. namun, putri merasa kecewa karena kelingking sering pergi diam-diam. setiap kali kelingking pergi, seorang pemuda gagah menunggang kuda putih selalu datang ke kediaman mereka.","akhire, raja sarujuk karo pernikahan kuwi. pesta rabine dheweke dirayakake meriah nganthi pitu dina pitu bengi. nanging, ing pelaminan mung sang putri sing katon, merga kelingking awake cilik banget."
Si Keliling,Aceh,14,"rasa curiga muncul dalam diri sang putri. suatu malam, ia diam-diam mengikuti kelingking ke sebuah sungai. di sana, ia melihat suaminya membuka pakaian dan menyembunyikannya di balik semak-semak, lalu masuk ke sungai sambil berdoa kepada tuhan yang maha kuasa. tiba-tiba, kelingking berubah menjadi pemuda gagah yang selalu datang ke istana.","sawise omah-omah, raja maringi separo wilayah karajan marang kelingking kanggo dipimpin bareng sang putri. nanging, sang putri krasa kecewa merga kelingking kerep lunga meneng-meneng. saben kelingking lunga, ana nom-noman gagah nunggang jaran putih tansah teka ing omahe."
