judul,provinsi,id_teks,teks,referensi
Si Nome,Maluku,1,"di sebuah kampung yang tidak begitu besar, hiduplah seorang perempuan tua. perempuan tua ini sudah lama ditinggalkan suaminya. ketika suaminya masih hidup, pekerjaannya sehari-hari adalah mencari upah, pergi pagi dan pulang petang. kadang-kadang, jika tidak mendapatkan pekerjaan, ia pergi ke hutan memotong kayu untuk dijadikan papan. bila musim bercocok tanam tiba, ia membantu orang menanam padi, meluku, membuat pematang, menginjak padi, membersihkan lereng pematang, dan sebagainya. ketika padi hampir berbuah, ia mencari daun dan menjalin daun-daun itu untuk membuat atap rumah. ketika musim panen tiba, ia mengumpulkan padi dan mengangkutnya ke lumbung. begitulah pekerjaan suaminya sewaktu masih hidup.","ing sawijining kampung sing ora gedhe banget, ana wong wadon tuwa. wong wadon tuwa iki wis suwe ditinggal bojone. nalika bojone isih urip, kerjane saben dina golek upah, lunga esuk lan mulih sore. kadhangkala, yen ora oleh kerja, dheweke lunga menyang alas motong kayu kanggo digawe papan. nalika mangsa tandur teka, dheweke nulungi wong nandur pari, nguluk, nggawe empang, nginjih pari, resik-resik pinggir empang, lan sapiturute. nalika pari meh ngasil, dheweke golek godhong lan nyepet godhong-godhong kuwi kanggo nggawe atap omah. nalika mangsa panen teka, dheweke nglumpukake pari lan ngangkut menyang lumbung. mangkono kerjane bojone nalika isih urip."
Si Nome,Maluku,2,"namun, setelah suaminya meninggal, ia hidup dalam kemiskinan, tidak memiliki sawah atau kebun, dan tidak memiliki harta apapun. ia tinggal bersama anaknya yang sudah remaja. rumah mereka kecil, dindingnya terbuat dari tepas dengan atap daun yang bocor. anaknya, yang tidak pandai bekerja, hanya menghabiskan waktunya bermain. ketika ayahnya masih hidup, ia tidak pernah diajarkan bekerja. pekerjaan sehari-harinya hanya bermain bersama teman-temannya, pulang ke rumah untuk makan, dan tidur hingga matahari terbenam. begitulah setiap hari, dan karena itu, ia dijuluki si nome.","nanging, sawise bojone mati, dheweke urip ing mlarat, ora nduwe sawah utawa kebon, lan ora nduwe bandha apa-apa. dheweke manggon bareng karo anake sing wis diwasa. omahe cilik, temboke digawe saka tepas karo atap godhong sing bocor. anake, sing ora pinter kerja, mung ngentekake wektu dolanan. nalika bapake isih urip, dheweke ora tau diajari kerja. kerjane saben dina mung dolanan karo kancane, mulih omah mangan, lan turu nganti srengenge surup. mangkono saben dina, lan amarga kuwi, dheweke dijuluki si nome."
Si Nome,Maluku,3,"karena suaminya sudah tiada, perempuan tua ini terpaksa bekerja mencari nafkah, melakukan pekerjaan yang dahulu dilakukan suaminya. saat musim bercocok tanam, ia membantu orang menanam padi. begitu pula ketika musim panen, ia membantu mengangkut padi. meskipun hidupnya penuh kesulitan, ia tidak pernah merasakan kenikmatan hidup. yang paling berat baginya adalah ketika musim paceklik tiba, ketika tidak ada pekerjaan dan makanan menjadi langka. ketika kesulitan sudah mencapai puncaknya, ia terpaksa meminjam beras dari tetangganya. namun, seringkali permintaannya ditolak.","amarga bojone wis ora ana, wong wadon tuwa iki kepeksa kerja golek panguripan, nindakake kerja sing biyen dilakoni bojone. nalika mangsa tandur, dheweke nulungi wong nandur pari. uga nalika mangsa panen, dheweke nulungi ngangkut pari. senajan uripe kebak kasangsaran, dheweke ora tau ngrasakake nikmate urip. sing paling abot kanggo dheweke yaiku nalika mangsa paceklik teka, nalika ora ana kerjaan lan panganan dadi arang. nalika kasangsaran wis tekan puncake, dheweke kepeksa njaluk beras saka tanggane. nanging asring panjaluke ditolak."
Si Nome,Maluku,4,"suatu hari, ibu itu memanggil anaknya, si nome. win, ke sini kamu, katanya. si nome mendekat dan duduk di dekat ibunya. ibu itu berkata, win, kamu sudah besar, pasti kamu bisa menolong ibumu. apa yang bisa dikerjakan orang, cobalah kerjakan juga. mudah-mudahan hidup kita menjadi lebih baik. ibu sudah tua, tenagaku semakin berkurang. ibu merasa lelah sekali, rasanya tidak sanggup lagi bekerja, apalagi pekerjaan yang berat.","siji dina, ibu kuwi nelpon anake, si nome. win, mari kene, ujare. si nome cedhak lan lenggah cedhak ibune. ibu kuwi kandha, win, kowe wis gedhe, mesthi kowe isa nulungi ibumu. apa sing isa dikerjake wong, coba gawe uga. mugo-mugo urip kita dadi luwih apik. ibu wis tuwa, tenaga ibu saya suda. ibu kroso kesel banget, rasane ora kuat maneh kerja, apalagi kerja sing abot."
Si Nome,Maluku,5,"si nome tercengang dan melihat ke mulut ibunya. tiba-tiba ia merasa kasihan pada ibunya. dengan mata yang terbelalak, ia berpikir, apa pekerjaan yang bisa saya kerjakan untuk mencari upah di sawah, saya tidak pandai. untuk memotong kayu, saya juga belum bisa. saya ingin bekerja di kebun, tetapi saya tidak memiliki tanah. namun, karena mendengar perkataan ibunya, ia berkata, ibu, kalau begitu besok saya akan mencari pekerjaan. mudah-mudahan saya akan mendapatkannya.","si nome gumun lan ndelok tutuk ibune. dumadakan krasa susah ati ndelok ibune. kanthi mata mblekuk, dheweke mikir, apa kerjaan sing isa tak gawe golek upah ing sawah, aku ora pinter. motong kayu, aku uga durung isa. aku pengin kerja ing kebon, nanging aku ora nduwe lemah. nanging, amarga krungu omongan ibune, dheweke kandha, ibu, yen mangkono sesuk aku bakal golek kerjaan. mugo-mugo aku isa oleh."
Si Nome,Maluku,6,"keesokan harinya, setelah matahari terbit, ia pamitan pada ibunya dan berangkat tanpa tujuan yang jelas. setelah berjalan cukup jauh, tubuhnya mulai merasa lelah, dan perutnya terasa lapar. ia berteduh di bawah pohon, merasa sangat lelah, hingga akhirnya tertidur. ketika terbangun, ia melihat matahari sudah condong ke barat, dan berniat pulang. namun, tak lama berjalan, ia mendengar jeritan seekor kucing. ia mendekat dan melihat seekor kucing yang akan dibunuh. si nome bertanya, mengapa kucing itu, bang orang yang memegang kucing itu menjawab, kucing ini jahat. ia hanya menghabiskan makanan di rumah, tetapi tidak mau menangkap tikus. lebih baik dibunuh saja daripada terus mengacau. si nome menyahut, jangan dibunuh, bang. saya bawa saja kucing ini ke rumah. orang itu terkejut, kucing ini tidak baik. kalau kamu ingin, silakan bawa, tapi jangan mengharapkan apa-apa darinya. si nome merasa kasihan dan membawa kucing itu pulang ke rumah.","sesuke, sawise srengenge munggah, dheweke pamitan marang ibune lan lunga tanpa tujuan sing cetha. sawise mlaku cukup adoh, badane wiwit kroso kesel, lan wetenge krasa luwe. dheweke ngadem ing ngisor wit, kroso banget kesel, nganti pungkasane turu. nalika tangi, dheweke ndelok srengenge wis miring menyang kulon, lan arep mulih. nanging, ora suwe mlaku, dheweke krungu tangisan kucing. dheweke cedhak lan ndelok kucing sing arep dipateni. si nome takon, ngapa kucing kuwi, bang wong sing nyekel kucing kuwi mangsuli, kucing iki ala. dheweke mung ngentekake panganan ing omah, nanging ora gelem nangkep tikus. luwih becik dipateni ketimbang terus ngerepotke. si nome njawab, aja dipateni, bang. aku bakal nggawa kucing iki menyang omah. wong kuwi kaget, kucing iki ora apik. yen kowe arep, silakan digawa, nanging aja ngarep-arep apa-apa saka dheweke. si nome kroso susah ati lan nggawa kucing kuwi mulih."
Si Nome,Maluku,7,"sesampainya di rumah, ibunya melihatnya membawa kucing dan bertanya, anakku, kenapa kau membawa kucing makanan kita saja tidak cukup, apalagi untuk kucing ini. si nome menjawab, ibu, tidak apa-apa. saya akan memberi makan kucing ini dengan bagian makananku. meskipun ragu, ibunya akhirnya tidak berkata apa-apa.","tekan omah, ibune ndelok nggawa kucing lan takon, anakku, ngapa kowe nggawa kucing panganan kita wae ora cukup, apalagi kanggo kucing iki. si nome mangsuli, ibu, ora apa-apa. aku bakal maringi mangan kucing iki nganggo bagian mangananku. senajan ragu, ibune pungkasane ora ngomong apa-apa."
Si Nome,Maluku,8,"keesokan harinya, setelah makan pagi, si nome kembali pergi mencari pekerjaan. hari demi hari ia mencari pekerjaan, namun tak kunjung menemukannya. pada suatu hari, setelah berjalan cukup jauh, tubuhnya kembali merasa lelah dan perutnya lapar. ia beristirahat di bawah sebuah pohon, dan tiba-tiba terdengar suara lengkingan anjing. ia mendekat dan melihat seseorang sedang memukuli anjing. si nome bertanya, mengapa anjing itu dipukul orang itu menjawab, anjing ini tidak mau berburu kijang. semua anjing lain mengikuti jejak kijang, tetapi anjing ini tidak. jadi, saya harus memukulnya. si nome merasa kasihan dan berkata, jangan bunuh anjing itu, bang. berikan saja padaku. orang itu merasa kasihan dan memberikan anjing itu pada si nome.","sesuke, sawise mangan esuk, si nome bali lunga golek kerjaan. saben dina dheweke golek kerjaan, nanging durung tau oleh. ing sawijining dina, sawise mlaku cukup adoh, badane maneh kroso kesel lan wetenge luwe. dheweke ngaso ing ngisor wit, lan dumadakan krungu lengkingan asu. dheweke cedhak lan ndelok ana wong sing nyabet asu. si nome takon, ngapa asu kuwi disabet wong kuwi mangsuli, asu iki ora gelem mburu wedhus. kabeh asu liyane manut jejak wedhus, nanging asu iki ora. mula, aku kudu nyabete. si nome kroso susah ati lan kandha, aja mateni asu kuwi, bang. wenehna wae marang aku. wong kuwi kroso susah ati lan maringi asu kuwi marang si nome."
Si Nome,Maluku,9,"sesampainya di rumah, ibunya kembali bertanya, anakku, hari sudah senja. apa yang kau bawa pulang si nome menjawab, hanya ini, ibu, seekor anjing. ibu itu terheran, untuk apa kita memelihara anjing, anakku bukankah kita sudah kesulitan tidak apa-apa, ibu. saya akan memberi makan anjing ini dengan bagian makananku, jawab si nome.","tekan omah, ibune mbaleni takon, anakku, dina wis sore. apa sing kowe nggawa mulih si nome mangsuli, mung iki, ibu, siji asu. ibu kuwi kaget, kanggo apa kita ngopeni asu, anakku apa ta kita wis susah ora apa-apa, ibu. aku bakal maringi mangan asu iki nganggo bagian mangananku, wangsul si nome."
Si Nome,Maluku,10,"begitulah, si nome terus mencari pekerjaan, meskipun setiap harinya ia hanya membawa hewan peliharaan seperti kucing dan anjing. setiap kali ibunya meragukan keputusan si nome, si nome selalu meyakinkan ibunya untuk tidak khawatir. namun, suatu hari si nome menemukan ular yang hampir dibunuh oleh seseorang. si nome, dengan rasa kasihan, membawa ular itu pulang, meskipun ular itu memberinya peringatan bahwa jika ia membawanya pulang, ular itu akan memberikan kulitnya yang dapat mendatangkan keberuntungan jika dibakar.","mangkono, si nome terus golek kerjaan, senajan saben dina mung nggawa kewan piaraan kaya kucing lan asu. saben wektu ibune ragu karo keputusan si nome, si nome tansah ngyakinake ibune supaya ora kuwatir. nanging, sawijining dina si nome nemokake ula sing meh dipateni wong. si nome, karo rasa susah ati, nggawa ula kuwi mulih, senajan ula kuwi menehi pitutur yen yen dibawa mulih, ula kuwi bakal maringi kulite sing isa nggawa begja yen dibakar."
Si Nome,Maluku,11,"dengan penuh harapan, si nome memutuskan untuk membawa ular itu pulang, meskipun ibunya merasa khawatir. namun, setelah beberapa hari, sarung ular itu hilang dari tempatnya, dan si nome merasa gelisah. kucing peliharaannya kemudian mendekat dan menawarkan untuk mencari sarung ular yang hilang itu. dengan bantuan kucing dan anjing, si nome akhirnya menemukan sarung ular itu dan mengungkap rahasia yang terkandung di dalamnya.","kanthi pangarep-arep, si nome mutusake nggawa ula kuwi mulih, senajan ibune kroso kuwatir. nanging, sawise sawetara dina, sarung ula kuwi ilang saka panggonane, lan si nome kroso gelisah. kucing piaraane banjur cedhak lan nawakake kanggo golek sarung ula sing ilang kuwi. kanthi pitulungan kucing lan asu, si nome pungkasane nemokake sarung ula kuwi lan mbukak rahasia sing ana ing njero."
Si Nome,Maluku,12,"ternyata sarung ular itu ada di dalam tong ini. kucing itu pun masuk lebih jauh dan segera mencari sarung ular yang dimaksud. setelah beberapa saat mencari, kucing itu akhirnya menemukan sarung ular di dalam tong yang tersembunyi di sudut rumah. dengan hati-hati, kucing itu mengangkat sarung ular itu dan membawanya keluar.","ternyata sarung ula kuwi ana ing njero tong iki. kucing kuwi mlebu luwih adoh lan enggal golek sarung ula sing dimaksud. sawise sawetara wektu nggolek, kucing kuwi pungkasane nemokake sarung ula ing njero tong sing kasembunyi ing pojok omah. kanthi ati-ati, kucing kuwi ngangkat sarung ula kuwi lan nggawa metu."
Si Nome,Maluku,13,"setelah keluar dari rumah itu, kucing kembali menemui anjing yang sedang menunggu di luar. mereka berdua kemudian berjalan pulang menuju rumah si nome. dalam perjalanan pulang, mereka tidak lagi merasa cemas karena tahu sarung ular yang hilang telah ditemukan.","sawise metu saka omah kuwi, kucing bali ketemu asu sing lagi ngenteni ing njaba. karo padha mlaku bali menyang omah si nome. ing perjalanan bali, padha ora kroso kuatir maneh amarga ngerti sarung ula sing ilang wis ditemokake."
Si Nome,Maluku,14,"sesampainya di rumah, si nome sangat senang melihat kucing dan anjing kembali dengan membawa sarung ular yang hilang. ibu, lihat sarung ular itu sudah kembali seru si nome dengan penuh kegembiraan.","tekan omah, si nome banget bungah ndelok kucing lan asu bali karo nggawa sarung ula sing ilang. ibu, deloken sarung ula kuwi wis bali seru si nome kanthi kabungahan."
Si Nome,Maluku,15,"ibunya yang sedang sibuk di dapur pun keluar dan melihat sarung ular itu. wah, syukurlah anakku, ternyata kamu berhasil menemukannya apa yang kamu lakukan dengan sarung ini, anakku","ibune sing lagi sibuk ing pawon banjur metu lan ndelok sarung ula kuwi. wah, matur nuwun anakku, ternyata kowe bisa nemokake apa sing kowe lakoni karo sarung iki, anakku"
Si Nome,Maluku,16,si nome pun menceritakan kisah pertemuannya dengan ular dan bagaimana ular itu menawarkan bantuan jika dia bisa membawa sarungnya. ibunya pun merasa lega dan berterima kasih atas usaha anaknya.,si nome banjur nyritakake crita ketemu karo ula lan carane ula kuwi nawakake pitulungan yen isa nggawa sarunge. ibune banjur kroso lega lan matur nuwun marang usaha anake.
