judul,provinsi,id_teks,teks,referensi
Si Pahit Lidah,Sumatera Selatan,1,"pada zaman dahulu, ada seorang anak muda bernama pagar bumi yang memiliki enam saudara. keenam saudaranya mengembara jauh sekali hingga tidak tahu di mana mereka berada. pada suatu hari, pagar bumi bertemu dengan ahli peramal kerajaan, dan diramal bahwa kelak pagar bumi akan menjadi tokoh sakti, tetapi kesaktiannya dapat membahayakan kerajaan. setelah mendengar ramalan tersebut, pagar bumi bersama ibunya dipanggil ke istana untuk menghadap sang raja. di hadapan raja, pagar bumi diperintahkan untuk segera meninggalkan kerajaan jawa dan diasingkan ke pulau sumatra. mendengar perintah raja ini, ibunya menangis tersedu-sedu. saat itu juga, pagar bumi meninggalkan kampungnya dan berjalan ke arah barat selama beberapa hari. dalam perjalanan yang memakan waktu berhari-hari, tibalah ia di sebuah kampung yang termasuk wilayah kerajaan yang diperintah oleh seorang ratu wanita sakti yang memiliki ilmu gaib.","ing jaman mbiyen, ana sawijining nom-noman jenenge pagar bumi sing nduweni enem sedulur. enem sedulure kuwi lunga adoh banget nganti ora ngerti ana ngendi. ing sawijining dina, pagar bumi ketemu karo ahli peramal kraton, lan diramal yen mengko pagar bumi bakal dadi tokoh sakti, nanging kesaktianne bisa mbebayani kraton. sawise krungu ramalan kuwi, pagar bumi karo ibune dipanggil menyang kraton kanggo ngadhep sang raja. ing ngarsane raja, pagar bumi diparentah supaya langsung ninggalake kraton jawa lan diasingake menyang pulo sumatra. krungu prentah kuwi, ibune nangis sesenggukan. wektu kuwi uga, pagar bumi ninggalake desane lan mlaku menyang kulon pirang-pirang dina."
Si Pahit Lidah,Sumatera Selatan,2,"di kampung itu, ia berkenalan dengan seorang pemuda. mereka mendengar kabar bahwa sang ratu membuka kesempatan bagi siapa saja yang ingin belajar ilmu kesaktian. kemudian, kedua pemuda tersebut pergi ke tempat sang ratu untuk menimba ilmu. setibanya di kerajaan, teman pagar bumi mendapat giliran pertama untuk belajar ilmu sakti. pagar bumi terpaksa menunggu di pendopo ruang tunggu. ia menunggu lama sekali hingga terlelap tidur. temannya sudah selesai belajar, namun pagar bumi masih tidur, meskipun namanya sudah berulang kali dipanggil untuk menghadap sang ratu. anehnya, temannya tidak mau membangunkan pagar bumi, tetapi langsung pulang. karena namanya dipanggil berulang kali untuk menghadap sang ratu, akhirnya pagar bumi dibangunkan oleh para pengawal ratu, namun hasilnya tetap sia-sia. kemudian, sang ratu kembali ke ruang dalam. setelah itu, sang ratu keluar sambil membawa air putih yang telah diberi mantra dan ramuan, lalu dituangkannya ke dalam mulut pagar bumi. pagar bumi pun terbangun dan dalam keadaan sadar. ia sangat tercengang saat berada di hadapan sang ratu dan para hulubalang yang kejam-kejam itu. ia bertanya tentang keberadaan temannya, dan para pengawal menjelaskan bahwa temannya tertidur lelap meskipun sudah beberapa kali dibangunkan. mendengar penjelasan itu, pagar bumi merasa malu, lalu segera mohon izin pulang karena ia lupa niatnya untuk berguru kepada sang ratu.","sakwise lelungan pirang-pirang dina, dheweke tekan ing sawijining desa sing isih wilayah kraton sing dipimpin dening ratu wanita sakti sing nduweni ilmu gaib. ing kono, dheweke kenalan karo nom-noman liya. wong loro kuwi krungu kabar yen sang ratu mbukak kesempatan kanggo sapa wae sing pengin sinau ilmu kasakten. banjur, wong loro kuwi lunga menyang panggonane sang ratu kanggo nyinau ilmu. tekan kraton, kancane pagar bumi entuk giliran dhisik kanggo sinau ilmu sakti. pagar bumi kudu ngenteni ing pendhapa ruang tunggu. dheweke ngenteni suwe banget nganti nganti turu. kancane wis rampung sinau, nanging pagar bumi isih turu, senajan jenenge wis bola-bali dipanggil kanggo ngadhep sang ratu. anehe, kancane ora gelem mbangunke pagar bumi, malah langsung mulih."
Si Pahit Lidah,Sumatera Selatan,3,"sang ratu berkata kepada para pengawalnya, sekalipun ia tidak sempat belajar ilmu dalam tempo empat puluh hari, ia akan mendapatkan ilmu kesaktian melalui lidahnya karena telah saya beri ramuan berisi mantra gaib ke dalam mulutnya. karena itulah, pagar bumi dikenal sebagai si pahit lidah.","merga jenenge bola-bali dipanggil, pungkasane pagar bumi diundang karo para prajurit ratu, nanging tetep ora tangi. banjur, sang ratu bali mlebu ruang njero. ora suwi, sang ratu metu karo nggawa banyu putih sing wis diwenehi mantra lan ramuan, banjur diwenehke menyang tutuke pagar bumi. pagar bumi banjur tangi lan sadar. dheweke gumun banget nalika ndelok sang ratu lan para hulubalang sing galak-galak kuwi. dheweke takon babagan kancane, lan para prajurit njelaske yen kancane keturon lan ora tangi sanajan wis bola-bali diundang. krungu penjalasan kuwi, pagar bumi kroso isin, banjur njaluk pamit mulih merga lali karo niate kanggo berguru."
Si Pahit Lidah,Sumatera Selatan,4,"pada suatu hari, si pahit lidah pergi menuju ulu menjelajahi sungai ogan. ia mendekati tepi bebatuan yang tampak sebagai tempat pemandian. dari tempat ini terdengar bunyi gendang yang ditabuh bertalu-talu, ramai sekali sorak-sorai. laki-laki dan perempuan tertawa riang. suara ramai itu terdengar dari kejauhan. si pahit lidah berusaha mendekati, dan ternyata dari kejauhan sudah tampak sepasang pengantin diarak dengan payung kebesaran. pengantin itu hendak melakukan mandi pencuci diri. mempelai putra, yaitu anak raja, baru saja menikahi gadis cantik jelita. dari kejauhan, si pahit lidah bertanya, ada pesta apa sekarang namun, tidak ada yang menjawab. di antara mereka, tidak ada yang mendengarnya karena keramaian sorak-sorai dan bunyi gendang yang bertalu-talu. akhirnya, si pahit lidah marah dan berkata, kemungkinan mereka semua itu adalah batu, ditanya kok diam saja. tiba-tiba, keramaian berhenti total, dan semua orang berubah menjadi batu. tempat ini kemudian dikenal dengan nama batu raja.","sang ratu banjur ngendika marang para prajurit, senajan dheweke ora sinau ilmu sajrone patang puluh dina, dheweke bakal entuk ilmu kasakten liwat ilate amarga wis tak wenehi ramuan sing isine mantra gaib menyang tutuke. mula saka kuwi, pagar bumi dikenal karo julukan si pahit lidah."
Si Pahit Lidah,Sumatera Selatan,5,"kini, si pahit lidah terus mengembara. setiap daerah yang dilalui, penduduk setempat merasa takut karena setiap bertemu dengannya, mereka disihir menjadi batu. orang-orang berusaha menjauhi si pahit lidah karena takut disihir. lama-kelamaan, ia dijauhi orang-orang sehingga hidupnya sebatang kara. setiap daerah yang dilalui, masyarakat setempat berusaha untuk membunuhnya dan mengalahkan kesaktiannya. pada suatu hari, penduduk komering hilir meminta bantuan orang sakti bernama puyung suan. ia memberi saran kepada penduduk setempat untuk memberikan potongan jala di pintu masuk kampung. potongan jala itu dibakar, dan abunya dilekatkan di tempat itu.","ing sawijining dina, si pahit lidah lunga menyang ulu nyusuri kali ogan. dheweke nyedhaki pinggir watu-watu sing katon kaya panggonan pemandhian. saka kono krungu swara kendhang ditabuh rame banget, ana geguyon lan sorak-sorak. laki-laki lan wadon padha ngguyu seneng. swara rame kuwi krungu saka adoh. si pahit lidah nyoba nyedhaki, lan saka kadohan wis katon sepasang manten diarak nganggo payung agung. manten kuwi arep adus kanggo nyuci diri. manten lanang, yaiku anak raja, anyar wae nikah karo prawan ayu. saka kadohan, si pahit lidah takon, ana pesta apa saiki nanging ora ana sing mangsuli. ora ana sing krungu merga rame sorak-sorak lan kendhang. akhire, si pahit lidah nesu lan ngucap, mbokmenawa wong-wong kuwi kabeh watu, ditakoni kok meneng wae. dumadakan, keramaian kuwi mandheg, lan kabeh wong malih dadi watu. panggonan kuwi banjur dikenal kanthi jeneng batu raja."
Si Pahit Lidah,Sumatera Selatan,6,"setiba di daerah komering tengah, si pahit lidah melihat jala-jala yang terdapat pada tiang-tiang bambu. ia sudah menduga bahwa daerah ini memiliki kesaktian tinggi, karena jala pun bisa direnda dari abu. maka, ia membatalkan niatnya untuk memasuki daerah itu. kini, posisi si pahit lidah tidak menentu. pada suatu ketika, ia sampai di kerajaan tanjung menang, yang rajanya bernama nurullah, atau empat mata. si pahit lidah melewati kebun jeruk milik raja, yang dijaga oleh tiga puluh tentara. dalam keadaan haus, si pahit lidah meminta satu jeruk, tetapi penjaga kebun tidak berani memberikannya karena takut dimarahi raja. si pahit lidah berkata, ah, sangat kikir, sebuah jeruk pahit saja tidak boleh diminta. keesokan harinya, jeruk yang ada di kebun itu semuanya rasanya pahit, padahal biasanya rasanya manis dan enak.","saiki, si pahit lidah terus ngumbara. saben tlatah sing dilakoni, warga lokal kroso wedi amarga sapa wae sing ketemu dheweke, bakal disihir dadi watu. wong-wong padha ngindhari si pahit lidah merga wedi disihir. suwe-suwe, dheweke dijauhi wong-wong nganti uripe piyambakan. saben tlatah sing dilakoni, masyarakat lokal nyoba mateni lan ngalahke kesaktianne. ing sawijining dina, warga komering hilir njaluk tulung marang wong sakti jenenge puyung suan. dheweke maringi saran supaya warga nyiapke potongan jala ing gapura mlebu kampung. potongan jala kuwi diobong, lan abune dioleske ing panggonan kuwi."
Si Pahit Lidah,Sumatera Selatan,7,"kemudian, penjaga kebun itu menceritakan kejadian yang telah dialami. raja segera memerintahkan bala tentaranya untuk mencari si pahit lidah yang telah menyihir kebunnya. akhirnya, si pahit lidah berhasil ditangkap dan dibawa ke hadapan raja. pada mulanya, ia hendak dihukum, tetapi sang raja justru merangkul si pahit lidah karena ternyata ia adalah kakaknya sendiri. keduanya saling berangkulan karena sudah lama tidak bertemu. wajah si pahit lidah sangat ceria. mulai saat itu, ia diterima sebagai anggota kerajaan dan diberi jabatan sebagai panglima kerajaan.","tekan ing komering tengah, si pahit lidah ndelok jala-jala sing ana ing tiyang pring. dheweke wis curiga yen tlatah kuwi nduweni kasakten gedhe, merga jala wae isa direnda saka abu. mula, dheweke batal mlebu tlatah kuwi. saiki, si pahit lidah ora nduweni panggonan tetep. ing sawijining wektu, dheweke tekan karajan tanjung menang, rajane jenenge nurullah, utawa empat mata. si pahit lidah liwat kebon jeruk kagungane raja, sing dijaga telung puluh prajurit. merga ngelak, si pahit lidah njaluk sakjeruk, nanging penjaga kebon ora wani maringi amarga wedi karo raja. si pahit lidah ngucap, ah, pelit banget, sakjeruk pahit wae ora oleh dijaluk. esuke, jeruk ing kebon kuwi kabeh rasa pahit, padahal biasane manis lan enak."
Si Pahit Lidah,Sumatera Selatan,8,"di kerajaan ini, si pahit lidah menikahi gadis cantik bernama dayang merindu. mereka hidup bahagia di dalam kerajaan. dalam perkawinannya, mereka dikaruniai seorang anak laki-laki, dan hidup mereka semakin bahagia. namun, kedamaian dan kemakmuran kerajaan tanjung menang menimbulkan kecemburuan sosial dari kerajaan-kerajaan tetangga. mereka selalu mengganggu keamanan kerajaan.","penjaga kebon kuwi crita marang raja bab kejadian kuwi. raja langsung mrentahake prajurite golek si pahit lidah sing wis nyihir kebon. akhire, si pahit lidah kasil dicekel lan digawa ngadhep raja. awale, dheweke arep dihukum, nanging raja malah merangkul si pahit lidah merga ternyata dheweke yaiku sedulure dhewe. karo kangen banget, loro-lorone padha rangkulan. wajahe si pahit lidah sumringah. wiwit wektu kuwi, dheweke ditampa dadi warga kraton lan dijaluk dadi panglima kraton."
Si Pahit Lidah,Sumatera Selatan,9,"karena gangguan dari kerajaan tetangga, orang-orang kerajaan bermusyawarah. salah satu usulan dari si pahit lidah adalah untuk membendung alur sungai sugian. usulan itu disetujui, dan si pahit lidah diberikan tugas untuk membendung sungai besar itu. semua kekuatan dikerahkan, dan akhirnya, sungai besar itu hampir selesai dibendung dalam waktu yang cepat. aliran sungai berhenti total, yang menyebabkan perdagangan menurun drastis, bahkan berhenti sama sekali. kerajaan tanjung menang tidak terbuka untuk dunia luar.","ing kraton kuwi, si pahit lidah nikah karo prawan ayu jenenge dayang merindu. uripe seneng lan tentrem. saka pernikahane, dheweke nduweni anak lanang, lan uripe saya bahagia. nanging, tentrem lan makmure karajan tanjung menang njalari iri saka karajan tangga teparo. karajan tangga terus ngganggu ketentreman kraton."
Si Pahit Lidah,Sumatera Selatan,10,"si pahit lidah mengira bahwa dengan kesaktiannya, ia layak menjadi raja daripada saudaranya. ia menyampaikan ambisinya kepada saudara-saudaranya, namun keinginan itu ditolak keras, dan terjadi perdebatan yang seru. musyawarah berulang kali gagal menemukan jalan keluar, hingga akhirnya diadakan adu kesaktian antara kakak dan adik. tempat adu kesaktian itu berada di luar kerajaan, yaitu di bawah pohon enau.","merga gangguan kuwi, wong-wong kraton rembugan. salah siji usulan saka si pahit lidah yaiku mbendung kali sugian. usulan kuwi ditampa, lan si pahit lidah diwenehi tugas mbendung kali gedhe kuwi. kabeh kekuwatan dikerahke, lan pungkasane, kali kuwi meh rampung dibendung ing wektu sing cendhak. aliran kali mandheg, nyebabke perdagangan mati total. karajan tanjung menang dadi ora mbukak kanggo jagad njaba."
