judul,provinsi,id_teks,teks,referensi
Si Parkit Raja Parakeet,Maluku,1,"di dalam hutan yang rimbun dan damai, hiduplah komunitas burung parkit yang harmonis di bawah kepemimpinan seorang raja yang bijaksana. mereka menikmati kebebasan untuk terbang di antara pepohonan tinggi, mengejar matahari terbenam, dan mencari buah-buahan melimpah sebagai sumber makanan. hidup mereka penuh kegembiraan dan kedamaian, hingga suatu hari ketenangan itu terganggu.","nang alas sing rimbun lan tentrem, urip komunitas manuk parkit sing rukun ing ngisore pamarentahan sawijining raja sing wicaksana. wong-wong parkit kuwi ngrasakake kebebasan mabur ing antarane wit-witan dhuwur, mburu srengenge surup, lan golek woh-wohan sing akeh dadi sumber panganane. uripe kebak kabungahan lan tentrem, nganti ing sawijining dina ketentreman kuwi keganggu."
Si Parkit Raja Parakeet,Maluku,2,"seorang pemburu datang ke hutan dengan niat jahat. ia memasang perangkap besar yang dipenuhi buah-buahan menggoda, berharap menangkap sebanyak mungkin burung parkit untuk dijual di pasar. ancaman ini menciptakan kecemasan di antara komunitas burung parkit.","ana sawijining pemburu teka ing alas karo niat ala. dheweke masang jebakan gedhe sing kebak woh-wohan nggodha, muga-muga isa nyekel manuk parkit akeh kanggo didol neng pasar. ancaman kuwi ndadekake rasa kuwatir ing komunitas manuk parkit."
Si Parkit Raja Parakeet,Maluku,3,"raja parkit, dengan kebijaksanaannya, menenangkan para pengikutnya yang gelisah. kita harus tetap waspada dan tenang. bersama-sama, kita akan mencari jalan keluar, ucapnya dengan suara penuh otoritas.","raja parkit, nganggo kawicaksanane, nenangkake para pengikute sing gelisah. âkita kudu tetep waspada lan tenang. bareng-bareng, awake dhewe bakal golek dalan metu,â ujarne nganggo swara sing duwe wibawa."
Si Parkit Raja Parakeet,Maluku,4,"mereka berdiskusi panjang hingga akhirnya memutuskan untuk berpura-pura mati sebagai cara mengelabui pemburu. dengan hati-hati, mereka merencanakan strategi tersebut, bersumpah untuk tetap bersatu dan melawan ancaman tanpa mengorbankan kehidupan mereka.","wong-wong padha rembugan suwe nganti pungkasane mutusake kanggo pura-pura mati dadi cara ngapusi pemburu. kanthi ati-ati, wong-wong kuwi ngerancang strategi kuwi, lan padha sumpah bakal tetep rukun lan ngadhepi ancaman tanpa ngorbanake nyawa."
Si Parkit Raja Parakeet,Maluku,5,"pada hari yang ditentukan, ketika pemburu memeriksa perangkapnya, para burung parkit memainkan peran mereka dengan sempurna. mereka berpura-pura mati, menunggu hingga pintu perangkap terbuka. saat pintu terbuka, mereka segera melompat keluar dan terbang menjauh, meninggalkan pemburu dengan tangan kosong.","ing dina sing wis ditemtokake, nalika pemburu mriksa jebakane, manuk-manuk parkit kuwi mainake perane kanthi sampurna. wong-wong epok-epok mati, ngenteni nganti lawange jebakan mbukak. nalika lawang mbukak, wong-wong langsung mlumpat metu lan mabur adoh, ninggalake pemburu tanpa asil."
Si Parkit Raja Parakeet,Maluku,6,"namun, malang bagi raja parkit. ia tertinggal di dalam perangkap, tak sempat meloloskan diri bersama yang lain. rupanya kalian menipuku seru pemburu dengan amarah, menyadari dirinya telah diperdaya.","nanging, cilakane kanggo raja parkit. dheweke ketinggalan ing njero jebakan, ora sempat metu bareng sing liyane. âternyata kowe nipu akuâ jare pemburu kanthi nesu, merga nyadar wis diapusi."
Si Parkit Raja Parakeet,Maluku,7,"meskipun raja parkit memohon, pemburu memutuskan untuk membawanya pulang. sebagai gantinya, raja parkit harus bernyanyi setiap hari untuk menghibur pemburu. suara raja parkit yang indah dan memikat segera menjadi hiburan favorit sang pemburu, hingga kabar tentang burung parkit bersuara merdu itu sampai ke telinga seorang raja dari istana megah di dekat hutan.","sanajan raja parkit nyuwun tulung, pemburu mutusake kanggo nggawa bali. minangka gantine, raja parkit kudu nyanyi saben dina kanggo ngibur pemburu. suarae raja parkit sing endah lan nglaras langsung dadi hiburan favorite pemburu, nganti kabar bab manuk parkit swara merdu kuwi tekan kupinge sawijining raja saka kraton megah cedhak alas."
Si Parkit Raja Parakeet,Maluku,8,"sang raja yang terpesona oleh keindahan suara raja parkit meminta pemburu untuk menyerahkan burung tersebut. sebagai imbalannya, sang raja menawarkan sekantong uang emas. tanpa ragu, pemburu menyerahkan raja parkit kepada sang raja.","raja kuwi sing kagum karo endahe suarane raja parkit njaluk marang pemburu supaya nyerahke manuk kuwi. minangka gantine, raja maringi sak kantong dhuwit emas. tanpa mikir dawa, pemburu nyerahke raja parkit marang sang raja."
Si Parkit Raja Parakeet,Maluku,9,"kini, raja parkit tinggal di dalam sangkar emas yang megah di istana. meskipun kehidupannya lebih mewah, raja parkit merasa tidak bahagia. sangkar emas itu terlalu sempit baginya, dan ia merindukan kebebasan serta persahabatan yang pernah ia miliki di hutan.","saiki, raja parkit manggon ing sangkar emas sing megah ing kraton. senajan uripe luwih mewah, raja parkit krasa ora bahagia. sangkar emas kuwi sempit banget kanggo dheweke, lan dheweke kangen karo kebebasan lan paseduluran sing biyen tau diduweni neng alas."
Si Parkit Raja Parakeet,Maluku,10,"kisah raja parkit mengajarkan pentingnya kebebasan dan kebersamaan. meskipun hidup dalam kemewahan, raja parkit menyadari bahwa kebahagiaan sejati tidak dapat digantikan oleh emas atau kemewahan. kebebasan, persahabatan, dan kebersamaan adalah hal-hal yang paling berharga dalam hidup, sesuatu yang layak diperjuangkan dan dihargai.","crita raja parkit mulang yen kebebasan lan kebersamaan iku penting. senajan urip ana ing kemewahan, raja parkit nyadar yen kabahagiaan sejati ora isa digantekake karo emas utawa kemewahan. kebebasan, paseduluran, lan kebersamaan iku barang paling larang ing urip, barang sing pantes diperjuangke lan diugemi."
