judul,provinsi,id_teks,teks,referensi
Si Penyumpit,Kalimantan Tengah,1,"dahulu kala, di kepulauan bangka, hiduplah seorang pria sederhana yang dikenal sebagai si penyumpit. julukan ini berasal dari keahliannya menyumpit binatang buruan dan kemampuannya mengobati berbagai macam penyakit. ia tinggal di sebuah dusun kecil yang penduduknya ramah dan bersahaja.","mbiyen kala, ing kapuloan bangka, urip ana wong lanang prasaja sing dikenal jenenge si penyumpit. julukan iki asale saka kaprigelane nyumpit kewan buruan lan kemampuane ngobati macem-macem penyakit. dheweke manggon neng sawijining dusun cilik sing penduduke ramah lan prasaja."
Si Penyumpit,Kalimantan Tengah,2,"suatu hari, ketika musim panen tiba, penduduk dusun dikejutkan oleh kawanan babi hutan yang sering merusak tanaman mereka. kepala desa segera meminta bantuan si penyumpit untuk mengusir kawanan babi tersebut. dengan rasa cinta pada dusunnya, si penyumpit pun menyanggupi permintaan itu.","sawijining dina, nalika mangsa panen teka, warga dusun kaget merga ana kawanan babi alas sing kerep ngrusak tandurane. kepala desa langsung njaluk tulung marang si penyumpit kanggo ngusir kawanan babi kuwi. merga rasa tresna marang dusune, si penyumpit gelem nampa panyuwunan kuwi."
Si Penyumpit,Kalimantan Tengah,3,"selama tujuh malam berturut-turut, ia berjaga di sekitar ladang untuk melindungi tanaman warga. pada malam ketujuh, kawanan babi itu datang kembali, merusak ladang dengan ganas. tanpa ragu, si penyumpit menyumpit salah satu babi dengan keahliannya. namun, kejadian aneh pun terjadi. begitu sumpitnya mengenai salah satu babi, kawanan itu menghilang tanpa jejak.","sajeroning pitung wengi berturut-turut, dheweke jaga ing sakupenge sawah kanggo njaga tandurane warga. wengi kaping pitu, kawanan babi kuwi teka maneh, ngrusak sawah kanthi galak. tanpa mikir dawa, si penyumpit nyumpit salah siji babi nganggo kaprigelane. nanging, kedadian aneh kelakon. bar sumpite ngenani salah siji babi, kawanan kuwi ndadak ngilang tanpa tilas."
Si Penyumpit,Kalimantan Tengah,4,"terkejut, si penyumpit mengikuti jejak darah babi yang terluka hingga sampai ke sebuah gua tersembunyi di dalam hutan lebat. di dalam gua, ia menemukan seorang gadis cantik terbaring sakit, dikelilingi wanita-wanita cantik berpakaian indah. ternyata, kawanan babi yang merusak ladang itu adalah jelmaan mereka.","kaget, si penyumpit ngetutake tilas getihe babi sing tatu nganti tekan guwa sing didhelikake ing alas lebat. ing jerone guwa, dheweke nemu perawan ayu turu lara, dikepung karo wadon-wadon ayu nganggo klambi apik-apik. jebule, kawanan babi sing ngerusak sawah kuwi jelmaane wong-wong kuwi."
Si Penyumpit,Kalimantan Tengah,5,"ibu dari gadis tersebut sangat sedih melihat putrinya terluka parah. merasa bertanggung jawab, si penyumpit menawarkan diri untuk mengobati sang putri. dengan keahliannya, ia berhasil menyembuhkan luka gadis itu tanpa meninggalkan bekas. sang ibu sangat berterima kasih atas pertolongan si penyumpit.","ibune perawan kuwi sedhih banget weruh anake tatu abot. krasa tanggung jawab, si penyumpit nawani awake dhewe kanggo ngobati sang putri. kanthi kaprigelane, dheweke kasil ngobati tatue prawan kuwi tanpa ninggal bekas. ibune matur nuwun banget merga pitulungane si penyumpit."
Si Penyumpit,Kalimantan Tengah,6,"sebagai ungkapan terima kasih, ia memberikan sebuah bungkusan berisi kunyit, buah nyatoh, daun simpur, dan buah jering kepada si penyumpit, sambil berpesan agar bungkusan itu dibuka di rumah.","minangka tandha matur nuwun, ibune maringi buntelan isi kunyit, woh nyatoh, godhong simpur, lan woh jering marang si penyumpit, karo pesen supaya buntelan kuwi dibukak neng omah."
Si Penyumpit,Kalimantan Tengah,7,"sesampai di rumah, si penyumpit membuka bungkusan itu. alangkah terkejutnya ia saat melihat isinya: emas, berlian, dan intan permata yang berkilauan. kekayaan yang tak pernah ia bayangkan sebelumnya kini berada di tangannya.","sasampune tekan omah, si penyumpit mbukak buntelan kuwi. alangkah kagete dheweke weruh isine: emas, berlian, lan intan permata sing padhang sumilak. bondo kang durung tau kabayang sadurunge saiki ana ing tangane."
Si Penyumpit,Kalimantan Tengah,8,kabar tentang keberhasilan si penyumpit menyembuhkan sang putri dan mendapatkan harta karun menyebar dengan cepat di seluruh dusun. kepala desa yang serakah merasa iri dan berusaha mengikuti jejak si penyumpit.,kabar bab kasile si penyumpit ngobati sang putri lan oleh bandha karun nyebar kanthi cepet ing sak ndesa. kepala desa sing serakah krasa meri lan nyoba melu jejake si penyumpit.
Si Penyumpit,Kalimantan Tengah,9,"namun, ketika sang kepala desa menyumpit gadis jelmaan babi itu, ia tidak mampu menyembuhkan lukanya. kawanan babi yang marah menyerangnya, menyebabkan luka parah pada kepala desa.","nanging, nalika kepala desa nyumpit prawan jelmaane babi kuwi, dheweke ora iso ngobati tatue. kawanan babi sing nesu nyerang dheweke, nyebabake tatu abot marang kepala desa."
Si Penyumpit,Kalimantan Tengah,10,"mendengar kejadian itu, si penyumpit segera datang untuk menolong. dengan keahliannya, ia berhasil menyembuhkan luka sang kepala desa dalam waktu singkat. kepala desa yang merasa malu dan menyesal atas keserakahannya akhirnya menyadari kesalahannya.","krungu kedadian kuwi, si penyumpit langsung teka kanggo nulungi. kanthi kaprigelane, dheweke kasil ngobati tatue kepala desa sajroning wektu cendhak. kepala desa sing krasa isin lan getun merga keserakahane pungkasane nyadari kesalahane."
