judul,provinsi,id_teks,teks,referensi
Si Pitung,Yogyakarta,1,"dahulu kala, hiduplah seorang tuan tanah bernama babah liem atau liem tjeng di daerah tempat tinggal si pitung. babah liem menjadi tuan tanah dengan memberikan sejumlah uang kepada pemerintah belanda dan bersedia membayar pajak yang tinggi. namun, kekayaannya diperoleh dengan menindas rakyat. ia mempekerjakan para centeng untuk merampas harta rakyat dan menarik pajak yang sangat mencekik.","mbiyen kala, urip ana sawijining juragan tanah jenenge babah liem utawa liem tjeng ing dhaerah panggonane si pitung. babah liem dadi juragan tanah kanthi maringi sawatara dhuwit marang pamarentah walanda lan gelem mbayar pajeg sing dhuwur. nanging, bandha kekayaane dijupuk saka nindhes rakyat. dheweke nyambut gawe para centeng kanggo ngrampas bandha rakyat lan narik pajeg sing ngencek banget."
Si Pitung,Yogyakarta,2,"melihat penderitaan rakyat, si pitung merasa harus melawan penindasan ini. untuk itu, ia berguru pada haji naipin, seorang ulama terhormat yang terkenal berilmu tinggi. haji naipin bersedia mendidik si pitung karena mengenal wataknya yang rajin, taat beragama, sopan, dan patuh kepada kedua orang tuanya, pak piun dan bu pinah.","weruh sangsarane rakyat, si pitung ngrasakake kudu nglawan panindhesan kuwi. kanggo kuwi, dheweke berguru marang haji naipin, sawijining ulama sing diajeni lan misuwur duwe kawruh dhuwur. haji naipin gelem mulang si pitung amarga wis ngerti watake sing sregep, taat agama, sopan, lan manut marang wong tuwane, pak piun lan bu pinah."
Si Pitung,Yogyakarta,3,"setelah beberapa bulan belajar, si pitung berhasil menguasai seluruh ilmu yang diajarkan. sebelum melepas muridnya, haji naipin berpesan:","sawise sawatara wulan sinau, si pitung bisa nguwasani kabeh kawruh sing diajarke. sadurung ngeculake muride, haji naipin maringi pesan:"
Si Pitung,Yogyakarta,4,"pitung, aku yakin kau bukan orang yang sombong. gunakan ilmumu untuk membela orang-orang yang tertindas. jangan sekali-kali kau gunakan untuk menindas orang lain.","pitung, aku yakin kowe dudu wong sombong. gunaake ilmumu kanggo mbelani wong-wong sing ketindhes. aja pisan-pisan kok gunaake kanggo nindhes wong liya."
Si Pitung,Yogyakarta,5,"si pitung mencium tangan haji naipin, lalu berpamitan. ia memulai perjuangannya melawan babah liem dan centeng-centengnya.","si pitung ngambung tangane haji naipin, terus pamitan. dheweke miwiti perjuangane nglawan babah liem lan centeng-centenge."
Si Pitung,Yogyakarta,6,"suatu hari, si pitung melihat para centeng babah liem sedang memukuli seorang pria yang melawan mereka. dengan tegas ia berteriak:","ing salah sawijining dina, si pitung weruh para centenge babah liem lagi nggebugi sawijining priya sing nglawan dheweke. kanthi tegas dheweke mbengok:"
Si Pitung,Yogyakarta,7,lepaskan dia,culna dheweke
Si Pitung,Yogyakarta,8,seorang centeng menghampiri dan berkata:,salah siji centeng nyedhak lan kandha:
Si Pitung,Yogyakarta,9,"siapa kau, anak muda berani sekali menghalangi kami.","sapa kowe, bocah enom wani-wanine ngganggu urusane awake dewe."
Si Pitung,Yogyakarta,10,si pitung menjawab dengan tajam:,si pitung njawab kanthi landhep:
Si Pitung,Yogyakarta,11,kalian tidak perlu tahu siapa aku. tapi aku tahu siapa kalianâpengecut yang hanya berani menindas orang lemah.,kowe ora perlu ngerti sapa aku. ning aku ngerti sapa koweâpengecut sing mung wani nindhes wong ringkih.
Si Pitung,Yogyakarta,12,"tersinggung, pemimpin centeng memerintahkan anak buahnya menyerang. namun, dengan jurus-jurusnya, si pitung berhasil merobohkan mereka satu per satu. para centeng, termasuk pemimpinnya, kabur terbirit-birit. sejak saat itu, nama si pitung mulai dikenal luas.","keno panasen, pimpinan centeng merentahkake anak buahe nyerang. nanging, nganggo jurus-juruse, si pitung bisa nggeblagkake wong-wong kuwi siji-siji. para centeng, kalebu pimpinane, mlayu kesusu. wiwit wektu kuwi, jenenge si pitung mulai misuwur ing endi-endi."
Si Pitung,Yogyakarta,13,"setelah kejadian tersebut, si pitung mengabdikan hidupnya untuk membela rakyat. ia muak melihat kekayaan para tuan tanah yang berpihak pada belanda, sementara rakyat menderita. bersama beberapa rekannya, ia mulai merampok rumah-rumah orang kaya yang tamak. hasil rampokan itu dibagikan sepenuhnya kepada rakyat miskin. si pitung tidak pernah menikmati hasil rampasan untuk dirinya sendiri.","sawise kedadeyan kuwi, si pitung ngabdekake uripe kanggo mbelani rakyat. dheweke wis muak weruh bandha para juragan tanah sing mung ngedherake walanda, dene rakyat nandhang susah. bareng karo sawatara kancane, dheweke miwiti ngrampok omahe wong-wong sugih sing serakah. hasil rampokan kuwi dibagekake sakabehe marang rakyat miskin. si pitung ora tau nikmati asil rampasan kanggo awake dhewe."
Si Pitung,Yogyakarta,14,"rakyat jelata memuji kebaikan hatinya. sebaliknya, pemerintah belanda dan para tuan tanah geram. banyak perampok lain mengatasnamakan si pitung, meskipun mereka bukan bagian dari kelompoknya. pemerintah belanda pun mengeluarkan perintah untuk menangkap si pitung. meski menjadi buronan, si pitung tidak gentar. ia terus berpindah-pindah tempat agar sulit ditangkap.","rakyat cilik muji kabecikan atine. kosok baline, pamarentah walanda lan para juragan tanah nesu. akeh perampok liya sing nganggo jenenge si pitung, sanajan dudu bagean saka klompoke. pamarentah walanda banjur nglairake dhawuh kanggo nyekel si pitung. sanajan dadi buronan, si pitung ora wedi. dheweke terus pindhah-pindhah panggonan supaya angel ditangkep."
Si Pitung,Yogyakarta,15,"kesal karena tidak bisa menangkap si pitung, pemerintah belanda menggunakan cara licik. mereka menangkap pak piun dan haji naipin. seorang pejabat belanda, schout heyne, mengumumkan bahwa keduanya akan dihukum mati jika si pitung tidak menyerahkan diri.","kena nesu amarga ora bisa nyekel si pitung, pamarentah walanda nggunakake cara licik. dheweke nyekel pak piun lan haji naipin. salah siji pejabat walanda, schout heyne, ngumumke yen loro-lorone bakal dihukum pati nek si pitung ora nyerahke awake dhewe."
Si Pitung,Yogyakarta,16,"berita ini sampai ke telinga si pitung. demi menyelamatkan ayah dan gurunya, ia mengirim pesan kepada schout heyne bahwa ia bersedia menyerahkan diri asalkan ayah dan gurunya dibebaskan. schout heyne setuju. pak piun dibebaskan, namun haji naipin tetap disandera.","kabar iki tekan kupinge si pitung. supaya isa nylametke bapake lan gurune, dheweke ngirim layang marang schout heyne yen dheweke gelem nyerah asal bapake lan gurune dibebasake. schout heyne setuju. pak piun dibebasake, nanging haji naipin tetep dicekel."
Si Pitung,Yogyakarta,17,"akhirnya, si pitung muncul di hadapan schout heyne.","akhire, si pitung muncul ing ngarepe schout heyne."
Si Pitung,Yogyakarta,18,"lepaskan haji naipin, dan kau bebas menangkapku, kata si pitung.","bebaske haji naipin, lan kowe bebas nyekel aku, kandha si pitung."
Si Pitung,Yogyakarta,19,"schout heyne menuruti permintaan tersebut, lalu memerintahkan pasukannya menangkap si pitung.","schout heyne nuruti panjaluk kuwi, terus marentahke pasukane nyekel si pitung."
Si Pitung,Yogyakarta,20,"pitung, kau telah meresahkan banyak orang. karena itu, kau akan dihukum mati, ujar schout heyne.","pitung, kowe wis marai resah akeh wong. mula saka kuwi, kowe bakal dihukum pati, ujare schout heyne."
Si Pitung,Yogyakarta,21,"dengan tenang, si pitung menjawab:","kanthi tenang, si pitung njawab:"
Si Pitung,Yogyakarta,22,kau salah. justru kau dan para tuan tanah itulah yang meresahkan rakyat. aku tidak takut pada ancamanmu.,kowe salah. justru kowe lan para juragan tanah kuwi sing marai rakyat resah. aku ora wedi karo ancamanmu.
Si Pitung,Yogyakarta,23,schout heyne yang murka segera memerintahkan pasukannya menembak si pitung.,schout heyne sing nesu langsung marentahke pasukane kanggo nembak si pitung.
Si Pitung,Yogyakarta,24,"pasukan, tembak dia perintahnya.","pasukan, tembak dheweke prentahe."
Si Pitung,Yogyakarta,25,"pak piun dan haji naipin memohon agar si pitung dibebaskan, tapi schout heyne tak peduli. dentuman senapan memecah kesunyian. tubuh si pitung roboh, bersimbah darah. pak piun dan haji naipin menangis penuh duka. mereka membawa jenazah si pitung pulang untuk dimakamkan.","pak piun lan haji naipin nyuwun supaya si pitung dibebasake, nanging schout heyne ora perduli. dentuman bedhil mecah swasana. awake si pitung ambruk, kebak getih. pak piun lan haji naipin nangis kebak sedhih. dheweke nggawa layone si pitung mulih kanggo dikubur."
Si Pitung,Yogyakarta,26,"kisah si pitung menjadi legenda tentang seorang pendekar yang berani melawan ketidakadilan demi membela rakyat. hingga kini, namanya dikenang sebagai simbol perjuangan melawan penindasan.","critane si pitung dadi legenda bab sawijining jagoan sing wani nglawan ketidakadilan demi mbelani rakyat. nganti saiki, jenenge dikenang dadi lambang perjuangan nglawan panindhesan."
