judul,provinsi,id_teks,teks,referensi
Si Wuragil,Jawa Timur,1,"di sebuah desa terpencil dekat hutan jati, terdapat sebuah rumah kecil tempat tinggal sepasang suami istri dengan tujuh anak laki-laki mereka. untuk menghidupi ketujuh anak tersebut, mereka harus bekerja keras. ayah, pak wuragil, mencari kayu bakar, sedangkan ibu, bu wuragil, mencari daun jati kering. hasil dari penjualan kayu bakar dan daun jati kering hanya cukup untuk makan sehari-hari. lama-kelamaan, penghasilan mereka tidak dapat mencukupi kebutuhan hidup anak-anak mereka.","ing sawijining desa sing adoh cedhak alas jati, ana omah cilik panggonan sepasang bojone lan pitu anak lanange. kanggo nguripi pitu anak kuwi, wong tuwane kudu kerja keras. bapake, pak wuragil, nggoleki kayu bakar, dene ibune, bu wuragil, nggoleki godhong jati garing. asile saka dodolan kayu bakar lan godhong jati garing mung cukup kanggo mangan saben dina. saka wektu suwe, panghasilane ora bisa nyukupi kabutuhan urip anak-anake."
Si Wuragil,Jawa Timur,2,"pada suatu malam, pak wuragil duduk di ruang tamu, ditemani oleh istrinya. anak-anak mereka sudah tertidur pulas di kamar, berjajar di atas sebuah ranjang besar. hanya anak yang bungsu, si wuragil, yang belum tidur. ia menutup wajahnya dengan kain sarung dan pura-pura tidur.","sak wengi, pak wuragil lungguh ing ruang tamu, ditemani bojone. anak-anake wis turu pulas ing kamar, barisan ing ranjang gedhe. mung anak sing bungsu, si wuragil, durung turu. dheweke nutup pasuryane nganggo kain sarung lan pura-pura turu."
Si Wuragil,Jawa Timur,3,"nyai, apakah anak kita sudah tidur tanya pak wuragil.","nyai, apa anak kita wis turu pitakon pak wuragil."
Si Wuragil,Jawa Timur,4,"sudah, kyai, jawab bu wuragil.","wis, kyai, wangsul bu wuragil."
Si Wuragil,Jawa Timur,5,"nyai, akhir-akhir ini penghasilan kita tidak cukup untuk mencukupi kebutuhan hidup ketujuh anak kita. aku sudah tua dan tidak kuat lagi memikul kayu bakar ke kota, keluh pak wuragil.","nyai, akhir-akhir iki penghasilan kita ora cukup kanggo nyukupi kabutuhan urip pitu anak kita. aku wis tuwa lan ora kuwat maneh nggawa kayu bakar menyang kutha, keluh pak wuragil."
Si Wuragil,Jawa Timur,6,"bu wuragil diam, tidak menanggapi perkataan suaminya.","bu wuragil meneng, ora mangsuli omongan bojone."
Si Wuragil,Jawa Timur,7,"aku punya rencana, kata pak wuragil sambil mengambil sepotong singkong rebus yang tersisa di piring. apa rencanamu, kyai tanya bu wuragil dengan penasaran.","aku nduwe rencana, kandha pak wuragil nalika njupuk sepotong singkong rebus sing isih ana ing piring. apa rencanamu, kyai pitakon bu wuragil kanthi penasaran."
Si Wuragil,Jawa Timur,8,"begini, nyai, kata pak wuragil sambil menarik napas panjang, aku ingin mengajak anak-anak kita ke hutan dan meninggalkan mereka di sana.","ngene, nyai, kandha pak wuragil sambil ambegan dawa, aku pengin ngajak anak-anak kita menyang alas lan ninggalake kono."
Si Wuragil,Jawa Timur,9,"bu wuragil menangis dan tidak menyetujui rencana suaminya. namun, suaminya tetap pada pendiriannya. ia ingin meninggalkan ketujuh anak mereka di hutan.","bu wuragil nangis lan ora setuju karo rencana bojone. nanging, bojone tetep kekeuh. dheweke arep ninggalake pitu anake ing alas."
Si Wuragil,Jawa Timur,10,"pembicaraan itu didengar oleh si wuragil. secara diam-diam, ia keluar dari rumah dan mengumpulkan batu-batu kecil yang disimpannya dalam sebuah kantong.","obrolan kuwi dirungu dening si wuragil. kanthi diam-diam, dheweke metu saka omah lan ngumpulake watu-watu cilik sing disimpen ing kantong."
