judul,provinsi,id_teks,teks,referensi
Siamang Putih,Riau,1,"sebut saja puti julian, gadis yang paling cantik di kampung alai. kampung alai terletak di kawasan pesisir pantai tiku, sumatera barat bagian utara. puti adalah anak seorang bangsawan dan saudagar kaya raya. ayahnya bernama nahkoda bagindo, cucu dari angku rajo kaciak. meski parasnya cantik, tidak seorang pun pemuda yang berani mendekatinya, terlebih karena dia berasal dari keluarga kaya raya dan keturunan bangsawan. puti merasa putus asa dengan keadaannya itu. angku rajo kaciak pun mulai resah, karena anak gadis yang sudah dewasa belum bersuami. dia berniat mengadakan pesta besar selama sebulan penuh, untuk mengundang pemuda-pemuda dari berbagai kampung. barangkali di antara mereka ada calon yang pantas untuk puti.","jenenge puti julian, cah wadon paling ayu neng kampung alai. kampung alai kuwi dumunung ing pesisir pantai tiku, sisih lore sumatera barat. puti kuwi anake bangsawan lan saudagar sugih. bapake jenenge nahkoda bagindo, putune angku rajo kaciak. sanajan ayune ora ana tandhinge, ora ana siji wae nom-noman sing wani nyedhaki. luwih-luwih merga puti asale saka kulawarga bangsawan lan sugih. puti ngrasakake putus asa merga kahanan kuwi. angku rajo kaciak ya dadi bingung, merga putune wis diwasa durung duwe bojone. angku banjur duwe rencana arep ngadani pesta gedhe sewulan suwene, ngundang nom-noman saka kampung-kampung liyane. sapa ngerti ana sing cocok kanggo puti."
Siamang Putih,Riau,2,"semalam sebelum pesta digelar, puti julian bermimpi. di mimpinya, dia bertemu seorang pemuda yang sangat tampan dan baik hati. pemuda itu bernama sutan rumanduang. puti julian langsung jatuh hati. di dalam mimpinya itu, puti sangat senang sekali. dia membawa sutan rumanduang ke sekeliling kampung dan mengenalkannya kepada setiap orang. puti kemudian menceritakan mimpinya itu kepada angku rajo kaciak dengan isak tangis.","bengi sadurunge pestane diwiwiti, puti julian ngimpi. ing impene, puti ketemu karo nom-noman ganteng lan apikan. jenenge sutan rumanduang. puti julian langsung tresna karo pemuda kuwi. ing ngimpene, puti seneng banget. dheweke ngeterake sutan rumanduang muter-muter kampung lan ngenalake marang sapa wae. puti banjur crita marang angku rajo kaciak karo nangis."
Siamang Putih,Riau,3,"angku, puti bermimpi bertemu dengan seorang pemuda yang tampan dan baik hati. pemuda itu bernama sutan rumanduang. puti jatuh hati kepadanya. mimpi itu terasa sangat nyata bagi puti. akan tetapi, ternyata semuanya hanya mimpi belaka. mengapa begini nasib badan diri mengapa hanya puti yang belum bersuami teman-teman puti bahkan sudah ada yang punya anak tiga orang. tapi lihatlah nasib puti, tidak seorang pun yang mau dengan puti.","angku, puti ngimpi ketemu karo nom-noman ganteng lan apikan. jenenge sutan rumanduang. puti tresna karo dheweke. ngimpene kuwi koyo nyata banget kanggo puti. nanging jebule mung ngimpi. kok nasibe puti ngene, angku kanca-kancane puti wis ana sing nduwe anak telu, tapi puti malah durung nduwe bojone. ora ana sing gelem karo puti."
Siamang Putih,Riau,4,"angku rajo kaciak terkejut mendengar cerita puti. matanya berkaca-kaca. bersabarlah, puti, serahkan semuanya kepada tuhan. tugas kita hanya berusaha dan berdoa. puti harus ikhlas menerima semua ini, kata angku rajo kaciak, berusaha menghibur puti. angku rajo kaciak ikut berhiba hati. dia langsung memanggil anak buahnya dan memerintahkan mereka untuk segera mengadakan pesta besar untuk mencari pemuda bernama sutan rumanduang.","angku rajo kaciak kaget krungu critane puti. mripate nganti netesake luh. sabar ya, puti. pasrahke kabeh marang gusti allah. tugase kita mung nyoba lan ndonga. puti kudu ikhlas nampa kahanan iki, ngendikane angku rajo kaciak kanggo nyenengke atine puti. angku rajo kaciak ngrasakake prihatin. dheweke langsung maringi dhawuh marang bala-balane kanggo ngadani pesta gedhe nggoleki nom-noman jenenge sutan rumanduang."
Siamang Putih,Riau,5,"sudah seminggu, dua minggu pesta dilaksanakan, tetapi sutan rumanduang belum juga datang. puti julian kembali bersedih hati. dia pun mengurung diri seharian di dalam kamar, menangis terisak meratapi mimpi indahnya bersama sutan rumanduang. sudah sebulan penuh pesta diadakan, tetapi sutan rumanduang belum juga muncul. angku rajo kaciak pantang menyerah. dia menyuruh anak buahnya mencari sutan rumanduang ke seluruh kampung, bahkan ke kampung tetangga. namun, sutan rumanduang belum juga ditemukan.","wis seminggu, rong minggu pesta dianakake, ning sutan rumanduang durung teka. puti julian sedhih maneh. dheweke ngurung dhiri nang kamar, nangis terus meratapi ngimpene. wis sewulan pesta dianakake, sutan rumanduang tetep durung teka. nanging angku rajo kaciak ora nyerah. dheweke ngongkon bala-balane nggoleki sutan rumanduang nganti tekan kampung tangga. nanging tetep wae durung ketemu."
Siamang Putih,Riau,6,"puti, menikahlah dengan yang lain. angku akan carikan saudagar kaya yang tampan dari nagari talu, kata angku rajo kaciak, berusaha menyenangkan hati puti julian.","puti, nikaha wae karo liyane. angku bakal golekake saudagar ganteng saka nagari talu, kandha angku rajo kaciak."
Siamang Putih,Riau,7,"tidak, angku. puti hanya ingin menikah dengan sutan rumanduang. puti yakin sutan rumanduang akan segera datang. puti tetap akan menunggunya, jawab puti.","ora gelem, angku. puti mung pengin nikah karo sutan rumanduang. puti yakin dheweke bakal teka. puti bakal tetep nunggu, wangsulane puti tegas."
Siamang Putih,Riau,8,"mendengar penolakan keras hati puti, angku rajo kaciak tidak kehabisan akal. dia pun menemui orang pintar untuk menggerakkan hati sutan rumanduang. tujuh orang pintar itu bekerja siang malam selama tujuh hari tujuh malam dengan membakar kemenyan. sampailah pada hari ketujuh, sebuah kapal besar terdampar di pantai tiku. kapal itu sedang mengalami kerusakan mesin karena menabrak karang. kapal itu milik seorang pemuda yang tampan bernama sutan rumanduang.","angku rajo kaciak sing ngerti kerase atine puti banjur nggoleki cara liya. dheweke nemoni wong pinter kanggo mbantu nggugah atine sutan rumanduang. ana pitung wong pinter kerja terus-terusan, ndedonga karo ngobong menyan suwene pitung dina pitung bengi. ing dina kapitu, ana kapal gedhe kandheg nang pantai tiku merga nabrak karang. kapal kuwi kagungane nom-noman ganteng jenenge sutan rumanduang."
Siamang Putih,Riau,9,"mendengar nama pemuda itu, puti sangat terkejut bercampur senang. ia segera berlari menuju pelabuhan. puti julian sangat terpesona melihat ketampanan sutan rumanduang. pemuda itu mirip dengan laki-laki yang datang dalam mimpinya. sama seperti dalam mimpinya, sutan rumanduang kemudian diundang ke istana. mereka pun berunding dan berencana menikahkan puti dengan sutan rumanduang. akhirnya, sutan rumanduang bertunangan dengan puti julian.","krungu jeneng kuwi, puti kaget lan seneng banget. dheweke langsung mlayu menyang pelabuhan. puti julian gumun banget ndelok kaayuane sutan rumanduang. koyok banget karo sing ana ing ngimpene. kaya ing ngimpene, sutan rumanduang diundang menyang istana. wong loro kuwi banjur rukun lan arep nikah."
Siamang Putih,Riau,10,"namun, karena belum cukup uang untuk menikahi puti, sutan rumanduang minta izin untuk berlayar kembali mencari penambah uang sebelum menikahi puti julian.","nanging, merga dhuwit durung cukup kanggo mboyong puti, sutan rumanduang njaluk ijin bali lunga nglayar kanggo nambah modal."
Siamang Putih,Riau,11,"bapak dan angku rajo kaciak, izinkanlah saya pergi dahulu. saat ini usaha saya sedang turun. kalau nanti sudah berhasil, saya akan datang lagi untuk menikahi puti julian, kata sutan rumanduang.","bapak lan angku rajo kaciak, tulung ijinke kula lunga sek. usaha kula saiki lagi susah. yen wis sukses, kula bakal bali lan nikahi puti julian, ujare sutan rumanduang."
Siamang Putih,Riau,12,nahkoda bagindo dan angku rajo kaciak mengerti dengan maksud sutan rumanduang dan mengizinkannya untuk kembali berlayar.,nahkoda bagindo lan angku rajo kaciak paham lan ngeculke dheweke lunga.
Siamang Putih,Riau,13,"uda, berhati-hatilah selama di jalan, dan cepatlah kembali untuk menikahi puti. puti berjanji akan setia menunggu. jika puti melanggar, puti bersumpah akan menjadi siamang putih, kata puti julian sambil bersumpah.","uda, ati-ati ya. cepet baline lan nikaha puti. puti janji bakal setya nunggu. yen puti ngingkari janji, puti nyumpahi awake dadi siamang putih, kandha puti julian karo sumpah."
Siamang Putih,Riau,14,"jika uda yang ingkar janji kepada puti, uda juga bersumpah. kapal uda akan karam di tengah lautan, jawab sutan rumanduang.","yen aku sing ngingkari janji, kapal iki bakal karam ing tengah laut, wangsulane sutan rumanduang."
Siamang Putih,Riau,15,"puti percaya hatinya senang mendengar sumpah itu. meskipun sudah diingatkan angku rajo kaciak agar jangan bersumpah, puti tidak peduli. setelah berpamitan dengan puti dan kerabat lainnya, sutan rumanduang pun berlayar. ia mengarungi samudra luas dengan kapalnya. makin jauh kapal dari pelabuhan, makin deras air mata puti bercucuran. puti julian selalu berdoa agar tunangannya selamat dalam pelayaran.","puti seneng krungu sumpah kuwi. sanajan wis diwelingi angku rajo kaciak supaya ora gampang nyumpah, puti tetep kepeksa. sawise pamitan, sutan rumanduang lunga nglayar adoh banget. tambah adoh kapal kuwi, tambah deres luhe puti. puti julian tansah ndonga supaya sutan rumanduang slamet."
Siamang Putih,Riau,16,"setahun, dua tahun, puti masih setia menunggu. namun, sutan rumanduang tidak juga kunjung kembali. sampai suatu hari, berlabuhlah kapal besar di tiku. tersirap darah puti, ternyata kapal yang berlabuh bukanlah kapal tunangannya. kapal itu milik rustam, saudagar kaya dari kampung tetangga. bak umpama getah cair seperti pimping di lereng bukit ini, baik itu pun bagus. mata condong kepada yang rancak, selera condong kepada yang enak. puti julian jatuh hati kepada saudagar yang lebih tampan dari sutan rumanduang itu. puti menyampaikan maksud hatinya kepada ibunya.","setahun, loro tahun, puti tetep nunggu. ning sutan rumanduang durung bali. nganti tekan dina, ana kapal gedhe mlebu ing tiku. jantunge puti ndredheg. nanging jebule kapal kuwi dudu kapale sutan rumanduang. kapal kuwi kagungane rustam, saudagar sugih saka kampung tangga. kaya getah sing ngocor saka lereng, rasa seneng pindah menyang sing luwih bagus. puti julian jatuh cinta karo rustam sing luwih ganteng."
Siamang Putih,Riau,17,"ibu, rasanya puti sudah jatuh hati kepada rustam.","ibu, rasane puti wis tresna karo rustam, kandha puti marang ibune."
Siamang Putih,Riau,18,"ibunya langsung paham dengan apa yang dimaksud puti. dia pun mengundang rustam ke istana untuk bersilaturahmi dan berunding. ternyata, rustam adalah anak saudagar kaya dari keturunan bangsawan di negeri sebelah. angku rajo kaciak yang sayang kepada cucunya meminta rustam untuk meminang cucunya. setelah lama berunding, mereka pun berniat menikahkan puti dengan rustam. mereka tidak mau lagi menunggu sutan rumanduang yang entah di mana.","ibune langsung ngerti. dheweke banjur ngundang rustam menyang istana. ternyata, rustam anake saudagar sugih saka kulawarga bangsawan. angku rajo kaciak sing tresna marang putune banjur njaluk rustam supaya nglamar puti. sawise rembugan, padha setuju arep nikahke puti karo rustam. wong-wong ora gelem nunggu sutan rumanduang maneh sing ora jelas kabare."
Siamang Putih,Riau,19,"puti julian dan rustam pun menggelar pesta besar yang megah di kampung alai. mereka mengundang bangsawan, alim ulama, dan cerdik pandai di seluruh kampung. sebelum ijab kabul dilangsungkan, rustam ditanya oleh penghulu.","puti julian lan rustam ngadani pesta gedhe banget ing kampung alai. ngundang bangsawan, ulama, lan wong pinter saka kampung-kampung. nalika upacara ijab kabul, penghulu takon:"
Siamang Putih,Riau,20,"saudara rustam, apakah bersedia menikahi puti julian","rustam, apa kowe gelem nikah karo puti julian"
Siamang Putih,Riau,21,"insya allah, saya bersedia, jawab rustam.","insya allah, kula gelem, jawabe rustam."
Siamang Putih,Riau,22,"puti julian, apakah ananda bersedia menikah dengan rustam","puti julian, apa ananda gelem nikah karo rustam"
