judul,provinsi,id_teks,teks,referensi
Sidang Belawan,Lampung,1,"pada zaman dahulu kala, terdapat sebuah kerajaan yang dipimpin oleh seorang raja yang memiliki tujuh orang istri. namun, dari tujuh istri tersebut, sang raja hanya dikaruniai seorang anak laki-laki dari istri yang sabar, yaitu istri terakhir. raja kemudian memberikan nama sidang belawan kepada putra tunggalnya itu.","nalika jaman mbiyen, ana sawijining karajan sing dipimpin dening raja sing nduweni pitu garwa. nanging saka pitung garwa kuwi, raja mung diparingi anak lanang siji saka garwa sing sabar, yaiku garwa pungkasan. raja banjur maringi jeneng sidang belawan marang putra tunggale."
Sidang Belawan,Lampung,2,"sang anak dibesarkan dengan penuh kasih sayang dan dilatih untuk menjadi pemimpin yang bijaksana untuk mewarisi takhta kerajaan kelak. selain disibukkan dengan urusan kerajaan, sidang belawan ternyata gemar menangkap ikan di sungai menggunakan jala di waktu senggangnya. laki-laki itu kerap membawa ikan hasil tangkapannya ke istana.","anak kuwi digedhekake kanthi kebak katresnan lan dilatih supaya dadi pemimpin sing bijaksana kanggo nurun tahta karajan. saliyane disibukake karo urusan karajan, sidang belawan seneng njala iwak ing kali nganggo jala nalika wektu luang. dheweke kerep nggawa iwak asil tangkepane mulih menyang istana."
Sidang Belawan,Lampung,3,"pada suatu hari, ketika sidang belawan menjala ikan di sungai, ia ternyata tidak mendapatkan tangkapan ikan yang banyak seperti biasanya. ia justru mendapatkan sebuntal rambut yang amat panjang di jalanya.","ing sawijining dina, wektu sidang belawan njala iwak ing kali, dheweke ora entuk tangkepan akeh kaya biasane. dheweke malah entuk buntalan rambut dawa banget ing jalane."
Sidang Belawan,Lampung,4,ha kenapa bisa ada buntalan rambut di sungai ini tanya laki-laki itu dengan heran.,ha kok bisa ana buntalan rambut ing kali iki pitakone karo gumun.
Sidang Belawan,Lampung,5,"karena penasaran dengan asal-usul buntalan rambut itu, sidang belawan kemudian memasukkannya ke dalam saku celananya dan berjalan menuju ke hulu sungai. sebelum sempat menebar jalanya, tiba-tiba pandangan laki-laki itu tertuju pada tujuh bidadari cantik yang sedang mandi di pinggir sungai.","amarga penasaran karo asal-usul buntalan rambut kuwi, sidang belawan banjur nyimpen rambut kuwi ing saku celonane lan mlaku munggah menyang hulu kali. sadurunge sempat mbubrah jala, ndadak pandelengane kesandhung marang pitu bidadari ayu sing lagi adus ing pinggir kali."
Sidang Belawan,Lampung,6,"sidang belawan pun segera bersembunyi di balik batu-batu yang ada di sungai dan mengamati gerak-gerik para wanita itu. saat mereka sibuk berbicara satu sama lain, dikisahkan dalam cerita rakyat sidang belawan dari lampung bahwa laki-laki tersebut kemudian mengambil salah satu selendang yang tergeletak di pinggir sungai.","sidang belawan banjur cepet-cepet ndhelik ana ing balik watu-watu ing kali lan ngawasi gerak-gerik para wanita kuwi. nalika para bidadari kuwi padha rembugan, critane sidang belawan banjur nyolong salah siji selendang sing lagi ngglethak ing pinggir kali."
Sidang Belawan,Lampung,7,"tak berapa lama, ketujuh bidadari itu mulai sadar akan kehadiran manusia di sekitar tempat mereka mandi. para bidadari itu bergegas untuk merapikan pakaian dan bersiap terbang kembali ke kahyangan. sayangnya, tidak seperti keenam kakaknya yang sudah siap-siap, bidadari bungsu masih kebingungan mencari selendangnya.","ora suwi, pitu bidadari kuwi kaget amarga krasa ana manungsa ing cedhak panggonan adusane. para bidadari banjur cepet-cepet ngagem sandhangane lan siap-siap mabur bali menyang kahyangan. nanging, bidadari bungsu isih bingung nggoleki selendange."
Sidang Belawan,Lampung,8,"kak, apakah kalian melihat selendangku selendangku tidak ada ucap bidadari bungsu dengan nada panik.","âkak, kowe weruh selendangku selendangku ora anaâ ujare bidadari bungsu karo panik."
Sidang Belawan,Lampung,9,"selendangmu hilang tidak, adikku, kami tidak melihatnya, jawab bidadari sulung.","âselendangmu ilang ora, adhi, aku ora weruh,â wangsulane bidadari sulung."
Sidang Belawan,Lampung,10,"keenam bidadari itu berusaha membantu mencari selendang adik bungsu mereka. namun, karena tidak bisa berlama-lama, mereka akhirnya terpaksa meninggalkan bidadari bungsu dan terbang kembali ke kahyangan. bidadari bungsu mau tidak mau harus menerima kenyataan bahwa dia tidak bisa kembali ke kahyangan tanpa selendangnya.","kaping enem bidadari kuwi nyoba nulungi nggoleki selendange adik bungsu. nanging amarga ora isa suwe-suwe, pungkasane padha ninggalake bidadari bungsu lan mabur bali menyang kahyangan. bidadari bungsu kudu nampa kasunyatan yen dheweke ora isa bali menyang kahyangan tanpa selendange."
