judul,provinsi,id_teks,teks,referensi
Sigarlaki dan Limbat,Sulawesi Utara,1,"sigarlaki adalah seorang pemburu yang luar biasa. ia sangat jitu menombak hewan buruannya. itulah sebabnya hidupnya tak pernah berkekurangan. sigarlaki memiliki seorang pembantu yang setia, namanya limbat. limbat adalah pemuda yang sederhana. sejak kecil, ia sudah hidup sendiri. jadi, ketika sigarlaki menawarinya untuk menjadi pembantunya, limbat tak menolak. sehari-hari, limbat mempersiapkan keperluan berburu tuannya. selain itu, ia juga mengurus rumah dan memasak. meskipun limbat adalah seorang pria, ia tak mengalami kesulitan untuk mengerjakan semua itu.","sigarlaki kuwi sawijining pemburu sing pinter banget. dheweke pancen pinter banget njupuk sasaran nganggo tumbak. mula saka kuwi, uripe ora tau kekurangan. sigarlaki nduweni pembantu sing setya, jenenge limbat. limbat kuwi nom-noman sing prasaja. wiwit cilik, dheweke wis urip dewekan. mula nalika sigarlaki nawari dadi pembantune, limbat gelem wae. saben dina, limbat nyiapke kabeh kabutuhan kanggo berburu tuwannya. saliyane kuwi, dheweke uga ngurusi omah lan masak. senajan limbat kuwi lanang, dheweke ora kesulitan ngerjakake kuwi kabeh."
Sigarlaki dan Limbat,Sulawesi Utara,2,"limbat, cepatlah hari sudah hampir siang teriak sigarlaki. limbat berjalan dengan tergesa-gesa membawa seperangkat alat berburu. hari ini, sigarlaki akan pergi berburu lagi dan seperti biasa, limbat harus mempersiapkan semua kebutuhannya.","limbat, cepetan wis arep awan bengoke sigarlaki. limbat mlaku cepet-cepet karo nggawa peralatan berburu. dina iki, sigarlaki arep berburu maneh lan kaya biasane, limbat kudu nyiapke kabeh kabutuhane."
Sigarlaki dan Limbat,Sulawesi Utara,3,"aku pergi dulu ya. jangan lupa persediaan daging itu kau jual ke pasar. sisanya masaklah untuk makan siang kita, pesan sigarlaki sebelum pergi. limbat mengangguk, tentu, tuan, aku tak akan lupa.","aku arep lunga dhisik ya. aja lali, daging persediaan kuwi dijual neng pasar. sisane, masak kanggo mangan awan awake dhewe, pesen sigarlaki sadurung lunga. limbat mung ngangguk, inggih, tuan. aku ora bakal lali."
Sigarlaki dan Limbat,Sulawesi Utara,4,"setelah tuannya pergi, ia segera menimbang daging yang akan dijual ke pasar. kemarin, tuannya berhasil mendapatkan seekor rusa yang gemuk. ah, semuanya sudah siap. sekarang aku mandi dulu, katanya dalam hati. limbat mandi dengan riang. ia tak menyadari pintu rumah terbuka lebar. seorang pencuri masuk dan mencuri semua daging rusa yang sudah ia siapkan. pencuri itu juga mengambil daging yang limbat siapkan untuk makan siang. limbat sangat terkejut mendapati semua dagingnya hilang.","sawise tuwannya lunga, limbat langsung nimbang daging sing arep didol menyang pasar. wingi, tuwannya entuk rusa sing lemu. wah, wis siap kabeh. saiki aku adus dhisik, ujare ing njero ati. limbat adus karo ati seneng. dheweke ora nyadari yen lawang omah kabuka ngglebar. ana maling mlebu lan nyolong kabeh daging rusa sing wis disiapke. maling kuwi uga nyolong daging sing arep dimasak kanggo mangan awan. limbat kaget banget wektu ndelok kabeh daging ilang."
Sigarlaki dan Limbat,Sulawesi Utara,5,"astaga, siapa yang mengambil daging itu limbat berlari ke dapur. ya ampun, daging yang hendak kumasak pun hilang gawat sekali, tuanku pasti marah besar jika tahu.","astagaaaa, sapa sing njupuk daging kuwi limbat mlayu menyang pawon. ya allah, daging sing arep tak masak uga ilang gawat iki, tuwanku mesthi nesu banget nek ngerti."
Sigarlaki dan Limbat,Sulawesi Utara,6,"seharian itu, limbat hanya duduk termenung. ia bingung bagaimana caranya ia menjelaskan kejadian itu pada sigarlaki. menjelang sore, sigarlaki sampai di rumah. wajahnya terlihat masam dan ia tak membawa seekor hewan buruan pun.","sakdina kuwi, limbat mung lungguh kuciwa. dheweke bingung piye carane njelasne marang sigarlaki. sore-sore, sigarlaki bali. wujude masem lan ora nggawa kewan buruan sathithik wae."
Sigarlaki dan Limbat,Sulawesi Utara,7,"selamat sore, tuan. hewan apa yang berhasil tuan tangkap kali ini tanya limbat dengan cemas. sambil mendengus kesal, sigarlaki menjawab, ternyata aku tak sehebat yang kukira. hari ini hewan buruanku lolos semua.","wilujeng sonten, tuan. kewan apa sing tuan entuk dina iki takon limbat karo rasa wedi. sambil nggrundel nesu, sigarlaki njawab, ternyata aku ora sapinter sing tak kira. dina iki kabeh kewan buruan lolos."
Sigarlaki dan Limbat,Sulawesi Utara,8,"limbat terdiam, ia bingung bagaimana menjelaskan kejadian yang menimpanya. tiba-tiba, sigarlaki bertanya, berapa uang yang kau dapat dari hasil menjual daging pagi tadi bagai disambar petir, limbat pun kebingungan.","limbat meneng wae, bingung piye njelaske kejadian sing dialami. dumadakan, sigarlaki takon, pira dhuwit sing kok entuk saka dodolan daging esuk mau koyok disamber gledek, limbat langsung panik."
Sigarlaki dan Limbat,Sulawesi Utara,9,"eh. anu. eh. maaf, tuan. ada orang yang mencuri daging itu saat aku mandi, jawabnya terbatabat.","eh. anu. eh. nyuwun ngapunten, tuan. ana wong nyolong daging kuwi wektu aku adus, jawabe kagok."
Sigarlaki dan Limbat,Sulawesi Utara,10,apa mana mungkin ada orang yang berani melakukan hal itu padaku aku tak percaya omonganmu atau. hmmm. jangan-jangan kau sendiri yang mencuri dagingku teriak sigarlaki.,apa mosok ana wong wani nindakake kuwi marang aku aku ora percaya karo omonganmu opo. hmmm. aja-aja kowe dhewe sing nyolong dagingku bengok sigarlaki.
Sigarlaki dan Limbat,Sulawesi Utara,11,"tidak, tuan, benar ada orang yang mencuri daging itu. mana mungkin aku berani berbuat curang pada tuan sigarlaki benar-benar marah. ia merasa sangat sial hari itu. sigarlaki terus menuduh limbatlah yang mencuri dagingnya.","ora, tuan. temenan ana wong nyolong. mosok aku wani ngapusi tuan sigarlaki bener-bener nesu. dheweke ngrasakake dina kuwi apes banget. sigarlaki terus nuduh limbat sing nyolong daging."
Sigarlaki dan Limbat,Sulawesi Utara,12,"kau harus membuktikan bahwa memang bukan kau pencurinya. sekarang, ikut aku ke sungai perintahnya pada limbat. meskipun tak mengerti, limbat menuruti perintah tuannya.","kowe kudu mbuktekake nek pancen dudu kowe malinge. saiki melua aku menyang kali printahe. senajan ora ngerti maksude, limbat manut perintah tuwanne."
Sigarlaki dan Limbat,Sulawesi Utara,13,"menyelamlah ke dalam sungai ini. aku akan menancapkan tombakku ke dasar sungai. jika tombak ini lebih dulu keluar daripada kau, maka kau memang tak bersalah. namun jika kepalamu yang keluar lebih dulu, berarti kau pencurinya, kata sigarlaki.","nyilem menyang kali iki. aku bakal nancepke tumbakku neng dasar kali. yen tumbak iki metu luwih dhisik timbang awakmu, artine kowe pancen ora salah. tapi nek sirahmu metu luwih dhisik, artine kowe kuwi malinge, ujare sigarlaki."
Sigarlaki dan Limbat,Sulawesi Utara,14,"limbat sungguh ketakutan. mana bisa ia menyelam begitu lama dan mana mungkin tombak itu bisa keluar sendiri dari sungai ia sangat cemas. limbat tak bisa mengelak. ia pun menyelam ke dasar sungai dan sigarlaki menancapkan tombaknya. tapi baru beberapa detik berjalan, sigarlaki melihat seekor babi hutan melintas. ia segera mencabut tombaknya dan mengejar babi hutan itu. sayangnya, babi hutan itu lari dengan cepat dan sigarlaki kehilangan jejaknya. limbat pun keluar dari sungai dengan lega.","limbat kuwatir banget. piye isa nyilem suwi banget, lan piye carane tumbak isa metu dhewe saka banyu dheweke kuwatir tenan. limbat ora isa nolak. dheweke banjur nyilem menyang dasar kali lan sigarlaki nancepke tumbake. tapi durung suwe, sigarlaki ndelok ana babi alas mlayu. dheweke langsung nyabut tumbake lan ngejar babi kuwi. sayange, babi kuwi mlayu cepet banget lan ilang saka pandelengan. limbat metu saka banyu karo rasa lega."
Sigarlaki dan Limbat,Sulawesi Utara,15,"tuan, sudah terbukti bukan aku yang mencuri daging tuan katanya.","tuan, wis kabukten yen aku ora nyolong daging tuan, ya jarene."
Sigarlaki dan Limbat,Sulawesi Utara,16,"enak saja itu tadi hanya kebetulan. kau harus mengulanginya sekali lagi, jawab sigarlaki. rupanya, ia masih belum percaya kalau limbat berkata jujur.","enak wae kuwa mung kebeneran. kowe kudu ngulang maneh, jawab sigarlaki. kayake, dheweke isih durung percaya nek limbat jujur."
Sigarlaki dan Limbat,Sulawesi Utara,17,"jika kali ini kau berhasil, aku baru percaya padamu, tambah sigarlaki. terpaksa, limbat menyelam untuk kedua kalinya. dengan penuh percaya diri, sigarlaki sekali lagi menancapkan tombaknya. tiba-tiba, aduuhh, kakiku teriaknya. ternyata, seekor kepiting berukuran besar mencapit kakinya. sigarlaki kesal sekali, ia lalu mencabut tombaknya. sambil terpincang-pincang, ia berusaha memukul kepiting itu dengan tongkatnya.","yen saiki kowe isa maneh, aku bakal percaya karo kowe, tambah sigarlaki. limbat kepeksa nyilem maneh. sigarlaki kanthi yakin nancepke tumbake sepisan maneh. dumadakan, aduhhh, sikilku bengoke. ternyata, ana kepiting gedhe nyapit sikile. sigarlaki nesu banget, banjur nyabut tumbake. sambil pincang, dheweke nyoba mukul kepiting nganggo penthung."
Sigarlaki dan Limbat,Sulawesi Utara,18,"untuk kedua kalinya, limbat keluar dari sungai. dalam hati, ia geli menyaksikan tuannya lari terpincang-pincang. ia bersyukur kejujurannya telah terbukti. limbat mengejar tuannya dan mengajaknya pulang ke rumah.","kapindho kaline, limbat metu saka kali. ing njero ati, dheweke kelingan lucu ndelok tuwannya mlayu pincang. dheweke bersyukur amarga kejujuranne wis kabukten. limbat mlayu nyusul tuwannya lan ngajak bali menyang omah."
Sigarlaki dan Limbat,Sulawesi Utara,19,"maafkan aku, limbat, ternyata kau memang jujur padaku, kata sigarlaki. limbat hanya tersenyum. sejak saat itu, sigarlaki tak pernah lagi menuduhnya dengan sembarangan.","nyuwun ngapunten, limbat. ternyata kowe pancen jujur marang aku, ujare sigarlaki. limbat mung mesem. wiwit wektu kuwi, sigarlaki ora tau nuduh limbat sembarangan maneh."
