judul,provinsi,id_teks,teks,referensi
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,1,"alkisah, rakyat pulau raja ialah sebuah kota kecil di kabupaten asahan. dahulu kala, kota ini lebih besar dan ramai. menurut yang empunya cerita, kira-kira pada abad ke-17, di sini memerintah seorang raja yang bernama raja margolang. hubungan raja margolang dengan kerajaan-kerajaan lain di sekitarnya baik sekali. bahkan dengan raja haroharo yang bersemayam di porsea dekat balige, ia mempunyai hubungan kekeluargaan. saudaranya yang perempuan adalah permaisuri raja haroharo.","alkisah, rakyat pulau raja yaiku sawijining kutha cilik ing kabupaten asahan. mbiyen, kutha iki luwih gedhe lan rame. miturut sing nduwe crita, kira-kira ing abad kaping-17, ing kene mrentah sawijining raja sing jenenge raja margolang. hubungane raja margolang karo karajan-karajan liyane ing sakiwa tengene apik banget. malah karo raja haroharo sing mapan ing porsea cedhak balige, dheweke nduwe hubungan kekeluargaan. sedulure sing wadon dadi permaisuri raja haroharo."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,2,"pada suatu hari, raja margolang mengadakan pesta besar di istananya untuk merayakan kelahiran seorang puterinya. di sepanjang jalan dan di depan rumah didirikan gabagaba. panggung-panggung dibangun di depan istana untuk tempat pertunjukan permainan rakyat dan aneka ragam bunyi-bunyian. seluruh negeri bergembira. para pemuka daerah-daerah sekitar pulau raja diundang ke peralatan besar itu. juga raja haroharo dan permaisurinya tidak ketinggalan menyemarakan pesta itu. bersama mereka ikut puteranya yang masih kecil, naga sorai, dan sejumlah menteri serta pembesar negeri.","ing sawijining dina, raja margolang nganakake pesta gedhe ing istanane kanggo ngrayakake laire sawijining putrine. ing sepanjang dalan lan ing ngarep omah didirekake gabagaba. panggung-panggung dibangun ing ngarep istana kanggo panggonan pagelaran dolanan rakyat lan warna-warna swara. sak negara padha bungah. para pinituwa dhaerah-dhaerah sakidul wetane pulau raja diundang menyang pesta gedhe kuwi. uga raja haroharo lan permaisurine ora ketinggalan nyemarakake pesta kuwi. bareng karo wong loro kuwi melu uga putrane sing isih cilik, naga sorai, lan sak perangan menteri lan para pembesar nagara."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,3,"sebagaimana biasa pada pesta-pesta kerajaan, pada jamuan agung yang diadakan untuk para tamu, kedua belah pihak memberikan kata-kata sambutan. dalam pidatonya, raja haroharo mengingatkan bahwa antara kedua keluarga raja sejak dulu terjalin hubungan yang erat dan mesra. mereka selalu berkiriman berita dan bingkisan sebagai tanda persahabatan dan kekeluargaan. peralatan kedua keluarga selalu disemarakkan oleh utusan-utusan kerajaan yang diundang. pada akhir pidatonya, raja haroharo mengharapkan semoga raja margolang berkenan mengawinkan puterinya itu kelak dengan putera haroharo, naga sorai.","kaya biasane ing pesta-pesta kraton, ing dhaharan agung sing dianakake kanggo para tamu, loro-lorone maringi tembung pambuka. ing pidatone, raja haroharo ngelingke yen antara loro kulawarga raja saka mbiyen wis nyambung hubungan sing akrab lan mesra. wong-wong mau tansah kirim-kiriman kabar lan bingkisan minangka tandha paseduluran lan kekeluargaan. pesta loro kulawarga kuwi tansah diramekake dening utusan-utusan kraton sing diundang. ing akhire pidatone, raja haroharo ngarep-arep supaya raja margolang kersa ngawinake putrine kuwi mengko karo putrane haroharo, naga sorai."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,4,"dalam kata sambutannya, raja margolang menekankan bahwa sejak dahulu kala, raja haroharo bersahabat dengan dia dan setia padanya, baik dalam waktu susah maupun dalam waktu senang. hubungan akrab antara kedua kerajaan dipererat lagi karena adanya tukar-menukar barang dagangan antara keduanya. garam ke haroharo, sementara pulau raja menimpor kuda ternak lainnya dan budak dari haroharo. raja margolang selanjutnya menunjuk pada keberuntungan rakyat yang tinggal di pesisir danau toba. mereka selalu diberkati iklim yang baik dan air yang jernih. tidak mengherankan penduduk daerah ini selalu dalam keadaan sehat dan mempunyai otak yang cerdas. dipujinya watak rakyat haroharo yang jujur dan selalu berterus terang.","ing tembung pambukane, raja margolang nekanake yen saka mbiyen, raja haroharo wis dadi kanca karo dheweke lan setya marang dheweke, apik ing wektu susah lan seneng. hubungan akrab antara loro kraton dipereket maneh merga ana tukar-tinukar barang dagangan antarane. uyah menyang haroharo, dene pulau raja ngimpor jaran kewan liyane lan budhak saka haroharo. raja margolang sakteruse nunjukake marang kauntungane rakyat sing manggon ing pesisir danau toba. wong-wong kuwi tansah dilimpahi iklim sing apik lan banyu sing resik. ora nggumun yen penduduk dhaerah kono tansah sehat lan nduwe pikiran sing pinter. dipuji watake rakyat haroharo sing jujur lan tansah blaka."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,5,"pada akhir sambutannya, raja margolang mengharapkan agar pada waktu yang akan datang, para menteri dan pembesar kerajaannya akan lebih banyak berkesempatan istirahat di danau toba untuk menyegarkan rohani dan jasmani mereka. sebelum raja haroharo kembali ke porsea, disepakati bahwa naga sorai kelak akan mempersunting puteri raja margolang. dengan begitu, hubungan kekeluargaan antara kedua kerajaan akan bertambah akrab lagi. sebagai emas kawin, naga sorai kelak akan membawa sebentuk cincin emas dan sebuah batu keemasan.","ing akhire tembung pambukane, raja margolang ngarep-arep supaya ing wektu sing bakal teka, para menteri lan pembesar kratone bakal luwih akeh nduwe kesempatan ngaso ing danau toba kanggo nyegerake batin lan jasmani. sakdurunge raja haroharo bali menyang porsea, disepakati yen naga sorai mengko bakal nglamar putrine raja margolang. kanthi mengkono, hubungan kekeluargaan antara loro kraton bakal saya akrab maneh. minangka mas kawin, naga sorai mengko bakal nggawa sawijining cicin emas lan sawijining watu emas."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,6,"ketika sampai waktunya, naga sorai akan dikawinkan, ibundanya berkata kepadanya, ananda, puteri raja margolang sekarang sudah besar. jumpailah calon mertuamu, kakandaku itu, dan pinang puterinya. ayahandamu sendiri tidak dapat menyertaimu sebab kesehatannya agak terganggu, sedang perjalanan begitu jauh.","nalika tekan waktune, naga sorai arep dikawinake, ibune kandha marang dheweke, ananda, putrine raja margolang saiki wis gedhe. temonen calon mertua panjenengan, kakangku kuwi, lan lamara putrine. ramamu dhewe ora bisa melu amarga kasehatane rada ngganggu, dene lelampahan kuwi adoh banget."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,7,"bunda, ananda tidak mengenal calon mertua ananda, begitu pula permaisurinya. ananda khawatir mereka tidak bersedia menerima ananda nanti. permaisuri haroharo mengeluarkan sebuah cincin emas dan batu keemasan, dan meletakkannya di depan naga sorai. kemudian dimintanya suaminya bicara.","bunda, ananda ora kenal calon mertua ananda, uga permaisurine. ananda kuwatir yen wong-wong kuwi ora gelem nampa ananda mengko. permaisuri haroharo ngluwihi sawijining cicin emas lan watu emas, lan nyelehke ana ngarep naga sorai. banjur dijaluk marang bojone supaya kandha."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,8,"ananda, demikian raja haroharo, ketika ananda masih kecil, ananda kami bawa menghadiri pesta besar yang diadakan raja margolang untuk merayakan kelahiran puterinya. ketika itu kami sepakat bahwa bila puterinya itu sudah dewasa, ananda akan mempersuntingnya. disepakati pula bahwa ananda akan membawa dan memperlihatkan cincin dan batu keemasan ini bila ananda datang meminang. ananda akan diterima di istana bila barang-barang ini ananda perhatikan. cincin dan batu ini mempunyai tenaga gaib. jangan ceritakan rahasianya kepada siapapun, nanti ananda dibunuh dan dirampok orang dalam perjalanan.","ananda, mangkono raja haroharo, nalika ananda isih cilik, ananda kita ajak ngadhepi pesta gedhe sing dianakake raja margolang kanggo ngrayakake laire putrine. nalika kuwi kita wis padha sarujuk yen yen putrine kuwi wis diwasa, ananda bakal nglamar dheweke. disepakati uga yen ananda bakal nggawa lan nduduhake cicin lan watu emas iki yen ananda teka nglamar. ananda bakal ditampa ing istana yen barang-barang iki ananda pirsani. cicin lan watu iki nduwe tenaga gaib. aja critakake rahasiane marang sapa wae, mengko ananda dibunuh lan dirampok wong ing tengah dalan."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,9,"lalu dijelaskan baginda khasiat cincin dan batu itu. dalam bahasa batak, cincin itu dinamakan tintin tumbuk yang berarti cincin yang cocok. keistimewaannya ialah bahwa cincin itu cocok dipakai pada semua jari siapa pun pemakainya. batu itu disebut dalam bahasa batak pungga haomasan. besarnya seperti kotak korek api. khasiatnya, semua makhluk hidup yang menjilatnya tidak akan pernah merasa haus, betapapun panasnya hari atau jauhnya orang berjalan. jadi batu itu sangat berguna bagi orang yang bekerja keras atau melakukan perjalanan jauh.","banjur dijelasake dening baginda khasiate cicin lan watu kuwi. ing basa batak, cicin kuwi dijenengake tintin tumbuk sing tegese cicin sing cocog. kaistimewaane yaiku yen cicin kuwi cocog dipigunakake ing kabeh driji sapa wae sing nganggo. watu kuwi dijenengake ing basa batak pungga haomasan. gedhene kaya kothak korek api. khasiate, kabeh makhluk urip sing njilat kuwi ora bakal tau krasa ngelak, senajan panase dina utawa adohe wong mlaku. mula watu kuwi migunani banget kanggo wong sing kerja keras utawa lelampahan adoh. sakwise baginda njelaske kabeh, lan khasiate loro barang gaib kuwi diuji, diundanglah sawijining ahli nujum. dheweke kudu ndelok langkah naga sorai, tegese nemtokke dina lan wektu sing paling apik kanggo miwiti lelampahane. sing bakal ngancani naga sorai yaiku sawatara pembesar nagara lan anggota kulawarga uga para budhak. sawijining budhak pilihan, sipakpak kunal, sing bakal dadi pengawal lan sawijining panunjuk dalan, nyampurnani rombongan."
Sipakpak Kunal Dan Nagai Sori,Sumatera Utara,10,"sesudah baginda menjelaskan semuanya, dan khasiat kedua barang ajaib itu diuji, dipanggillah seorang ahli nujum. ia harus melihat langkah naga sorai, artinya menentukan hari dan waktu yang paling baik untuk memulai perjalanannya. yang akan mengiringkan naga sorai ialah beberapa pembesar negara dan anggota keluarga serta budak-budak. seorang budak pilihan, sipakpak kunal, yang akan menjadi pengawal serta seorang penunjuk jalan, melengkapi rombongan.","sakwise kabeh persiapan rampung, ing dina lan wektu sing wis ditemtokke, mangkatlah rombongan saka istana. raja haroharo ngancani rombongan nganti tekan wates karajane. lelampahan sing adoh kuwi ditindakke ngliwati kali asahan sing asale saka danau toba ing porsea. kadhangkala wong-wong kuwi liwat alas belantara lan nututi dalan-dalan cilik. kabeh lumaku kanthi aman tanpa gangguan apa-apa."
