judul,provinsi,id_teks,teks,referensi
Situ Bagendit (Version 1),Jawa Barat,1,"dahulu kala, di sebelah utara kota garut, terdapat sebuah desa yang penduduknya sebagian besar bekerja sebagai petani. tanahnya yang subur serta ketersediaan air yang melimpah membuat para petani dapat menghasilkan padi berkualitas baik. namun, meskipun tanah desa itu kaya, para penduduk tetap hidup dalam kemiskinan. hal ini disebabkan oleh keberadaan seorang tengkulak kaya raya yang pelit dan tamak, bernama nyai endit.","mbiyen kala, ing sisih lore kutha garut, ana sawijining desa sing wargane akeh-akehe kerja dadi petani. tanahe sing subur lan ketersediaan banyu sing akeh ndadekake para petani isa ngasilake pari sing apik. nanging, senajan tanah desa kuwi sugih, wargane tetep urip mlarat. iki disebabkake merga ana sawijining tengkulak sugih raya sing pelit lan serakah, jenenge nyai endit."
Situ Bagendit (Version 1),Jawa Barat,2,"nyai endit merupakan seorang janda kaya yang memperoleh kekayaannya dari warisan suaminya. namun, kekayaan itu justru membuatnya menjadi sosok yang kikir, sombong, dan congkak. ia sering menekan para petani dengan memaksa mereka menjual hasil panennya dengan harga murah. ketika persediaan beras masyarakat habis, mereka harus membeli kembali dari nyai endit dengan harga yang jauh lebih mahal. perbuatan nyai endit ini membuat masyarakat desa hidup dalam penderitaan.","nyai endit kuwi sawijining randha sugih sing oleh bandha saka warisan bojone. nanging, kasugihan kuwi malah ndadekake dheweke dadi wong sing kikir, sumbung, lan angkuh. dheweke kerep nindhes para petani kanthi maksa adol hasil panene kanthi rega murah. nalika persediaan beras masyarakat entek, wong-wong kudu tuku maneh saka nyai endit kanthi rega sing adoh luwih larang. tumindake nyai endit iki ndadekake masyarakat desa urip sengsara."
Situ Bagendit (Version 1),Jawa Barat,3,"nyai endit tidak pernah membantu warga yang sedang kesulitan. setiap kali ada yang datang meminta bantuan, ia selalu menolak dengan angkuh.","nyai endit ora tau nulungi warga sing lagi kasulitan. saben ana sing teka njaluk bantuan, dheweke mesthi nolak nganggo sikap angkuh."
Situ Bagendit (Version 1),Jawa Barat,4,"ini semua adalah hartaku untuk apa aku membagikannya kepada kalian kalian hanya bisa meminta-minta seharusnya kalian bekerja lebih keras jika ingin kaya seperti aku, ujarnya dengan sombong.","iki kabeh bandhaku ngapain aku kudu mbagi karo kowe kabeh kowe kabeh mung isa njaluk sakmestine kowe kudu kerja luwih keras nek pengin sugih kaya aku, ujare kanthi sombong."
Situ Bagendit (Version 1),Jawa Barat,5,"selain itu, nyai endit kerap mengadakan pesta besar untuk memamerkan kekayaannya kepada warga desa. pesta-pesta itu justru menambah beban bagi masyarakat. persediaan bahan makanan di desa semakin menipis, sementara banyak penduduk mulai kelaparan. di sisi lain, nyai endit selalu berpesta pora dengan makanan mewah di rumahnya tanpa peduli pada penderitaan orang lain.","saliyane kuwi, nyai endit kerep ngadani pesta gedhe kanggo pamer kasugihane marang warga desa. pesta-pesta kuwi malah nambah abot beban kanggo masyarakat. persediaan panganan neng desa saya entek, dene akeh warga mulai keluwen. ing sisih liyane, nyai endit tansah pesta pora karo panganan mewah neng omahe tanpa perduli marang sengsarane wong liya."
Situ Bagendit (Version 1),Jawa Barat,6,"pada suatu hari yang sangat terik, nyai endit kembali mengadakan pesta besar di rumahnya. di tengah kemeriahan pesta, seorang pengemis tua dengan pakaian compang-camping datang mendekat. dengan tubuh yang lemah, ia berjalan perlahan menuju rumah nyai endit.","ing sawijining dina sing panas banget, nyai endit maneh ngadani pesta gedhe neng omahe. ing tengah kemeriahan pesta, ana sawijining pengemis tuwa nganggo klambi tambal-sambungan teka nyedhaki. kanthi awak ringkih, dheweke mlaku alon-alon marani omahe nyai endit."
Situ Bagendit (Version 1),Jawa Barat,7,"nyai, tolong beri saya makanan sedikit saja. saya lapar dan sudah berhari-hari tidak makan, pinta pengemis itu dengan suara lirih.","nyai, tulung wenehi aku panganan sithik wae. aku keluwen lan wis pirang-pirang dina ora mangan, njaluk pengemis kuwi kanthi swara lirih."
Situ Bagendit (Version 1),Jawa Barat,8,"namun, alih-alih merasa iba, nyai endit justru merasa terganggu. dengan nada kasar, ia memanggil penjaga untuk mengusir pengemis itu.","nanging, bukane melasi, nyai endit malah rumangsa keganggu. kanthi swara kasar, dheweke ngundang penjaga kanggo ngusir pengemis kuwi."
Situ Bagendit (Version 1),Jawa Barat,9,"pergi kau dari sini, pengemis kotor tidak lihatkah kau aku sedang berpesta baumu membuat semua orang tidak nyaman teriaknya dengan marah.","minggat kowe saka kene, pengemis reged ora weruh ta nek aku lagi pesta ambumu ndadekake wong-wong ora nyaman bengoke karo nesu."
Situ Bagendit (Version 1),Jawa Barat,10,"para penjaga pun segera mengusir pengemis tua itu dengan paksa. dengan hati sedih, pengemis tersebut pergi meninggalkan rumah nyai endit.","para penjaga langsung ngusir pengemis tuwa kuwi nganggo paksa. kanthi ati susah, pengemis kuwi lunga ninggalake omahe nyai endit."
Situ Bagendit (Version 1),Jawa Barat,11,"keesokan harinya, di salah satu jalan di desa, warga menemukan sebuah tongkat yang tertancap di tanah. anehnya, tidak ada seorang pun yang berhasil mencabut tongkat itu, meskipun banyak yang mencobanya secara beramai-ramai. rasa penasaran pun menyelimuti para penduduk.","esuke, neng salah siji dalan neng desa, warga nemokake sawijining tongkat sing nancep neng lemah. anehe, ora ana siji wae sing isa nyabut tongkat kuwi, senajan wis dicoba rame-rame. rasa penasaran nyelimuti para warga."
