judul,provinsi,id_teks,teks,referensi
Sungai Jodoh,Kalimantan Barat,1,"di sebuah desa di pedalaman pulau batam, hiduplah seorang gadis muda bernama mah bongsu. sejak kehilangan kedua orang tuanya, mah bongsu tinggal dan bekerja sebagai pembantu di rumah seorang wanita tua bernama mah piah. namun, kehidupan di rumah itu tidaklah mudah. mah piah dikenal sebagai wanita yang kikir dan serakah, dan anaknya, siti mayang, memiliki sifat yang sama.","ing sawijining desa ing pedalaman pulo batam, urip ana sawijining perawan enom jenenge mah bongsu. wiwit kelangan wong tuwane loro, mah bongsu manggon lan nyambut gawe dadi pembantu ing omahe sawijining wong wadon tuwa jenenge mah piah. nanging, urip ing omah kuwi ora gampang. mah piah dikenal dadi wong wadon sing kikir lan serakah, lan anake, siti mayang, nduweni sipat sing padha."
Sungai Jodoh,Kalimantan Barat,2,"setiap hari, mah bongsu pergi ke sungai untuk mencuci pakaian rumah tangga. suatu hari, ketika sedang bekerja, ia terkejut melihat seekor ular melintas di dekatnya. meski awalnya ketakutan, mah bongsu menyadari bahwa ular itu tidak menyerangnya. sebaliknya, ular tersebut tampak lemah, dengan luka-luka di tubuhnya. merasa iba, mah bongsu membawa ular itu pulang dan merawatnya dengan penuh kasih sayang.","saben dina, mah bongsu lunga menyang kali kanggo ngumbah klambi rumah tangga. sawijining dina, nalika lagi nyambut gawe, dheweke kaget weruh ana ula liwat cedhake. sanajan awale wedi, mah bongsu nyadari yen ula kuwi ora nyerang dheweke. kosok baline, ula kuwi katon ringkih, karo tatu-tatu ing awake. merga ngerasakake iba, mah bongsu nggawa ula kuwi mulih lan ngerumate nganggo katresnan sing tulus."
Sungai Jodoh,Kalimantan Barat,3,"setiap kali kulit ular itu mengelupas, mah bongsu memungutnya dan membakarnya. keajaiban pun terjadi: asap dari pembakaran kulit ular itu membawa rezeki. jika asap mengarah ke singapura, muncullah tumpukan emas dan berlian. jika mengarah ke koto bandar lampung, muncul kain sutra yang indah. dalam waktu singkat, mah bongsu menjadi kaya raya. namun, kekayaan tidak membuatnya sombong. ia tetap rendah hati dan dermawan, membantu siapa pun yang membutuhkan.","saben kulit ula kuwi ngelupas, mah bongsu mungut lan ngobong kuwi. ana kaajaiban sing kelakon: asap saka obongan kulit ula kuwi nggawa rejeki. nek asape marani singapura, metu tumpukan emas lan berlian. nek marani koto bandar lampung, metu kain sutra sing endah. sajeroning wektu sing cendhak, mah bongsu dadi sugih raya. nanging, kasugihan kuwi ora ndadekake dheweke sombong. dheweke tetep andhap asor lan loman, nulungi sapa wae sing butuh pitulungan."
Sungai Jodoh,Kalimantan Barat,4,"kabar tentang kekayaan mah bongsu akhirnya sampai ke telinga mah piah dan siti mayang. penasaran, mereka menyelidiki asal-usul kekayaan mah bongsu. pada suatu malam, mereka menemukan ular yang dirawat mah bongsu serta tumpukan kulit ular yang telah terkelupas di kamar gadis itu.","kabar bab kesugihane mah bongsu pungkasane tekan kupinge mah piah lan siti mayang. merga penasaran, dheweke nyelidiki asal-usule kesugihane mah bongsu. ing sawijining wengi, dheweke nemu ula sing dirumat mah bongsu lan tumpukan kulit ula sing wis ngelupas ing kamare bocah wadon kuwi."
Sungai Jodoh,Kalimantan Barat,5,"mereka langsung percaya bahwa ular itu adalah sumber kekayaan mah bongsu. dengan niat serakah, mah piah dan siti mayang pergi ke hutan untuk mencari ular serupa. namun, ular yang mereka temukan adalah ular berbisa. ketika mereka membawa ular itu pulang, bencana terjadi. ular berbisa itu menyengat siti mayang, yang akhirnya meninggal dunia akibat racunnya.","dheweke langsung percaya yen ula kuwi asale kasugihane mah bongsu. kanthi niat serakah, mah piah lan siti mayang lunga menyang alas kanggo nggoleki ula sing padha. nanging, ula sing diduweke kuwi ula berbisa. nalika dheweke nggawa ula kuwi mulih, bencana kelakon. ula berbisa kuwi nyengat siti mayang, sing pungkasane mati merga racune."
Sungai Jodoh,Kalimantan Barat,6,"sementara itu, ular yang dirawat oleh mah bongsu telah sembuh dari luka-lukanya. suatu malam, ular itu berkata kepada mah bongsu, malam ini, tolong antarkan aku ke sungai. mah bongsu, dengan penuh kepercayaan, menuruti permintaan ular itu dan membawanya ke tepi sungai.","samentara kuwi, ula sing dirumat mah bongsu wis waras saka tatu-tatue. ing sawijining wengi, ula kuwi kandha marang mah bongsu, bengi iki, tulung antarke aku menyang kali. mah bongsu, kanthi kapercayan sing dhuwur, nuruti panjaluk ula kuwi lan nggawa ula kuwi menyang pinggir kali."
Sungai Jodoh,Kalimantan Barat,7,"di sana, ular itu berkata, sudah waktunya bagiku untuk melamarmu menjadi istriku. mah bongsu terkejut ketika ular itu tiba-tiba berubah menjadi seorang pemuda tampan. kulit ular yang terkelupas berubah menjadi rumah megah yang sangat indah.","ing kono, ula kuwi kandha, wis wayahe aku lamaran karo kowe dadi bojoku. mah bongsu kaget nalika ula kuwi ndadak malih dadi sawijining nom-noman ayu. kulite ula sing ngelupas malih dadi omah megah sing endah banget."
Sungai Jodoh,Kalimantan Barat,8,"meski awalnya tidak percaya dengan kejadian itu, mah bongsu akhirnya menerima lamaran pemuda tersebut. mereka menikah dan hidup bahagia bersama di rumah megah itu. cinta dan kebahagiaan selalu menyertai kehidupan mereka, dan kisah mereka menjadi perbincangan hangat di seluruh desa.","sanajan awale ora percaya karo kedadeyan kuwi, mah bongsu pungkasane nampa lamaran nom-noman kuwi. dheweke rabi lan urip bebarengan kanthi bahagia ing omah megah kuwi. katresnan lan kabagyan tansah ngetutake uripe, lan critane dadi omongan anget ing sak desa."
Sungai Jodoh,Kalimantan Barat,9,"keberhasilan dan kebahagiaan mah bongsu membuat masyarakat desa kagum. sebagai penghargaan atas keajaiban yang terjadi, desa tempat tinggal mah bongsu dinamakan desa tiban, yang berarti ketiban rezeki. sementara itu, sungai tempat mah bongsu bertemu dengan pemuda tampan dikenal sebagai sungai jodoh, karena dipercaya sebagai tempat di mana jodoh dan keberuntungan akan bertemu.","kasuksesan lan kabagyane mah bongsu ndadekake warga desa kagum. minangka pangajen marang kaajaiban sing kelakon, desa panggonane mah bongsu dijenengake desa tiban, sing tegese ketiban rejeki. samentara kuwi, kali panggonan mah bongsu ketemu karo nom-noman ayu dijenengake kali jodho, merga dipercaya dadi panggonan ing ngendi jodho lan rejeki bakal ketemu."
Sungai Jodoh,Kalimantan Barat,10,"kisah mah bongsu dan ular ajaibnya terus dikenang dan diwariskan dari generasi ke generasi. cerita ini mengajarkan tentang pentingnya kebaikan hati, ketabahan, dan keyakinan bahwa keajaiban bisa terjadi di dunia ini.","crita mah bongsu lan ula ajaibe terus dikenang lan diwarisake saka generasi menyang generasi. crita iki mulangake bab pentinge kabecikan atine, kasabaran, lan kapercayan yen kaajaiban isa kelakon ing donya iki."
