judul,provinsi,id_teks,teks,referensi
Suri Ikun dan Dua Burung,Maluku,1,"pada suatu ketika, dikisahkan hiduplah sepasang suami istri yang memiliki empat belas orang anak. tujuh orang anak adalah perempuan dan tujuh orang anak lainnya laki-laki. suami istri tersebut mempunyai kebun yang cukup luas di pulau timor. suri ikun merupakan salah satu di antara tujuh anak laki-laki yang mereka miliki. perangainya sangatlah baik. ia sangat jujur, suka menolong, dan berbakti pada kedua orang tuanya. ia juga senang membantu ketujuh saudara perempuannya. karenanya, suri ikun sangat disayang oleh kedua orang tuanya dan ketujuh saudara perempuannya. berbeda dengan keenam saudara laki-lakinya yang sangat pemalas dan penakut.","ing salah sawijining wektu, diceritakake urip sapasang bojo sing nduwe patbelas anak. pitu anak kuwi wadon lan pitu anak liyane lanang. bojo kuwi nduwe kebon sing cukup amba ana ing pulo timor. suri ikun kuwi salah sijine saka pitu anak lanang sing diduweni. tumindake apik banget. dheweke jujur banget, seneng nulungi, lan bakte marang wong tuwane. dheweke uga seneng mbantu pitu sedulur wadone. mulane, suri ikun banget disenengi karo wong tuwane lan pitu sedulur wadone. bentene karo enem sedulur lanange sing banget males lan penakut."
Suri Ikun dan Dua Burung,Maluku,2,"suatu hari, babi hutan datang menyerang kebun milik suami istri tersebut. serangan babi hutan membuat panen gagal dan tanaman banyak yang rusak sehingga menimbulkan kerugian yang sangat besar. bu, bagaimana kita harus menghidupi anak-anak kita panen kali ini gagal dan tanaman banyak yang rusak, ucapnya kepada sang istri.","ing salah sawijining dina, celeng alas teka nyerang kebon duweke bojo kuwi. serangane celeng alas ndadekake panene gagal lan tandurane akeh sing rusak nganti ndadekake kerugian gedhe banget. bu, piye carane kita kudu nguripi anak-anak kita panene saiki gagal lan tanduran akeh sing rusak, kandhane marang bojone."
Suri Ikun dan Dua Burung,Maluku,3,"mendengar pembicaraan kedua orang tuanya, suri ikun mendekati mereka. ia sangat ingin membantu kedua orang tuanya. ayah, aku punya cara agar kebun kita tidak dirusak oleh babi hutan. setiap malam aku dan kakak laki-laki yang lain akan bergantian menjaga kebun, ucap suri ikun kepada orang tuanya.","krungu omongane wong tuwane, suri ikun nyedhaki wong tuwane. dheweke kepengin banget nulungi wong tuwane. yah, aku nduwe cara supaya kebone ora dirusak karo celeng alas. saben bengi aku lan kakang-kakang lanang bakal gantian njaga kebon, kandhane suri ikun marang wong tuwane."
Suri Ikun dan Dua Burung,Maluku,4,"wah, ide yang bagus. terima kasih kamu sudah mau membantu ayah, ucapnya lega.","wah, ide sing apik. matur nuwun wis gelem nulungi bapak, kandhane lega."
Suri Ikun dan Dua Burung,Maluku,5,"mengetahui ide itu, keenam kakak laki-laki suri ikun bukanlah senang karena dapat membantu kedua orang tuanya, melainkan mereka geram kepada suri ikun. mereka yang penakut sebenarnya tidak menyukai ide tersebut. tapi ide tersebut sudah terlanjur disetujui oleh orang tua mereka. kamu ini ingin mencari muka di depan ayah dan ibu, ya bentak salah seorang kakak lelakinya.","ngerteni ide kuwi, enem kakang lanange suri ikun ora seneng amarga bisa nulungi wong tuwane, nanging padha nesu marang suri ikun. wong-wong kuwi sing penakut sejatine ora seneng karo ide kuwi. nanging ide kuwi wis kadung disetujoni karo wong tuwane. kowe kuwi arep golek muka nang ngarepe bapak lan ibu, ya bentake salah sijine kakang lanange."
Suri Ikun dan Dua Burung,Maluku,6,"maaf, kak, aku hanya ingin membantu orang tua kita yang sedang kesulitan untuk menafkahi kita, ucap suri ikun.","ngapunten, kak, aku mung kepengin nulungi wong tuwa kita sing lagi kesusahan nguripi kita, kandhane suri ikun."
Suri Ikun dan Dua Burung,Maluku,7,"kau tahu tidak kemarin anak tetangga kita mati gara-gara diserang oleh babi hutan, ucap kakaknya.","kowe ngerti ora wingi anak tangga kita mati merga diserang celeng alas, kandhane kakange."
Suri Ikun dan Dua Burung,Maluku,8,"oh, itu. dia bukan mati karena babi hutan. ia mati karena tenggelam di sungai, ucap suri ikun lagi.","oh, kuwi. dheweke ora mati merga celeng alas. dheweke mati merga klelep nang kali, kandhane suri ikun maneh."
Suri Ikun dan Dua Burung,Maluku,9,"betapa kesal hati keenam kakaknya mendengar jawaban adiknya yang lugu. akhirnya, mau tidak mau, ketujuh anak laki-laki itu harus menjaga kebun milik ayah mereka secara bergantian. namun, karena merasa takut dengan babi hutan, keenam saudara laki-laki suri ikun akhirnya mengatur siasat agar suri ikun yang selalu menjaga kebun mereka.","betapa nesune ati enem kakange krungu jawaban adik sing polos kuwi. akhire, senajan ora gelem, pitu anak lanang kuwi kudu njaga kebon duweke bapake kanthi gantian. nanging, merga wedi karo celeng alas, enem sedulur lanange suri ikun banjur ngatur siasat supaya suri ikun wae sing terus njaga kebon."
Suri Ikun dan Dua Burung,Maluku,10,"suri ikun, aku tidak pandai memanah. jadi sebaiknya malam ini kau saja yang menjaga kebun kita, ucap kakaknya.","suri ikun, aku ora pinter manah. mulane sing apik saiki kowe wae sing njaga kebon kita, kandhane kakange."
Suri Ikun dan Dua Burung,Maluku,11,"tanpa berpikir bahwa ia telah diperdaya, suri ikun menuruti keinginan kakaknya. hari berganti hari, keenam kakaknya tetap mengemukakan alasan yang serupa. akhirnya, hanya suri ikunlah yang setiap hari menjaga kebun dari serangan babi hutan.","tanpa mikir yen dheweke wis diapusi, suri ikun manut karepe kakange. dina ganti dina, enem kakange isih wae nyebut alesan sing padha. akhire, mung suri ikun sing saben dina njaga kebon saka serangan celeng alas."
Suri Ikun dan Dua Burung,Maluku,12,"suatu hari, ketika suri ikun berhasil memanah babi hutan yang hendak merusak kebun miliknya, ia membawa daging buruannya ke rumah. betapa liciknya keenam kakak lelakinya, mereka membagi daging babi hutan itu hanya untuk mereka, sedangkan suri ikun hanya disisakan bagian kepalanya.","siji dina, wektu suri ikun bisa manah celeng alas sing arep ngrusak kebon, dheweke nggawa daging buruane mulih. betapa licike enem kakange, wong-wong kuwi mung mbagi daging celeng alas kuwi mung kanggo dheweke, dene suri ikun mung disisani bagian endhase."
Suri Ikun dan Dua Burung,Maluku,13,"kalian makan saja semuanya. aku tidak suka babi hutan, ucap suri ikun dengan ikhlas.","kowe mangan wae kabeh. aku ora seneng daging celeng alas, kandhane suri ikun kanthi ikhlas."
Suri Ikun dan Dua Burung,Maluku,14,keenam kakak lelakinya tertawa melihat adik mereka tidak mendapatkan bagian apa-apa. suri ikun yang baik hati semakin disayang oleh kedua orang tuanya. hal ini menimbulkan rasa iri dari keenam kakak lelakinya.,enem kakange padha ngguyu krungu adike ora entuk bagian apa-apa. suri ikun sing becik ati saya disenengi karo wong tuwane. iki ndadekake rasa meri saka enem kakange.
Suri Ikun dan Dua Burung,Maluku,15,"selalu saja suri ikun yang dipuji-puji. kita tidak pernah dipuji dan disayang seperti itu oleh ayah dan ibu. ini tidak adil, ucap salah seorang kakaknya.","saklawase suri ikun wae sing dipuji-puji. kita ora tau dipuji lan disenengi kaya ngono karo bapak lan ibu. iki ora adil, kandhane salah sijine kakange."
Suri Ikun dan Dua Burung,Maluku,16,benar. bagaimana kalau kita cari siasat agar ia keluar dari rumah ini ucap kakak lelakinya yang lain.,bener. kepiye nek kita golek akal supaya dheweke metu saka omah iki kandhane kakang lanange liyane.
Suri Ikun dan Dua Burung,Maluku,17,setuju. kata keenam kakak laki-laki suri ikun.,setuju. kandhane enem kakang lanange suri ikun.
Suri Ikun dan Dua Burung,Maluku,18,"akhirnya tibalah hari yang direncanakan. salah seorang kakak lelakinya membujuk suri ikun untuk pergi berburu ke hutan. mereka sengaja mencelakai suri ikun dengan mengumpankannya kepada hantu-hantu hutan di pinggiran desa yang suka memakan manusia. tanpa rasa curiga sedikit pun, suri ikun memenuhi ajakan keenam kakak lelakinya.","akhire tekan dina sing wis direncanake. salah sijine kakange mbujuk suri ikun supaya lunga mburu menyang alas. wong-wong kuwi pancen sengaja nyilakani suri ikun kanthi ngepasi marang lelembut alas ing pinggir desa sing seneng mangan manungsa. tanpa rasa curiga sithik wae, suri ikun manut ajakan enem kakange."
Suri Ikun dan Dua Burung,Maluku,19,"hari sudah mulai malam, ketujuh saudara laki-laki itu pergi masuk ke hutan yang angker. suri ikun diam-diam ditinggal oleh keenam kakaknya di dalam hutan. ia yang baru menyadari bahwa dirinya hanya seorang diri di dalam hutan kemudian berteriak-teriak memanggil kakaknya.","wayah wis mulai bengi, pitu sedulur lanang kuwi mlebu alas angker. suri ikun dicegat tanpa ngerti dewe mung dheweke wae nang alas kuwi. dheweke sing mung ngerti yen dheweke mung dhewekan ing alas banjur mbengok-mbengok nelpon kakange."
