judul,provinsi,id_teks,teks,referensi
Tadulako Bulili,Sulawesi Tengah,1,"di sulawesi tengah, sebutan untuk pendekar adalah tadulako, yang berarti panglima perang. kisah ini bercerita tentang tiga tadulako sakti dari desa bulili: bantili, molove, dan makeku. ketiganya dikenal sangat kuat, sehingga tidak ada yang mampu menandingi kesaktian mereka. berkat kehadiran mereka, desa bulili menjadi aman dan disegani oleh siapa pun yang mendengarnya.","ing sulawesi tengah, sebutan kanggo pendekar yaiku tadulako, sing tegese panglima perang. crita iki nyritakake babagan telu tadulako sakti saka desa bulili: bantili, molove, lan makeku. ketigane dikenal banget kuwat, nganti ora ana sing bisa nanding kesaktianne. marga saka kehadirane, desa bulili dadi aman lan disegani dening sapa wae sing krungu."
Tadulako Bulili,Sulawesi Tengah,2,"suatu hari, desa bulili kedatangan raja sigi, yang sedang berjalan-jalan dan bertemu dengan seorang gadis cantik asal bulili. raja sigi jatuh cinta dan meminangnya. mereka menikah dan menetap di bulili. setelah beberapa bulan, istrinya mengandung. namun, di tengah kebahagiaan itu, raja sigi menyatakan keinginannya untuk kembali ke negerinya di sigi.","ing sawijining dina, desa bulili dikunjungi dening raja sigi, sing lagi dolan-dolan lan ketemu karo sawijining prawan ayu saka bulili. raja sigi tiba cinta lan nglamar. wong loro kuwi nikah lan manggon ing bulili. sawise sawetara sasi, garwane ngandhut. nanging, ing tengah kabungahan kuwi, raja sigi nyatakake kekarepane kanggo bali menyang nagarane ing sigi."
Tadulako Bulili,Sulawesi Tengah,3,"adinda, aku harus kembali ke sigi. banyak urusan yang belum terselesaikan di sana, ucap raja sigi.","adinda, aku kudu bali menyang sigi. akeh urusan sing durung rampung ana kono, ujare raja sigi."
Tadulako Bulili,Sulawesi Tengah,4,"meskipun istrinya memohon agar dia tetap tinggal untuk menyaksikan kelahiran anak mereka, raja sigi tetap pergi. tunggulah, dinda. kanda yakin adinda adalah wanita yang kuat, katanya sebelum pergi.","sanajan garwane nyuwun supaya tetep tinggal kanggo nyekseni laire anake, raja sigi tetep lunga. tunggulaha, dinda. kanda yakin adinda yaiku wanita sing kuwat, kandhane sakdurunge lunga."
Tadulako Bulili,Sulawesi Tengah,5,"tanpa suami di sisinya, istri raja sigi melahirkan seorang bayi yang sehat. kelahiran bayi itu disambut bahagia oleh warga bulili. para pemuka desa kemudian memutuskan untuk mengirim dua tadulako, makeku dan bantili, ke sigi untuk memberi kabar tentang kelahiran anak sang raja sekaligus meminta padi dari lumbung kerajaan sebagai tanda kebanggaan dan tanggung jawab sang ayah.","tanpa bojone ing sandhinge, garwane raja sigi nglairake sawijining bayi sing sehat. laire bayi kuwi disambut kabungahan dening warga bulili. para pinituwa desa banjur mutusake kanggo ngutus loro tadulako, makeku lan bantili, menyang sigi kanggo ngabarake laire anake sang raja sekaligus njaluk pari saka lumbung karajan minangka tandha kabanggaan lan tanggung jawab sang bapak."
Tadulako Bulili,Sulawesi Tengah,6,"namun, sesampainya di sigi, raja sigi justru menyambut mereka dengan sinis. apa maksud kalian datang ke istanaku tanyanya.","nanging, sawise tekan sigi, raja sigi malah nyambut kedadekane karo sinis. apa maksud kalian teka menyang istanaku pitakone."
Tadulako Bulili,Sulawesi Tengah,7,"setelah bantili menjelaskan maksud mereka, raja sigi malah melecehkan keduanya. baiklah, kalau kalian ingin padi dari lumbungku, coba kalian angkat sendiri lumbung itu. bahkan puluhan orang pun kesulitan menggesernya, ucap raja sigi dengan angkuh.","sawise bantili nerangake maksude, raja sigi malah ngeremehkake wong loro kuwi. ya wis, yen kowe wong loro pengin pari saka lumbungku, coba kowe kabeh angkat dhewe lumbung kuwi. puluhan wong wae angel nggesere, ujare raja sigi kanthi angkuh."
Tadulako Bulili,Sulawesi Tengah,8,"merasa diremehkan, bantili dan makeku langsung menuju lumbung padi. dengan kekuatan luar biasa, bantili berhasil mengangkat lumbung padi yang besar, sementara makeku mengawalnya. raja sigi terkejut melihat kejadian itu. merasa dipermalukan, ia segera memerintahkan para pengawalnya untuk menangkap kedua tadulako.","kerasa diremehkake, bantili lan makeku langsung menyang lumbung pari. kanthi kekuatan sing luar biasa, bantili bisa ngangkat lumbung pari sing gedhe, dene makeku njaga. raja sigi kaget ndelok kedadean kuwi. krasa isin, dheweke langsung mrentah para pengawale kanggo nyekel loro tadulako kuwi."
Tadulako Bulili,Sulawesi Tengah,9,"namun, dengan kekuatan dan kesigapan mereka, makeku dan bantili berhasil menghindari para pengawal. ketika mereka sampai di sungai yang besar dan dalam, para pengawal mengira tadulako itu akan menyerah. namun, bantili dan makeku berhasil menyeberangi sungai dengan mudah, meskipun bantili membawa lumbung padi besar di pundaknya. para pengawal hanya bisa terpana karena mereka tidak mampu menyeberangi sungai seperti kedua tadulako itu.","nanging, kanthi kekuatan lan kasigapane, makeku lan bantili bisa ngindhari para pengawal. nalika tekan kali sing gedhe lan jero, para pengawal ngira tadulako kuwi bakal nyerah. nanging, bantili lan makeku bisa nyabrang kali kanthi gampang, sanajan bantili nggawa lumbung pari gedhe ing pundhake. para pengawal mung bisa kagum amarga ora bisa nyabrang kali kaya tadulako loro kuwi."
Tadulako Bulili,Sulawesi Tengah,10,"dengan selamat, makeku dan bantili tiba kembali di desa bulili, membawa lumbung padi untuk istri raja sigi dan bayi mereka. sementara itu, raja sigi menderita kerugian besar karena lumbung padinya dibawa ke bulili. kisah ini menjadi bukti kesaktian para tadulako bulili dan pengabdian mereka kepada desa dan rakyatnya.","kanthi slamet, makeku lan bantili tekan maneh ing desa bulili, nggawa lumbung pari kanggo garwane raja sigi lan bayi kuwi. sakliyane kuwi, raja sigi ngalami kerugian gedhe amarga lumbung parine digawa menyang bulili. crita iki dadi bukti kesaktianne para tadulako bulili lan pengabdianne marang desa lan rakyate."
