judul,provinsi,id_teks,teks,referensi
Tiga Ksatria dari Dagho,Sulawesi Utara,1,"di pulau mindanau, hiduplah tiga bersaudara yang memiliki kekuatan luar biasa. mereka adalah angsualika, wangkoang, dan wahede, yang masing-masing diberkahi kemampuan unik yang membuat mereka dihormati sekaligus ditakuti. kekuatan luar biasa ini menjadikan mereka penjaga pulau mindanau dari ancaman para perampok dan penjahat yang mengganggu kedamaian wilayah tersebut.","nang pulo mindanau, urip telu sedulur sing nduweni kakuwatan luar biasa. wong-wong kuwi yaiku angsualika, wangkoang, lan wahede, sing saben-saben diwenehi kemampuan unik sing ndadekake wong-wong kuwi dihormati bareng ditakuti. kakuwatan luar biasa iki ndadekake wong-wong kuwi dadi penjaga pulo mindanau saka ancaman para perampok lan penjahat sing ngganggu tentreme wilayah kuwi."
Tiga Ksatria dari Dagho,Sulawesi Utara,2,"angsualika adalah seorang raksasa dengan kekuatan fisik luar biasa. dengan senjata andalannya, bara, ia mampu menghancurkan apa saja yang menghalangi jalannya. keberanian dan kekuatan angsualika membuatnya menjadi pelindung utama pulau.","angsualika yaiku raksasa sing nduweni kakuwatan jasmani luar biasa. kanthi senjata andalane, bara, dheweke isa ngancurake apa wae sing ngalangi dalane. kaweran lan kakuwatane angsualika ndadekake dheweke dadi pelindung utama pulo."
Tiga Ksatria dari Dagho,Sulawesi Utara,3,"wangkoang, saudara tengah, adalah seorang kesatria yang mahir menggunakan berbagai senjata, termasuk bara dan panah. keahliannya dalam pertempuran membuatnya dikenal sebagai prajurit yang tak terkalahkan.","wangkoang, sedulur tengah, yaiku sawijining kesatria sing trampil nggunakake macem-macem senjata, kalebu bara lan panah. kaahliane nang pertempuran ndadekake dheweke dikenal dadi prajurit sing ora bisa dikalahke."
Tiga Ksatria dari Dagho,Sulawesi Utara,4,"wahede, si bungsu, memiliki kecerdasan yang luar biasa. ia adalah ahli strategi perang yang cerdas dan mampu merancang rencana yang membuat mereka berhasil mengalahkan musuh dengan mudah.","wahede, si bungsu, nduweni kecerdasan sing luar biasa. dheweke yaiku ahli strategi perang sing cerdas lan isa ngrancang rencana sing ndadekake wong-wong kuwi isa ngalahake mungsuh kanthi gampang."
Tiga Ksatria dari Dagho,Sulawesi Utara,5,"berkat kekuatan mereka yang unik, ketiga bersaudara berhasil mengusir para perampok yang sering mengganggu kedamaian pulau mindanau. mereka dipuja oleh masyarakat karena keberanian dan kekuatan mereka.","marga saka kakuwatan unik sing diduweni, telu sedulur kuwi bisa ngusir para perampok sing kerep ngganggu tentreme pulo mindanau. wong-wong kuwi dipuja dening masyarakat marga saka kaweran lan kakuwatane."
Tiga Ksatria dari Dagho,Sulawesi Utara,6,"namun, ambisi untuk menjadi penguasa wilayah mulai menguasai hati mereka. ketiganya merasa bahwa mereka adalah yang paling pantas untuk menjadi raja. angsualika percaya bahwa kekuatan fisiknya yang luar biasa adalah alasan ia layak memimpin. wangkoang merasa bahwa keahliannya sebagai kesatria membuatnya lebih pantas menjadi pemimpin. sementara wahede yakin bahwa kecerdasan dan strateginya adalah kunci untuk memimpin dengan bijaksana.","nanging, ambisi kanggo dadi penguasa wilayah mulai nguwasani atine wong-wong kuwi. ketigane krasa yen dheweke sing paling pantes dadi raja. angsualika yakin yen kakuwatan jasmanine sing luar biasa iku alesan dheweke pantes mimpin. wangkoang krasa yen kaahliane dadi kesatria ndadekake dheweke luwih pantes dadi pemimpin. dene wahede yakin yen kecerdasan lan strategine iku kunci kanggo mimpin kanthi bijaksana."
Tiga Ksatria dari Dagho,Sulawesi Utara,7,"perselisihan ini memicu perang saudara yang sengit di antara mereka. masing-masing menggunakan kekuatan terbaiknya untuk saling mengalahkan. pertempuran itu berlangsung lama, melibatkan taktik cerdik wahede, kekuatan mematikan angsualika, dan keahlian bertarung wangkoang. namun, tidak ada pemenang yang jelas di antara mereka, karena kekuatan mereka seimbang.","perselisihan iki nyulut perang sedulur sing sengit nang antarane wong telu kuwi. saben-saben nggunakake kakuwatan paling apike kanggo ngalahke siji lan sijine. pertempuran kuwi lumaku suwe, melu taktik cerdike wahede, kakuwatan mateni angsualika, lan kaahlian gelute wangkoang. nanging, ora ana sing menang kanthi jelas nang antarane wong-wong kuwi, marga saka kakuwatane padha imbang."
Tiga Ksatria dari Dagho,Sulawesi Utara,8,"di tengah konflik yang tak berujung, mereka mulai menyadari bahwa perang ini tidak membawa manfaat apa pun, selain kehancuran dan penderitaan bagi mereka sendiri dan masyarakat pulau mindanau. mereka pun merenung dan menyadari bahwa kekuatan dan kekerasan tidak dapat menyelesaikan masalah.","nang tengahe konflik sing ora ana enteke, wong-wong kuwi mulai nyadari yen perang iki ora nggawa manfaat apa-apa, kejaba karusakan lan sangsara kanggo dheweke dhewe lan masyarakat pulo mindanau. wong-wong kuwi banjur merenung lan nyadari yen kakuwatan lan kekerasan ora isa ngrampungake masalah."
Tiga Ksatria dari Dagho,Sulawesi Utara,9,"akhirnya, ketiga bersaudara ini memutuskan untuk berdamai. mereka sepakat bahwa kerjasama dan saling menghormati adalah kunci untuk membangun wilayah mereka menjadi tempat yang makmur dan damai. dengan kemampuan unik yang mereka miliki, mereka bersatu dan bekerja sama untuk menciptakan kemakmuran bagi pulau mindanau.","akhire, telu sedulur kuwi mutusake kanggo damai. wong-wong kuwi sarujuk yen kerjasama lan saling menghormati iku kunci kanggo mbangun wilayahe dadi panggonan sing makmur lan tentrem. kanthi kemampuan unik sing diduweni, wong-wong kuwi nyawiji lan kerja bareng kanggo ngwujudke kemakmuran kanggo pulo mindanau."
Tiga Ksatria dari Dagho,Sulawesi Utara,10,"kisah ini mengajarkan bahwa ambisi dan konflik hanya akan membawa kehancuran, bahkan di antara saudara. namun, dengan kerjasama, saling menghormati, dan kebijaksanaan, segalanya dapat diatasi. persatuan adalah kekuatan yang jauh lebih besar daripada kekerasan.","cerita iki ngajari yen ambisi lan konflik mung bakal nggawa karusakan, sanajan nang antarane sedulur. nanging, kanthi kerjasama, saling menghormati, lan kebijaksanaan, kabeh isa diatasi. persatuan iku kakuwatan sing luwih gedhe tinimbang kekerasan."
