judul,provinsi,id_teks,teks,referensi
Timun Mas,Jawa Tengah,1,"pada suatu hari di sebuah desa di daerah jawa tengah, ada seorang janda paruh baya yang tinggal sendirian. wanita tua ini bernama mbok srini, suaminya sudah meninggal sejak lama, dan ia tidak memiliki anak. mbok srini menghabiskan hari-harinya seorang diri, dan setiap harinya ia merasa bosan serta jenuh karena ia tidak memiliki seseorang untuk menemaninya. mbok srini sejak dulu sangat ingin punya anak. namun, impiannya yang satu ini memang tidak pernah bisa terwujud. ditambah lagi, sekarang ia tidak memiliki seorang suami, sehingga kemungkinan ia memiliki anak pun tentu saja menjadi hilang. mbok srini hanya bisa menunggu keajaiban menghampirinya agar ia bisa memiliki anak. mbok srini selalu berdoa pada tuhan tiap pagi, siang, dan malam hari agar tuhan bisa melihatnya dan mengkaruniakan mbok srini seorang anak.","ing sawijining dina ing sawijining desa ing dhaerah jawa tengah, ana sawijining randha setengah tuwa sing manggon dhewekan. wanita tuwa iki jenenge mbok srini, bojone wis seda suwe, lan dheweke ora nduweni anak. mbok srini ngisi dina-dinane dhewekan, lan saben dina dheweke krasa bosen lan jenuh merga ora nduweni kanca kanggo nemani. mbok srini saka jaman biyen pancen kepengin banget nduwe anak. nanging, impene sing siji iki pancen ora tau bisa kaleksanan. ditambah maneh, saiki dheweke ora nduweni bojo, mula kemungkinan nduweni anak ya mesthi ilang. mbok srini mung bisa ngenteni mukjijat marani dheweke supaya bisa nduweni anak. mbok srini tansah ndonga marang gusti allah saben esuk, awan, lan bengi supaya gusti allah bisa ndeleng dheweke lan maringi anak marang mbok srini."
Timun Mas,Jawa Tengah,2,"lalu, pada suatu malam, mbok srini memimpikan seorang raksasa yang menyuruhnya pergi mengambil sebuah bungkusan di bawah pohon besar di hutan tempat biasanya ia mencari kayu bakar. saat ia terbangun di pagi hari, tentu saja mbok srini merasa kebingungan dengan arti mimpi itu. dengan berbagai keraguan dan rasa penasaran di benaknya, mbok srini tetap berjalan ke hutan dan mengikuti perasaannya. saat ia tiba di hutan, ia mencari bungkusan yang berada di bawah pohon besar seperti yang ada di mimpinya semalam. sebenarnya, mbok srini berharap bungkusan yang hendak ia temukan ini berisi bayi, tapi yang justru ia temukan hanyalah sebutir biji timun. hatinya pun kecewa dan merasa sedih.","banjur, ing sawijining bengi, mbok srini ngimpi ana raksasa sing nyuruhake lunga njupuk sakbungkus barang ing ngisor wit gedhe ing alas panggonan biasane dheweke nggolek kayu bakar. wektu tangi esuke, mesthine mbok srini krasa bingung karo tegese impen kuwi. kanthi akeh rasa ragu lan penasaran ing pikirane, mbok srini tetep mlaku menyang alas lan ngetutake krasa atine. wektu tekan alas, dheweke nggoleki bungkusan sing ana ing ngisor wit gedhe kaya sing ana ing impene bengi mau. saktemene, mbok srini ngarep-arep nek bungkusan sing arep ditemukake kuwi isine bayi, nanging sing ditemukake mung sakbiji timun. atine banjur krasa kuciwa lan sedhih."
Timun Mas,Jawa Tengah,3,"tiba-tiba ada seorang raksasa yang menghampirinya sambil tertawa terbahak-bahak. apa maksudmu memberikanku sebutir biji timun tanya mbok srini seraya berteriak, tapi tetap menahan emosinya. saat mbok srini memperhatikan raksasa itu, ternyata raksasa itulah yang semalam menghampirinya. mbok srini pun merasa ketakutan, ia merasa raksasa itu akan memakannya. mbok srini pun memohon agar raksasa itu merasa iba dan membiarkannya tetap hidup.","tiba-tiba ana sawijining raksasa sing marani sambil ngguyu keras. apa maksude menehi aku sakbiji timun pitakone mbok srini karo bengok, nanging tetep nahan nesu. wektu mbok srini nyawang raksasa kuwi, jebul raksasa kuwi ya sing semalem marani dheweke. mbok srini banjur krasa wedi, dheweke kuwatir nek raksasa kuwi arep mangan dheweke. mbok srini banjur nyuwun tulung supaya raksasa kuwi krasa iba lan ngeculake dheweke tetep urip."
Timun Mas,Jawa Tengah,4,"tenang, jangan takut. aku tidak akan memakanmu, wanita tua, ucap raksasa itu. ternyata, raksasa ini meminta mbok srini menanam biji timun yang ia berikan. katanya, ia akan dihadiahkan seorang anak perempuan jika ia menanamnya. namun, saat anak itu sudah dewasa, mbok srini harus memberikan anak itu kembali pada raksasa karena ia akan memakannya. karena mbok srini sangat menginginkan seorang anak, ia menyetujui perjanjian itu.","tenang, aja wedi. aku ora bakal mangan kowe, wanita tuwa, kandha raksasa kuwi. jebule, raksasa iki nyuwun mbok srini supaya nandur biji timun sing diwenehake. kandhane, dheweke bakal diparingi anak wadon nek nandur biji kuwi. nanging, nek anak kuwi wis gedhe, mbok srini kudu mbalekake anak kuwi marang raksasa merga bakal dipangan. merga mbok srini kepengin banget nduwe anak, dheweke setuju karo perjanjian kuwi."
Timun Mas,Jawa Tengah,5,"saat kembali ke rumah, mbok srini menanam biji timun itu ke ladang rumahnya. mbok srini merawat biji timun itu dengan sangat baik tiap harinya. dua bulan kemudian, tanaman itu pun mulai berubah, dan tanaman timun itu hanya berbuah satu. semakin hari, buah timun spesial ini menjadi semakin besar, lebih besar dari buah timun pada umumnya. warnanya pun menunjukkan warna kuning keemasan, terlihat cantik. saat buah timun itu sudah sangat besar, mbok srini memetiknya, dan saat terbelah, ada seorang bayi perempuan yang sangat cantik. mbok srini sangat bahagia mendengar suara tangisan bayi itu. ia pun memberikan nama timun mas. mbok srini merasa sangat senang sehingga ia lupa bahwa ia pernah membuat janji pada raksasa, ia akan memberikan bayi ini padanya suatu hari nanti.","wektu bali menyang omah, mbok srini nandur biji timun kuwi ing pekarangan omahe. mbok srini ngrumat biji timun kuwi kanthi tenanan saben dina. rong sasi mengko, tanduran kuwi wiwit owah, lan tanduran timun kuwi mung woh siji. saya dina, woh timun istimewa kuwi dadi saya gedhe, luwih gedhe tinimbang timun biasane. warnane kuning keemasan, katon endah banget. wektu woh timun kuwi wis gedhe banget, mbok srini metik, lan wektu dibelah, ana bayi wadon sing endah banget. mbok srini krasa seneng banget krungu tangisan bayi kuwi. dheweke banjur menehi jeneng timun mas. mbok srini krasa seneng banget nganti lali nek biyen tau nggawe janji karo raksasa, bakal menehake bayi iki marang raksasa ing sawijining dina."
Timun Mas,Jawa Tengah,6,"mbok srini membesarkan timun mas dengan kasih sayang dan kesabaran. timun mas tumbuh menjadi seorang perempuan yang cantik, baik, serta sangat cerdas. pada suatu malam, mbok srini kembali bermimpi didatangi raksasa yang memberikan pesan bahwa dalam waktu seminggu ia akan menjemput timun mas. sejak saat itu, mbok srini sering termenung sedih sendirian. ia terus memikirkan bahwa ia akan berpisah dengan anaknya yang sangat ia sayangi. terkadang air mata jatuh ke pipinya tanpa ia sadari.","mbok srini nggedhekake timun mas nganggo katresnan lan kesabaran. timun mas tuwuh dadi sawijining wadon sing ayu, apik, lan pinter banget. ing sawijining bengi, mbok srini ngimpi maneh didatangi raksasa sing maringi pesen nek sajrone seminggu dheweke bakal njupuk timun mas. wiwit wektu kuwi, mbok srini kerep lingsem lan sedhih dhewekan. dheweke terus mikir nek bakal pisah karo anake sing dikasihi banget. kadhang kala luhe netes ing pipi tanpa disadari."
Timun Mas,Jawa Tengah,7,"ternyata, timun mas sering memperhatikan ibunya yang sedih ini, lalu ia pun bertanya pada mbok srini, ibu, kenapa akhir-akhir ini ibu sering sekali menangis awalnya, mbok srini tidak ingin bercerita pada anaknya, tapi karena timun mas mendesaknya dan terus bertanya, mbok srini pun menceritakan kisah asli kelahiran timun mas. mbok srini juga menceritakan bagian bahwa ia harus mengembalikan timun mas ke seorang raksasa, dan beberapa malam sebelumnya raksasa itu menghampiri ia kembali ke dalam mimpi. timun mas pun merasa sedih dan ia tidak ingin mbok srini mengembalikannya ke sang raksasa. akhirnya mereka berdua berpikir dan mencari cara agar timun mas bisa bebas dari sang raksasa.","jebule, timun mas kerep ndelok ibune sing sedhih kuwi, banjur dheweke takon marang mbok srini, ibu, kenapa akhir-akhir ini ibu sering sekali menangis awale, mbok srini ora gelem crita marang anake, nanging merga timun mas ngoyak-oyak lan terus takon, mbok srini banjur nyritakake kisah sejatine asal usule timun mas. mbok srini uga nyritakake bagean nek dheweke kudu mbalekake timun mas marang sawijining raksasa, lan sawetara bengi kepungkur raksasa kuwi ngunjungi maneh ing impen. timun mas banjur krasa sedhih lan dheweke ora gelem dibalekake marang raksasa. akhire, wong loro kuwi mikir lan nggoleki cara supaya timun mas bisa bebas saka raksasa."
Timun Mas,Jawa Tengah,8,"di hari timun mas harus dikembalikan, tiba-tiba mbok srini terpikir sebuah cara. mbok srini meminta timun mas berpura-pura sakit agar sang raksasa tidak ingin memakannya. beruntung, cara ini cukup berhasil untuk mengulur waktu. sang raksasa akan datang kembali saat timun mas sudah sembuh. sebelum raksasa itu datang kembali, mbok srini memikirkan bagaimana cara agar anaknya bisa terbebaskan.","ing dina nalika timun mas kudu dibalekake, tiba-tiba mbok srini kepikiran sawijining cara. mbok srini nyuwun timun mas pura-pura lara supaya raksasa kuwi ora gelem mangan dheweke. begja, cara kuwi cukup berhasil kanggo ngulur wektu. raksasa bakal teka maneh nalika timun mas wis mari. sadurunge raksasa kuwi teka maneh, mbok srini mikir kepiye carane supaya anake bisa bebas."
Timun Mas,Jawa Tengah,9,"paginya, mbok srini bertemu seorang pertapa di gunung, ia adalah teman suaminya yang sudah meninggal. sesampainya di sana, mbok srini langsung menceritakan soal kondisinya dan ia ingin mengusir raksasa itu. sang pertapa itu memberikan mbok srini empat bungkusan kecil. katanya, bungkusan-bungkusan ini berisi biji timun, jarum, garam, dan terasi. sang pertapa menyuruhnya memberikan empat bungkusan ini pada anaknya, dan jika sang raksasa mengejarnya, sebarkan isi bungkusan-bungkusan ini. setelah itu, mbok srini pun pulang dengan perasaan sedikit lega, setidaknya ia sekarang sudah memiliki rencana.","esuke, mbok srini ketemu sawijining pertapa ing gunung, dheweke kuwi kancane bojone sing wis seda. wektu tekan kana, mbok srini langsung nyritakake soal kahanane lan dheweke kepengin ngusir raksasa kuwi. sang pertapa kuwi menehi mbok srini papat bungkusan cilik. kandhane, bungkusan kuwi isine biji timun, jarum, uyah, lan trasi. sang pertapa nyuruhake supaya bungkusan kuwi diwenehake marang anake, lan nek raksasa kuwi ngejar, taburake isi bungkusan-bungkusan kuwi. sawise kuwi, mbok srini banjur mulih karo ati rada legawa, paling ora saiki dheweke wis nduwe rencana."
Timun Mas,Jawa Tengah,10,"beberapa hari kemudian, raksasa ini datang kembali untuk menjemput timun mas. mbok srini dan timun mas pun berdiri berdampingan tanpa rasa takut. timun mas tiba-tiba berlari sekencang-kencangnya, dan raksasa itu mengejarnya. setelah berlari cukup jauh, timun mas menaburkan biji yang diberikan ibunya. sungguh ajaib, hutan di sekelilingnya tiba-tiba berubah menjadi ladang timun. dalam sekejap, batang timun tersebut menjalar dan melilit seluruh tubuh raksasa itu. namun, raksasa itu mampu melepaskan diri dan kembali mengejar timun mas.","sawetara dina sakbanjure, raksasa kuwi teka maneh kanggo njupuk timun mas. mbok srini lan timun mas banjur jejeg bareng tanpa krasa wedi. timun mas tiba-tiba mlayu kenceng banget, lan raksasa kuwi ngejar. sawise mlayu cukup adoh, timun mas nyebar biji sing diwenehi ibune. ajaib tenan, alas ing sakupenge dadakan malih dadi ladang timun. ing sakedhap, sulur-sulur timun kuwi njerat lan ngiket awak raksasa kuwi. nanging, raksasa kuwi bisa nglepas awake lan terus ngejar timun mas."
