judul,provinsi,id_teks,teks,referensi
To Baka Keo,Sulawesi Tengah,1,"di suatu masa, hiduplah seorang pemuda bernama to baka keo di sebuah desa di sulawesi tengah. tubuhnya dipenuhi luka-luka bernanah yang berbau busuk sehingga masyarakat menjauhinya. karena keadaan ini, ia dijuluki to baka keo yang berarti orang yang penuh dengan luka. tidak ada seorang pun yang mau mendekatinya, bahkan berita tentang to baka keo sampai ke telinga sang raja. raja memutuskan untuk mengasingkan to baka keo ke sebuah hutan yang jauh dari desa.","ing sawijining wektu, urip nom-noman jenenge to baka keo ing sawijining desa ing sulawesi tengah. awake kebak tatu-tatu bernanah sing mambu busuk nganti masyarakat padha nyingkiri. amarga kahanan kuwi, dheweke dijuluki to baka keo sing tegese wong sing kebak tatu. ora ana siji wae sing gelem nyedhaki dheweke, malah kabar bab to baka keo tekan kupinge sang raja. raja mutusake kanggo ngasingake to baka keo menyang sawijining alas sing adoh saka desa."
To Baka Keo,Sulawesi Tengah,2,"di hutan, to baka keo hidup sendirian di sebuah gubuk yang dibangun oleh para pengikut raja. meskipun hatinya sedih, ia adalah pemuda yang tegar. hari-harinya dihabiskan dengan menikmati keindahan hutan, kicauan burung, dan udara yang sejuk. suatu hari, saat ia duduk di depan gubuknya, seekor burung ajaib menghampiri dan bertengger di atap gubuk. burung itu berbicara seperti manusia dan mengejek to baka keo.","ing alas, to baka keo urip dhewe ing sawijining gubuk sing dibangun dening para pengikut raja. sanajan atine sedhih, dheweke iku nom-noman sing kuwat. dina-dinane dientekna kanthi nikmati kaendahan alas, kicauan manuk, lan hawa seger. ing sawijining dina, wektu dheweke lungguh ing ngarep gubuke, ana manuk ajaib teka lan mapan ing atape gubuk. manuk kuwi ngomong kaya manungsa lan ngece to baka keo."
To Baka Keo,Sulawesi Tengah,3,"hei ngolodio, tangkaplah aku siapa yang bangun tidur dengan banyak kotoran di matanyalah yang dapat menangkapku, ejek burung itu.","hei ngolodio, tangkep aku sapa wae sing tangi turu karo akeh kotoran ing mripate kuwi sing bisa nangkep aku, ejek manuk kuwi."
To Baka Keo,Sulawesi Tengah,4,"merasa tersinggung, to baka keo berusaha menangkap burung tersebut. setelah berhasil menangkapnya, burung itu bernyanyi:","kerasa dihina, to baka keo nyoba nangkep manuk mau. sawise kasil nangkep, manuk kuwi nyanyi:"
To Baka Keo,Sulawesi Tengah,5,"o ngolodio, jadikanlah aku sebagai makananmu","o ngolodio, dadekna aku dadi pangananmu"
To Baka Keo,Sulawesi Tengah,6,"to baka keo memasak burung itu dan memakannya seperti yang diperintahkan. burung tersebut kembali bernyanyi, meminta agar to baka keo memakan semua, termasuk tulang-tulangnya. setelah makan, to baka keo merasa kenyang dan ingin buang hajat. burung ajaib itu memerintahkannya untuk buang hajat di gunung.","to baka keo masak manuk kuwi lan mangan kaya sing diomongkake. manuk mau bali nyanyi, njaluk supaya to baka keo mangan kabeh, kalebu balung-balunge. sawise mangan, to baka keo krasa wareg lan pengin mbuwang hajat. manuk ajaib kuwi mrentah dheweke supaya mbuwang hajat ing gunung."
To Baka Keo,Sulawesi Tengah,7,"to baka keo mengikuti arahan burung itu dan buang hajat di gunung. ajaibnya, kotorannya berubah menjadi sebuah pohon dengan dua daun yang menghasilkan buah-buahan berupa emas, intan, dan berlian. setelah kembali ke gubuknya, ia menyadari bahwa tubuhnya telah sembuh. luka-luka yang bernanah hilang, dan wajahnya berubah menjadi tampan. ia sangat bahagia dengan perubahan itu.","to baka keo manut arahan manuk kuwi lan mbuwang hajat ing gunung. ajaibe, kotorane malih dadi wit sing nduwe loro godhong lan ngasilake woh-wohan emas, intan, lan berlian. sawise bali menyang gubuke, dheweke nyadar yen awake wis mari. tatu-tatu bernanahe ilang, lan rai dheweke malih dadi gagah. dheweke seneng banget karo owah-owahan kuwi."
To Baka Keo,Sulawesi Tengah,8,"keesokan harinya, to baka keo, yang kini menyebut dirinya ngolodio, memetik buah dari pohon ajaib itu dan membawanya ke kerajaan untuk dijual. saat pertama kali melihat ngolodio, raja merasa wajahnya tak asing, namun tak mengenalinya karena perubahan drastis itu.","esuke, to baka keo, sing saiki nyebut awake ngolodio, metik woh saka wit ajaib kuwi lan digawa menyang karajan kanggo didol. nalika kaping pisane weruh ngolodio, raja ngerasa raine ora asing, nanging ora ngenali amarga owah-owahane sing drastis kuwi."
To Baka Keo,Sulawesi Tengah,9,"hari berikutnya, ngolodio kembali membawa buah ajaib dalam jumlah lebih banyak. sang raja tak sanggup membayarnya. ngolodio pun mengajukan tawaran untuk menikahi putri bungsu raja sebagai gantinya. raja setuju dengan syarat ngolodio menyediakan:","dina sabanjure, ngolodio bali nggawa woh ajaib luwih akeh. sang raja ora sanggup mbayar. ngolodio banjur ngajokake tawaran kanggo nikahi putri ragil raja minangka gantine. raja sarujuk kanthi syarat ngolodio nyedhiakake:"
To Baka Keo,Sulawesi Tengah,10,"300 buah emas, intan, dan berlian untuk menghias istana,","300 woh emas, intan, lan berlian kanggo ngias istana,"
To Baka Keo,Sulawesi Tengah,11,"1.200 hewan ternak dari empat jenis (sapi, kambing, domba, dan kerbau).","1.200 kewan ternak saka papat jinis (sapi, wedhus, domba, lan kebo)."
To Baka Keo,Sulawesi Tengah,12,ngolodio menyanggupi semua syarat itu.,ngolodio nyanggupi kabeh syarat kuwi.
To Baka Keo,Sulawesi Tengah,13,"saat berburu di hutan, raja menemukan pohon ajaib milik ngolodio. ia memerintahkan prajuritnya untuk menebangnya, namun pohon itu begitu keras sehingga kapak-kapak mereka rusak. mereka pun menyerah.","nalika moro ing alas, raja nemokake wit ajaib duweke ngolodio. dheweke mrentah prajurite kanggo nebang wit kuwi, nanging wit kuwi kuwat banget nganthi kapak-kapake padha rusak. wong-wong banjur nyerah."
To Baka Keo,Sulawesi Tengah,14,"tibalah hari pernikahan. ngolodio datang dengan pakaian terbaik, membawa ratusan emas, intan, berlian, dan ribuan ternak. penduduk negeri berkumpul untuk menyaksikan iring-iringan panjang yang megah. setelah semua syarat terpenuhi, pesta pernikahan digelar meriah.","tekane dina mantenan. ngolodio teka nganggo klambi paling apik, nggawa atusan emas, intan, berlian, lan ewu-ewu ternak. warga nagara padha kumpul kanggo nyekseni iring-iringan dawa sing megah. sawise kabeh syarat kacekel, pesta manten digelar meriah."
To Baka Keo,Sulawesi Tengah,15,"sebelum acara berlangsung, ngolodio mengungkapkan identitas aslinya. wahai raja dan penduduk negeri, aku adalah to baka keo, orang yang dulu kalian kucilkan ke hutan, katanya. ia menceritakan seluruh kisah perubahannya. raja dan penduduk yang mendengar kisahnya merasa malu dan meminta maaf atas perlakuan mereka di masa lalu.","sadurunge acara diwiwiti, ngolodio mbukak identitas aslã¬ne. he raja lan rakyat nagara, aku iki to baka keo, wong sing biyen kokucilke menyang alas, kandhane. dheweke nyritakake kabeh carita owah-owahane. raja lan rakyat sing krungu caritane krasa isin lan nyuwun ngapura amarga perlakuane biyen."
To Baka Keo,Sulawesi Tengah,16,"setelah pernikahan, ngolodio menghadiahkan pohon ajaib itu kepada istrinya. mereka hidup bahagia, dan ngolodio dikenang sebagai pemuda yang tegar dan penuh keajaiban.","sawise mantenan, ngolodio ngadiahke wit ajaib kuwi kanggo garwane. wong loro kuwi urip bahagia, lan ngolodio dikenang minangka nom-noman sing tegar lan kebak kaajaiban."
