judul,provinsi,id_teks,teks,referensi
Topeng dan Pesta Roh,Bali,1,"di pedalaman merauke, papua, hiduplah seorang anak yatim piatu yang dikenal sebagai si yatim. ia menjadi sebatang kara setelah kampungnya diserang oleh kampung lain, yang mengakibatkan seluruh keluarganya meninggal dunia. hidup dalam kesendirian di sebuah rumah yang hampir roboh, nasib si yatim kian memprihatinkan. tak hanya itu, ia juga sering dituduh mencuri oleh penduduk kampung tanpa bukti, membuatnya dijauhi dan tidak disenangi oleh siapa pun.","ing pedalaman merauke, papua, urip sawijining anak yatim piatu sing dikenal minangka si yatim. dheweke dadi sebatang kara sawise kampunge diserang dening kampung liyane, sing nyebabake sak kulawargane mati kabeh. urip dhewekan ing omah sing meh rubuh, nasib si yatim saya memprihatinkan. ora mung kuwi, dheweke uga asring dituduh nyolong dening warga kampung tanpa bukti, nganti dijauhi lan ora disenengi sapa wae."
Topeng dan Pesta Roh,Bali,2,"ketika si yatim dituduh mencuri, penduduk kampung hendak menghukumnya. ia pun melarikan diri ke hutan untuk menyelamatkan diri. di tengah hutan, ia memutuskan bersembunyi di atas pohon beringin yang besar dan rindang. ketika para pengejarnya tiba di bawah pohon, mereka kehilangan jejak dan akhirnya kembali ke kampung.","nalika si yatim dituduh nyolong, warga kampung arep ngukum dheweke. dheweke banjur mlayu menyang alas kanggo nylametkake dhiri. ing tengah alas, dheweke mutusake ndhelik ana ing ndhuwure wit beringin sing gedhe lan rimbun. nalika para pengejare tekan ngisor wit, wong-wong kuwi kelangan jejak lan pungkasane bali menyang kampung."
Topeng dan Pesta Roh,Bali,3,"setelah keadaan aman, si yatim memutuskan untuk tinggal di hutan. namun, rasa takut dan kesepian terus menghantui dirinya. hingga suatu malam, ia bertemu dengan roh penunggu pohon beringin, makhluk menyeramkan yang ternyata berhati baik. roh itu merasa iba pada si yatim dan memberinya makanan serta minuman. sejak itu, si yatim dan roh penunggu pohon bersahabat.","sawise kahanan aman, si yatim mutusake manggon ing alas. nanging, rasa wedi lan kesepian terus ngoyak-oyak atine. nganti sawijining wengi, dheweke ketemu karo roh penunggu wit beringin, sawijining makhluk medeni sing jebule nduwe ati becik. roh kuwi krasa trenyuh marang si yatim lan maringi pangan lan omben. wiwit kuwi, si yatim lan roh penunggu wit dadi konco."
Topeng dan Pesta Roh,Bali,4,"suatu hari, si yatim memutuskan untuk membuat topeng menyeramkan yang menyerupai wajah roh penunggu pohon beringin. ia berharap dapat menakut-nakuti penduduk kampung yang dulu menganiaya dirinya. setelah selesai membuat topeng dari akar-akar pohon, si yatim mulai menjalankan rencananya.","sasi sawijining dina, si yatim mutusake nggawe topeng medeni sing mirip karo rai roh penunggu wit beringin. dheweke ngarep bisa medeni warga kampung sing biyen nganiaya dheweke. sawise rampung nggawe topeng saka oyot-oyot wit, si yatim miwiti rencanane."
Topeng dan Pesta Roh,Bali,5,"saat malam tiba, si yatim mengenakan topengnya dan menyelinap ke kampung. ia menakut-nakuti salah satu penduduk hingga mereka lari ketakutan. kabar tentang makhluk menyeramkan yang berkeliaran di kampung segera menyebar. penduduk menjadi resah, dan kepala kampung memerintahkan warga untuk mengumpulkan sagu sebagai persembahan untuk makhluk itu agar meninggalkan kampung mereka.","wengi wis tumeka, si yatim nganggo topenge lan nyusup menyang kampung. dheweke medeni salah siji warga nganti mlayu ketakutan. kabar bab makhluk medeni sing mondhol-mandhol ing kampung langsung nyebar. warga dadi resah, lan kepala kampung mrentahke supaya warga ngumpulake sagu minangka persembahan kanggo makhluk kuwi supaya ninggalake kampunge."
Topeng dan Pesta Roh,Bali,6,"ketika para penduduk pergi ke hutan untuk memangkur sagu, si yatim memanfaatkan situasi itu. ia menutupi jalan setapak di dekat pohon beringin dengan dahan-dahan pohon. saat rombongan wanita pembawa sagu tiba, ia muncul dari balik semak belukar dengan memakai topeng menyeramkan. wanita-wanita itu lari ketakutan, meninggalkan sagunya. si yatim lalu mengambil sagu-sagu itu untuk dimakan.","nalika warga padha menyang alas kanggo memangkur sagu, si yatim migunakake kahanan kuwi. dheweke nutupi dalan setapak cedhak wit beringin nganggo dahan-dahan wit. nalika rombongan wanita pembawa sagu tekan, dheweke metu saka balik semak-semak nganggo topeng medeni. wanita-wanita kuwi mlayu ketakutan, ninggalake sagune. si yatim banjur njupuk sagu-sagu kuwi kanggo dipangan."
Topeng dan Pesta Roh,Bali,7,"kejadian ini terus berulang, membuat penduduk semakin takut. mereka memutuskan untuk menyelidiki dan menjebak makhluk menyeramkan itu.","kejadian iki terus kedadeyan, nggawe warga saya wedi. wong-wong mutusake kanggo nyelidiki lan njebak makhluk medeni kuwi."
Topeng dan Pesta Roh,Bali,8,"pada suatu malam, penduduk kampung memerintahkan kaum wanita untuk memangkur sagu seperti biasa, sementara para pria mengintai dari kejauhan. ketika si yatim muncul dan menakut-nakuti wanita-wanita itu, para pria langsung mengepungnya. si yatim tak bisa melarikan diri dan akhirnya tertangkap.","sasi sawijining wengi, warga kampung mrentahake kaum wanita kanggo memangkur sagu kaya biasane, dene para lanang ngintip saka adoh. nalika si yatim muncul lan medeni para wanita kuwi, para lanang langsung ngepung. si yatim ora bisa mlayu lan pungkasane ketangkep."
Topeng dan Pesta Roh,Bali,9,"namun, saat hendak dibawa ke kampung untuk diadili, si yatim tiba-tiba menghilang secara gaib. peristiwa ini membuat penduduk tercengang. meskipun si yatim telah menghilang, penduduk percaya bahwa rohnya masih sering mengganggu mereka di sekitar pohon beringin.","nanging, wektu arep digawa bali menyang kampung kanggo diadili, si yatim dumadakan ngilang kanthi gaib. kedadeyan iki nggawe warga kaget. sanajan si yatim wis ilang, warga percaya yen rohne isih kerep ngganggu ana sekitar wit beringin."
Topeng dan Pesta Roh,Bali,10,"untuk menghalau roh si yatim, penduduk membuat topeng menyerupai wajah si yatim. mereka menggunakannya dalam sebuah ritual yang disebut pesta roh atau pesta topeng, yang dalam bahasa suku asmat dikenal sebagai mamar atau bunmar pokbui. ritual ini dilakukan untuk menghormati dan memperingati roh keluarga yang telah meninggal dunia.","kanggo ngusir roh si yatim, warga nggawe topeng mirip rai si yatim. wong-wong banjur nganggo topeng kuwi ing sawijining ritual sing dijenengke pesta roh utawa pesta topeng, sing ing basa suku asmat dikenal minangka mamar utawa bunmar pokbui. ritual iki ditindakake kanggo ngajeni lan memperingati roh kulawarga sing wis seda."
Topeng dan Pesta Roh,Bali,11,"beragam jenis topeng dibuat dari bahan alami, seperti:","macem-macem topeng digawe saka bahan alami, kaya:"
Topeng dan Pesta Roh,Bali,12,manimar: topeng dari rotan.,manimar: topeng saka rotan.
Topeng dan Pesta Roh,Bali,13,ndat jamu: topeng dari kulit kayu fum genemo.,ndat jamu: topeng saka kulit kayu fum genemo.
Topeng dan Pesta Roh,Bali,14,"kini, pesta roh telah menjadi tradisi penting bagi masyarakat suku asmat. topeng-topeng yang dibuat tidak hanya sebagai penghormatan kepada leluhur, tetapi juga menjadi simbol pengingat akan kesalahan masa lalu, pentingnya saling menghargai, dan menjaga keharmonisan hidup bersama.","saiki, pesta roh wis dadi tradisi penting kanggo masyarakat suku asmat. topeng-topeng sing digawe ora mung kanggo ngajeni leluhur, nanging uga dadi lambang pangeling marang kesalahan jaman mbiyen, pentinge saling ngajeni, lan njaga kerukunan urip bareng."
