judul,provinsi,id_teks,teks,referensi
Tuah Burung Merbak,Sumatera Utara,1,"pada zaman dahulu, daerah sumatera timur masih berupa hutan belukar dengan penduduk yang jarang dan tempat tinggal mereka yang masih berpencar-pencar. di sebuah kampung kecil, hiduplah sepasang suami istri dengan dua orang anak laki-laki. anak sulung mereka bernama ahmad, sementara anak bungsunya bernama muhammad.","nalika jaman mbiyen, daerah sumatera wetan isih wujud alas belukar karo penduduk sing isih arang lan omahe isih pating plencar. ing sawijining kampung cilik, urip sapasang bojo karo loro anak lanang. anak mbarep jenenge ahmad, dene anak ragile jenenge muhammad."
Tuah Burung Merbak,Sumatera Utara,2,"keluarga ini tinggal di sebuah gubuk tua, dan pekerjaan mereka sehari-hari adalah bercocok tanam di sebidang tanah yang tidak jauh dari rumah mereka. setiap pagi, kedua orang tua ahmad dan muhammad pergi ke sawah, dan kedua anak itu ikut membantu mereka. ahmad dan muhammad adalah anak-anak yang berbudi luhur, ramah terhadap tetangga, serta penyayang terhadap binatang. oleh karena itu, orang-orang di kampung sangat menyayangi mereka.","keluarga iki manggon ing gubuk tuwa, lan gaweane saben dina ya iku tandur ing sawah sing ora adoh saka omahe. saben esuk, wong tuwane ahmad lan muhammad menyang sawah, lan loro anak kuwi melu nulungi. ahmad lan muhammad kuwi anak-anak sing becik budi, rukun karo tangga teparo, lan tresna marang kewan. mula saka kuwi, wong kampung padha seneng marang wong loro kuwi."
Tuah Burung Merbak,Sumatera Utara,3,"setiap pagi, mereka membantu orang tua di sawah, dan pada sore hari mereka pergi mengaji. itulah rutinitas harian ahmad dan muhammad yang berlangsung dengan penuh ketekunan.","saben esuk, wong loro kuwi nulungi wong tuwane ing sawah, lan sore dina padha ngaji. kuwi rutinitase ahmad lan muhammad saben dina sing dilakoni kanthi tekun."
Tuah Burung Merbak,Sumatera Utara,4,"pada suatu sore, dalam perjalanan pulang dari mengaji, mereka melihat seekor burung merbuk yang berulang kali terbang rendah di hadapan mereka. merasa penasaran, mereka pun mengejar dan berhasil menangkap burung itu. burung merbuk tersebut sangat indah, dengan bulu yang berkilauan seperti emas.","ing sawijining sore, sakwise mulih saka ngaji, wong loro kuwi weruh manuk merbuk mabur cendhek ping pingan ing ngarepe. amarga penasaran, wong loro kuwi banjur mburu lan bisa nyekel manuk kuwi. manuk merbuk kuwi ayu banget, nganggo pluma sing sumilak kaya emas."
Tuah Burung Merbak,Sumatera Utara,5,"dengan penuh kegembiraan, mereka segera pulang dan menunjukkan burung itu kepada ayah mereka.","kanthi bungah banget, wong loro kuwi langsung bali lan nuduhake manuk kuwi marang bapake."
Tuah Burung Merbak,Sumatera Utara,6,"ayah, tadi ketika kami pulang mengaji, kami menangkap seekor burung merbuk yang sangat indah. bulu-bulunya berkilauan seperti emas. bisakah ayah membuatkan sangkarnya tanya ahmad penuh antusias.","âyah, mau wektu mulih ngaji, aku karo adik nyekel manuk merbuk sing ayu banget. pluma-plumae sumilak kaya emas. biso ora, yah, gaweake kurunganeâ pitakone ahmad kanthi semangat."
Tuah Burung Merbak,Sumatera Utara,7,"ayah mereka tersenyum dan berkata,","bapake mesem lan kandha,"
Tuah Burung Merbak,Sumatera Utara,8,"ayah tidak keberatan, tetapi sekarang ayah sedang sibuk menyiapkan tempat penyimpanan padi kita. setelah itu selesai, ayah akan buatkan sangkar untuk burung kalian.","âayah ora popo, nanging saiki ayah lagi sibuk nyiapake panggon panyimpen pari. sakwise rampung, ayah bakal gaweake kurungan kanggo manukmu kuwi.â"
Tuah Burung Merbak,Sumatera Utara,9,"baiklah, ayah, jawab ahmad dan muhammad dengan patuh.","ânggih, yah,â wangsulane ahmad lan muhammad kanthi manut."
Tuah Burung Merbak,Sumatera Utara,10,"burung itu kemudian mereka pelihara dengan penuh kasih sayang. karena telah lama dirawat, burung itu menjadi sangat jinak dan tidak perlu diikat. kemana pun ahmad dan muhammad pergi, burung itu selalu mengikuti mereka, seolah-olah tidak bisa berpisah.","manuk kuwi banjur dipelihara kanthi katresnan. amarga wis suwe dirumat, manuk kuwi dadi jinak banget lan ora perlu diikat. nglakoni apa wae ahmad lan muhammad, manuk kuwi tansah ngetutake, kaya-kaya ora bisa pisah."
