judul,provinsi,id_teks,teks,referensi
Tujuh Anak Lelaki,Jambi,1,"dahulu kala, di aceh, hiduplah sepasang suami istri bersama tujuh anak laki-laki mereka di sebuah perkampungan kecil di pinggir hutan. keluarga ini hidup damai dan bahagia, mengandalkan hasil bercocok tanam di kebun sebagai sumber penghidupan. namun, suatu hari, kemarau panjang melanda daerah tersebut, menyebabkan paceklik. tanah yang subur menjadi kering, sehingga mereka tidak bisa menanam sayur-mayur seperti biasanya.","mbiyen kala, ing tanah aceh, urip sapasang bojo bareng pitung anak lanange ing sawijining kampung cilik ing pinggiran alas. kulawarga iki urip tentrem lan bahagia, gumantung marang asil tandur-tanduran ing kebon kanggo nguripi kabutuhan. nanging, ing sawijining dina, musim ketiga panjang nempuh wilayah kuwi, nyebabke pageblug. lempung sing subur dadi garing, saengga wong-wong ora isa nandur sayuran kaya biasane."
Tujuh Anak Lelaki,Jambi,2,"kondisi tersebut membuat pasangan itu khawatir akan nasib keluarga mereka, terutama ketujuh anaknya yang masih kecil. dalam keputusasaan, mereka memutuskan untuk meninggalkan anak-anak mereka di hutan, berharap itu menjadi solusi sementara. saat mereka membicarakan rencana tersebut di malam hari, tanpa disadari, anak ketiga mereka mendengarkan diam-diam.","kahanan kuwi ndadekake pasangan kuwi kuwatir marang nasib kulawargane, utamane pitung anake sing isih cilik. merga putus asa, wong loro kuwi mutusake ninggalake anak-anake neng alas, muga-muga dadi solusi sementara. nalika mbahas rencana kuwi ing wengi dina, tanpa disadari, anak nomer telu ngrungokake meneng-meneng."
Tujuh Anak Lelaki,Jambi,3,"keesokan harinya, pasangan itu mengajak ketujuh anak mereka ke hutan dengan alasan mencari kayu bakar. anak-anak tidak curiga sedikit pun, kecuali si anak ketiga yang sudah mengetahui niat orangtuanya. setelah lama mencari kayu, orangtua tersebut meminta anak-anak untuk beristirahat. mereka berpura-pura pergi mencari sumber air, namun tidak kembali.","esuke, pasangan kuwi ngajak pitung anake menyang alas nganggo alesan golek kayu bakar. anak-anak ora curiga babar blas, kecuali anak nomer telu sing wis ngerti niat wong tuwane. sawise suwi golek kayu, wong tuwa kuwi njaluk anak-anake ngaso. wong tuwa kuwi pura-pura arep golek banyu, nanging ora bali-bali."
Tujuh Anak Lelaki,Jambi,4,"si bungsu, yang belum memahami situasi, memohon agar orangtuanya segera kembali. namun, permohonan itu tidak dihiraukan. ketika si sulung memerintahkan adik kedua untuk mencari orangtua mereka, si anak ketiga dengan tegas melarang, mengungkapkan kebenaran bahwa mereka memang sengaja ditinggalkan.","si bungsu, sing durung mudheng kahanane, nyuwun marang wong tuwane supaya cepet bali. nanging panjaluk kuwi ora digagas. nalika si sulung mrintah adik nomer loro kanggo golek wong tuwane, anak nomer telu langsung nyegah, ngandharake kasunyatan yen pancen wong tuwane sengaja ninggalake."
Tujuh Anak Lelaki,Jambi,5,"setelah menyadari nasib mereka, si sulung mengambil tanggung jawab sebagai pemimpin adik-adiknya. mereka berjalan menyusuri hutan hingga malam tiba. dalam kegelapan, mereka menemukan sebuah pohon besar dengan lubang yang cukup untuk berlindung. si sulung memanjat pohon untuk mencari tanda kehidupan di kejauhan. ia melihat kepulan asap dan memutuskan untuk menuju ke sana bersama adik-adiknya.","sawise ngerti kahanane, si sulung njupuk tanggung jawab dadi pimpinan adik-adikne. wong-wong mlaku ngubengi alas nganti wengi teka. ing peteng kuwi, wong-wong nemu wit gedhe sing ana bolongane cukup kanggo ngiyup. si sulung munggah wit kanggo ndelok ana tandha-tandha urip ora adoh saka kono. dheweke ndelok kumelun lan mutusake ngancik mrana bareng adik-adike."
Tujuh Anak Lelaki,Jambi,6,"setibanya di sumber asap, mereka terkejut mendapati sebuah rumah milik seorang raksasa wanita. raksasa itu keluar dan bertanya mengapa mereka berada di depan rumahnya. si sulung menjelaskan bahwa mereka telah ditinggalkan oleh orangtuanya di hutan. mendengar cerita itu, raksasa wanita merasa iba dan mengundang mereka masuk ke rumahnya. ia memberikan makanan hingga mereka kenyang, lalu membekali mereka dengan makanan tambahan serta perhiasan mahal sebelum melepas mereka pergi.","tekane ana panggonan kumelun kuwi, wong-wong kaget weruh omah duweke raksasa wadon. raksasa kuwi metu lan takon kok bisa ana ngarep omahe. si sulung nerangke yen dheweke lan sedulur-sedulure ditinggal wong tuwane neng alas. krungu crita kuwi, raksasa wadon krasa trenyuh lan ngajak mlebu omah. dheweke maringi panganan nganti kenyang, banjur menehi sangu tambahan lan perhiasan larang sakdurunge ngeculkake lunga."
Tujuh Anak Lelaki,Jambi,7,"ketujuh anak itu melanjutkan perjalanan hingga tiba di tepi pantai. tak lama kemudian, sebuah kapal melintas. mereka menumpang kapal tersebut menuju pulau seberang. setibanya di sana, mereka menjual perhiasan pemberian raksasa wanita dan menggunakan hasilnya untuk membangun rumah serta kebun. waktu berlalu, mereka tumbuh dewasa dan hidup makmur.","pitung anak kuwi nerusake lelampahan nganti tekan pinggir segara. ora suwi, ana prau liwat. wong-wong numpak prau kuwi menyang pulo seberang. tekan kana, wong-wong adol perhiasan sumbangan saka raksasa wadon lan nggunakake duwite kanggo mbangun omah lan kebon. wektu mlaku, wong-wong padha gedhe lan uripe makmur."
Tujuh Anak Lelaki,Jambi,8,"namun, kerinduan kepada orangtua mereka mulai tumbuh. si bungsu mengungkapkan keinginannya untuk bertemu kembali dengan ayah dan ibu mereka. mendengar hal itu, kakak-kakaknya setuju. mereka bersama-sama memulai perjalanan panjang mencari kedua orangtua mereka.","nanging, rasa kangen marang wong tuwa mulai tuwuh. si bungsu ngandharake kepriye kepengin ketemu maneh karo bapak lan ibu. krungu kuwi, para kakange setuju. wong-wong bebarengan miwiti lelampahan adoh golek wong tuwane."
Tujuh Anak Lelaki,Jambi,9,"setelah pencarian yang melelahkan, mereka akhirnya menemukan orangtua mereka yang telah tua renta dan hidup dalam kemiskinan. dengan air mata penyesalan, kedua orangtua itu meminta maaf karena telah meninggalkan anak-anak mereka di hutan. ketujuh anak itu, yang sudah dewasa dan berhati besar, memaafkan perbuatan orangtuanya.","sawise nggoleki nganthi kesel, wong-wong pungkasane nemokake wong tuwane sing wis tuwa lan urip ing kemlaratan. karo nangis nyesel, wong tuwa kuwi nyuwun pangapura amarga wis ninggal anak-anake neng alas. pitung anak kuwi, sing saiki wis gedhe lan duwe ati legawa, ngapura tumindake wong tuwane."
Tujuh Anak Lelaki,Jambi,10,"sebagai bentuk cinta dan bakti, mereka membawa kedua orangtua mereka ke pulau seberang untuk tinggal bersama. sejak saat itu, keluarga tersebut hidup bahagia dan saling mendukung satu sama lain. kisah mereka menjadi pelajaran bahwa kasih sayang dan pengampunan adalah kekuatan yang dapat menyembuhkan luka dari masa lalu.","minangka wujud katresnan lan baktine, wong-wong kuwi ngajak wong tuwane menyang pulo seberang kanggo urip bareng. wiwit wektu kuwi, kulawarga kuwi urip bahagia lan saling ndhukung siji lan sijine. critane dadi piwulang yen katresnan lan pangapura iku daya sing isa ngobati lara saka masa kepungkur."
