judul,provinsi,id_teks,teks,referensi
Tulap dan Lelaki Tua,Papua,1,"syahdan, di sebuah hutan belantara hidup seekor raksasa ganas bernama tulap. raksasa ini dikenal sebagai pemangsa manusia dan hewan-hewan hutan. tidak ada yang berani memasuki wilayahnya karena siapapun yang melanggar akan menjadi mangsanya. setiap hari, tulap berburu manusia dan hewan di hutan itu.","syahdan, ing alas belantara urip sawijining raksasa galak jenenge tulap. raksasa iki dikenal dadi pãªmangsa manungsa lan kewan-kewan alas. ora ana sing wani mlebu wilayahe merga sapa wae sing ngelanggar bakal dadi mangsane. saben dina, tulap mburu manungsa lan kewan ing alas kuwi."
Tulap dan Lelaki Tua,Papua,2,"pada suatu hari, ketika tulap sedang berburu, ia bertemu dengan seorang lelaki tua yang sedang mencari kayu bakar. tulap mendekatinya dan menghardik, apa yang kau lakukan di sini, lelaki tua lelaki tua itu gemetar ketakutan, tetapi dengan suara terputus-putus ia menjawab, aku. aku hanya mencari kayu bakar.","ing sawijining dina, nalika tulap lagi mburu, dheweke ketemu karo wong tuwa lanang sing lagi nggolek kayu bakar. tulap nyedhaki lan ngongkon, kowe ngapa nang kene, wong tuwa wong tuwa kuwi gemeteran wedi, nanging nganggo swara sing kecãªgãªlan dheweke njawab, aku. aku mung nggolek kayu bakar."
Tulap dan Lelaki Tua,Papua,3,"tulap, yang senang melihat ketakutan lelaki tua itu, memutuskan untuk tidak memangsa dia saat itu. sebagai gantinya, tulap memerintah lelaki tua itu untuk ikut mencarinya burung untuk dimakan. karena takut, lelaki tua itu terpaksa mengikuti perintah tulap sambil mencari cara untuk melarikan diri.","tulap, sing seneng ndelok wedi wong tuwa kuwi, mutusake ora mangan dheweke wektu kuwi. gantine, tulap mrentah wong tuwa kuwi kanggo melu nggolekake manuk kanggo dipangan. merga wedi, wong tuwa kuwi kepeksa nuruti prentah tulap karo mikir cara kanggo mlayu."
Tulap dan Lelaki Tua,Papua,4,"dalam perjalanan, lelaki tua menemukan jarum dan peniti di jalan. tulap memerintahnya untuk mengambil benda-benda itu. tidak lama kemudian, mereka menemukan pohon pisang dengan buah yang telah masak. tulap kembali memerintah lelaki tua untuk memetik buah-buah pisang tersebut.","nalika lumaku, wong tuwa kuwi nemu jarum lan peniti ing dalan. tulap mrentah dheweke kanggo njupuk barang-barang kuwi. ora suwi sawise kuwi, padha nemu wit gedhang sing wohe wis mateng. tulap maneh mrentah wong tuwa kuwi supaya metik woh-wohe."
Tulap dan Lelaki Tua,Papua,5,"ketika mereka melanjutkan perjalanan, mereka menemukan kayu pemukul yang biasa digunakan untuk memukul sagu. tulap menyuruh lelaki tua membawa kayu itu. dalam perjalanan berikutnya, mereka bertemu seekor tikus jantan, seekor lipan besar, dan burung mutuo yang sedang membuat sarang. tulap mengajak ketiga hewan itu untuk bergabung, dengan ancaman akan dimangsa jika mereka menolak.","nalika nerusake lelampahan, padha nemu kayu pemukul sing biasane kanggo mukul sagu. tulap nyuruh wong tuwa kuwi nggawa kayu kuwi. ing lelampahan sabanjure, padha ketemu tikus lanang, lipan gedhe, lan manuk mutuo sing lagi ndadekake susuh. tulap ngajak telu kewan kuwi kanggo melu, nganggo ancaman bakal dipangan yen ora gelem."
Tulap dan Lelaki Tua,Papua,6,"ketiganya, sama seperti lelaki tua, terpaksa menuruti perintah tulap karena takut akan ancaman raksasa itu.","ketelune, kaya wong tuwa kuwi, kepeksa nuruti prentah tulap merga wedi karo ancaman raksasa kuwi."
Tulap dan Lelaki Tua,Papua,7,"setelah berjalan jauh, tulap merasa lelah dan memutuskan untuk beristirahat. ia memerintahkan lelaki tua dan ketiga hewan itu untuk berjalan lebih dulu ke rumahnya. saat berjalan, lelaki tua mengungkapkan kekhawatirannya kepada tikus, lipan, dan burung mutuo. ia berkata, pada akhirnya, tulap akan memangsa kita semua. kita harus mencari cara untuk melenyapkannya.","sawise adoh mlaku, tulap krasa kesel lan mutusake kanggo ngaso. dheweke mrentah wong tuwa lan telu kewan kuwi supaya lumaku dhisik menyang omahe. nalika lumaku, wong tuwa kuwi ngandhakake kekuwatirane marang tikus, lipan, lan manuk mutuo. dheweke ngomong, akhire, tulap bakal mangan kita kabeh. kita kudu nggolek cara kanggo ngilangi dheweke."
Tulap dan Lelaki Tua,Papua,8,"setelah berpikir, lelaki tua mengusulkan rencana. mereka sepakat membagi tugas:","sawise mikir, wong tuwa kuwi ngajokake rencana. padha sarujuk mbagi tugas:"
Tulap dan Lelaki Tua,Papua,9,lelaki tua akan meletakkan jarum dan peniti di dekat tempat tidur tulap dan kulit pisang di depan pintu.,wong tuwa bakal nyeleh jarum lan peniti cedhak ambene tulap lan kulit gedhang ing ngarep lawang.
Tulap dan Lelaki Tua,Papua,10,tikus jantan akan menggigit telinga tulap saat tidur.,tikus lanang bakal ngigit kuping tulap wektu turu.
Tulap dan Lelaki Tua,Papua,11,lipan besar akan menggigit lengan tulap.,lipan gedhe bakal ngigit tangan tulap.
