judul,provinsi,id_teks,teks,referensi
Ular Gaib dan Si Bungsu,Bengkulu,1,"alkisah, di kaki gunung di bengkulu, hiduplah seorang ibu tua bersama tiga putrinya. suatu hari, sang ibu jatuh sakit keras.","alkisah, ana ing sak dhuwure gunung ing bengkulu, urip sawijining ibu tuwa bareng karo telu anake wadon. ing sawijining dina, sang ibu lara abot banget."
Ular Gaib dan Si Bungsu,Bengkulu,2,"ibumu hanya bisa sembuh dengan ramuan dedaunan hutan yang dimasak dengan bara api gaib dari puncak gunung, kata dukun penyembuh di desa. namun, bara itu dijaga oleh seekor ular gaib yang ganas.","ibumu mung bisa mari nganggo ramuan godhong alas sing dimasak nganggo bara geni gaib saka pucuk gunung, kandha dukun pangobat ing desa. nanging, bara kuwi dijaga dening ula gaib sing galak."
Ular Gaib dan Si Bungsu,Bengkulu,3,"mendengar itu, si sulung gemetar. aku tidak berani mengambilnya, katanya. si tengah pun menggeleng. aku juga takut.","krungu kuwi, si sulung gemeter. aku ora wani njupuke, kandhane. si tengah uga mung nggeleng. aku ya wedi."
Ular Gaib dan Si Bungsu,Bengkulu,4,"hanya si bungsu yang dengan berani berkata, aku akan pergi ke puncak gunung untuk mendapatkan bara itu demi kesembuhan ibu.","mung si bungsu sing wani lan kandha, aku bakal munggah menyang pucuk gunung kanggo njupuk bara kuwi demi marie ibu."
Ular Gaib dan Si Bungsu,Bengkulu,5,"esoknya, si bungsu memulai perjalanan menuju puncak gunung. ketika ia mendekati sarang ular gaib, bumi bergetar hebat. ular gaib itu telah mencium keberadaan manusia di dekatnya. si bungsu sangat ketakutan dan ingin melarikan diri, tetapi ia teringat pada ibunya yang sangat dicintainya. dengan keberanian yang tersisa, ia mendekati ular gaib itu.","esuke, si bungsu miwiti lelampahan menyang pucuk gunung. nalika wis nyedhaki sarange ula gaib, bumi gemeter abot. ula gaib kuwi wis ngrasa anane manungsa ing sakupenge. si bungsu wedi banget lan pingin mlayu, nanging eling karo ibune sing ditresnani banget. kanthi sisa kawani, dheweke nyedhaki ula gaib kuwi."
Ular Gaib dan Si Bungsu,Bengkulu,6,"ular yang baik, bolehkah aku meminta sebutir bara api untuk menyembuhkan ibuku pintanya dengan penuh hati-hati.","ula sing apikan, apa aku entuk nyuwun sak biji bara geni kanggo ngobati ibuku pitakone kanthi ati-ati."
Ular Gaib dan Si Bungsu,Bengkulu,7,"betapa terkejutnya ia ketika ular gaib itu menjawab, akan kuberikan bara api itu jika kau berjanji menjadi istriku.","kaget banget dheweke nalika ula gaib njawab, aku bakal maringi bara kuwi yen kowe gelem dadi bojoku."
Ular Gaib dan Si Bungsu,Bengkulu,8,"demi kesembuhan ibunya, si bungsu menyanggupi permintaan itu. ular gaib pun memberikan sebutir bara api gaib, dan si bungsu segera kembali ke desa untuk meramu obat bagi ibunya. berkat bara api itu, ibunya perlahan sembuh dari sakitnya.","demi marie ibune, si bungsu nyanggupi panyuwunan kuwi. ula gaib banjur maringi sak biji bara geni gaib, lan si bungsu langsung bali menyang desa kanggo nyiyapake obat kanggo ibune. merga bara kuwi, ibune alon-alon mari saka larane."
Ular Gaib dan Si Bungsu,Bengkulu,9,"setelah ibunya pulih, si bungsu menepati janjinya. ia kembali ke sarang ular gaib untuk menjadi istrinya. namun, betapa terkejutnya ia ketika mendapati bahwa setiap malam, ular gaib itu berubah menjadi seorang pemuda tampan dan gagah. si bungsu bahagia, meskipun tidak mengerti mengapa suaminya harus kembali menjadi ular setiap pagi.","sawise ibune mari, si bungsu nepati janji. dheweke bali menyang sarange ula gaib kanggo dadi bojone. nanging, kaget banget dheweke wektu ndelok yen saben bengi, ula gaib kuwi malih dadi pemuda bagus lan gagah. si bungsu seneng, senadyan ora ngerti kenapa bojone kudu malih dadi ula saben esuk."
Ular Gaib dan Si Bungsu,Bengkulu,10,"suatu malam, si sulung dan si tengah yang iri pada kebahagiaan si bungsu mengintip rahasia itu. mereka melihat ular gaib berubah menjadi pemuda tampan. dipenuhi rasa dengki, mereka merencanakan tindakan jahat. mereka mencuri kulit ular gaib dan membakarnya, berharap si ular gaib marah dan menyakiti si bungsu.","ing sawijining bengi, si sulung lan si tengah sing meri karo kabegjane si bungsu, nyoba ngintip rahasia kuwi. wong loro kuwi ndelok ula gaib malih dadi pemuda gagah. amarga kebak rasa dengki, wong loro kuwi ngrancang tindak ala. wong loro nyolong kulit ula gaib lan ngobonge, kanthi pangarep-arep yen ula kuwi bakal nesu lan nglarani si bungsu."
Ular Gaib dan Si Bungsu,Bengkulu,11,"namun, yang terjadi justru sebaliknya. kulit ular yang terbakar membuat sang pemuda tidak bisa lagi berubah menjadi ular. saat itu, semua orang mengetahui kebenarannya: si ular gaib sebenarnya adalah seorang pangeran kerajaan yang terkena kutukan.","nanging, sing kelakon malah kosok baline. kulit ula sing kobong ndadekake sang pemuda ora bisa bali dadi ula maneh. wektu kuwi, kabeh wong ngerti kasunyatane: ula gaib kuwi sejatine sawijining pangeran karajan sing kena kutukan."
Ular Gaib dan Si Bungsu,Bengkulu,12,"dengan kutukan yang telah hilang, sang pangeran membawa si bungsu dan ibunya ke istana kerajaan untuk hidup bahagia. sementara itu, si sulung dan si tengah menolak ikut karena malu atas perbuatan jahat mereka.","kanthi kutukan sing wis ilang, sang pangeran ngajak si bungsu lan ibune menyang istana karajan kanggo urip bebrayan bahagia. dene si sulung lan si tengah nolak melu amarga isin karo tumindak jahat sing wis dilakoni."
