judul,provinsi,id_teks,teks,referensi
Wamboro-wamboro,Papua,1,"konon, di bulan terdapat makhluk raksasa bernama wamborowamboro. badannya besar dan kekar, serta kutu di kepalanya sebesar kerbau. suatu hari, wamborowamboro turun ke bumi dan bertemu dengan seorang gadis bernama wangguunggu panda. wamborowamboro mengajak wangguunggu panda untuk saling mencari kutu di kepala masing-masing. wangguunggu panda menerima ajakan itu dengan senang hati.","konon, ing rembulan ana makhluk raksasa jenenge wamborowamboro. awake gedhe lan kekar, lan kutu ing sirahe sak gedhene kebo. ing sawijining dina, wamborowamboro mudhun menyang bumi lan ketemu karo sawijining prawan jenenge wangguunggu panda. wamborowamboro ngajak wangguunggu panda kanggo padha golek kutu ing sirahe dhewe-dhewe. wangguunggu panda nampa ajakan kuwi kanthi seneng ati."
Wamboro-wamboro,Papua,2,"ketika tiba giliran wangguunggu panda mencari kutu di kepala wamborowamboro, ia terkejut melihat kutu sebesar kerbau di kepala raksasa itu. ia merasa tidak mampu membunuhnya, sehingga memutuskan berhenti. kalau begitu, giliranku mencarikan kutumu, kata wamborowamboro. wangguunggu panda pun membaringkan diri di pangkuan wamborowamboro.","nalika tekan gilirane wangguunggu panda golek kutu ing sirahe wamborowamboro, dheweke kaget ndelok kutu sak gedhene kebo ing sirah raksasa kuwi. dheweke rumangsa ora kuwat mateni, mula mutusake mandheg. yen ngono, gilirane aku nggolekke kutumu, kandha wamborowamboro. wangguunggu panda banjur ngedhelekake awake ing pangkonane wamborowamboro."
Wamboro-wamboro,Papua,3,"namun, wangguunggu panda segera merasakan perih di kepalanya. ia merasa kulit kepalanya dicungkil dengan belati tajam. meski berusaha meronta, ia tidak mampu melepaskan diri. wamborowamboro ternyata bukan mencari kutu, melainkan mencungkil otak wangguunggu panda hingga gadis itu tewas.","nanging, wangguunggu panda langsung krasa perih ing sirahe. dheweke rumangsa kulit sirahe dicungkil nganggo belati landhep. senajan nyoba ngelawan, dheweke ora bisa uwal. wamborowamboro jebul ora nggoleki kutu, nanging nyungkil otake wangguunggu panda nganti prawan kuwi mati."
Wamboro-wamboro,Papua,4,"setelah kejadian itu, wamborowamboro naik kembali ke bulan dengan menaiki pohon kelapa. sambil naik, ia mengucapkan mantra, ende bhawo naik tinggi, ende bhawo naik tinggi, hingga pohon itu mencapai bulan.","sawise kedadean kuwi, wamborowamboro munggah maneh menyang rembulan nganggo wit klapa. sambil munggah, dheweke ngucap mantra, ende bhawo munggah dhuwur, ende bhawo munggah dhuwur, nganti wit kuwi tekan rembulan."
Wamboro-wamboro,Papua,5,"untungnya, setetes darah wangguunggu panda tersisa di balik papan rumahnya. seekor burung gagak yang mendengar suara jeritan menemukan setetes darah itu dan mencoba menghidupkan wangguunggu panda kembali. atas izin tuhan, wangguunggu panda hidup kembali.","untunge, sethithik getihe wangguunggu panda isih ana ing mburi papan omahe. manuk gagak sing krungu swara jerit nemokake sethithik getih kuwi lan nyoba nguripke wangguunggu panda maneh. kanthi idin gusti allah, wangguunggu panda urip maneh."
Wamboro-wamboro,Papua,6,"burung gagak menyarankan agar wangguunggu panda membalas dendam pada wamborowamboro. dengan mengikuti petunjuk burung gagak, wangguunggu panda menaiki pohon kelapa dan mengucapkan mantra yang sama hingga tiba di bulan. ia menemukan wamborowamboro sedang tidur pulas di gubuknya. diam-diam, wangguunggu panda membungkus gubuk itu dengan ijuk dan membakarnya. wamborowamboro tewas terpanggang dalam kobaran api. kisah ini menjadi pelajaran tentang keberanian melawan kejahatan.","manuk gagak menehi saran supaya wangguunggu panda males dendam marang wamborowamboro. kanthi ngetutake petunjuk manuk gagak, wangguunggu panda munggah wit klapa lan ngucap mantra sing padha nganti tekan rembulan. dheweke nemu wamborowamboro lagi turu nyenyak ing gubuge. alon-alon, wangguunggu panda mbungkus gubug kuwi nganggo ijuk lan ngobonge. wamborowamboro mati kebakar ing kobongan geni. crita iki dadi piwulang bab kawani nglawan piala."
Wamboro-wamboro,Papua,7,"di masa lalu, sekelompok masyarakat hidup dalam waswas di sebuah pelosok desa karena teror dari gerombolan perompak yang kerap datang dan menyiksa penduduk. orang-orang tua di desa sering menjadi korban kekerasan, tetapi banyak pula yang melakukan perlawanan meskipun harus gugur.","ing jaman biyen, sak klompok masyarakat urip waswas ing pojok desa merga teror saka gerombolan perompak sing kerep teka lan nyiksa warga. wong-wong tuwa ing desa kerep dadi korban kekerasan, nanging akeh uga sing nindakke perlawanan sanajan kudu gugur."
Wamboro-wamboro,Papua,8,"biarlah badan ini hancur, asal tanah tumpah darah tetap berdiri, demikian tekad mereka.","ben awak iki ajur, sing penting tanah tumpah darah tetep ngadeg, kuwi tekade."
Wamboro-wamboro,Papua,9,"suatu hari, dua kapal besar datang ke perairan desa. penduduk segera menyadari bahwa kapal itu milik gerombolan perompak. mereka memutuskan untuk bersatu dan melawan. di tengah kekhawatiran itu, muncul seorang pemuda gagah berani. ia turun ke laut dengan mendayung sampan sendirian menuju kapal perompak.","ing sawijining dina, loro kapal gedhe teka ing perairan desa. warga langsung ngerti yen kapal kuwi duweke gerombolan perompak. padha mutusake kanggo nyawiji lan nglawan. ing tengah rasa kuatir kuwi, muncul sawijining nom-noman gagah wani. dheweke mudhun menyang laut kanthi ngdayung sampan dhewe munggah kapal perompak."
Wamboro-wamboro,Papua,10,"setibanya di kapal, pemuda itu menghadapi para perompak seorang diri. dengan keberanian dan keahliannya, ia berhasil mengalahkan semua perompak. atas izin allah swt, pemuda itu menang dan membakar kapal perompak hingga tenggelam. sebagai bukti sejarah, hingga kini, dua tangki solar dari kapal tersebut masih terlihat di atas karang saat air laut surut.","tekan kapal, nom-noman kuwi ngadhepi perompak dhewekan. kanthi kawani lan kaprigelan, dheweke bisa ngalahake kabeh perompak. kanthi idin allah swt, nom-noman kuwi menang lan ngobong kapal perompak nganti klelep. minangka bukti sajarah, nganthi saiki, loro tangki solar saka kapal kuwi isih katon ing ndhuwure karang nalika banyu laut surut."
