judul,provinsi,id_teks,teks,referensi
Woiram,Papua,1,"pada masa silam, di kampung merem, papua, hiduplah seorang lelaki bernama woiram dan istrinya, bonadebu. rumah tangga mereka tampak harmonis dari luar, tetapi sejatinya penuh ketegangan. woiram menikahi bonadebu hanya demi menjaga harga dirinya sebagai lelaki, tanpa niat memiliki keturunan. ia bahkan tinggal terpisah dari istrinya. sebagai wanita normal, bonadebu tentu ingin memiliki anak, namun keinginannya selalu diabaikan oleh woiram.","ing jaman mbiyen, ana ing kampung merem, papua, urip sawijining wong lanang jenenge woiram lan bojone, bonadebu. omah tangga kuwi katon harmonis saka njaba, nanging sakjerone kebak ketegangan. woiram nikah karo bonadebu mung kanggo njaga ajining dhirine minangka wong lanang, tanpa niyat nduwe keturunan. dheweke malah manggon pisah saka bojone. minangka wanita normal, bonadebu mesthi pengin nduwe anak, nanging keprigelan kuwi tansah diabaikan dening woiram."
Woiram,Papua,2,"suatu hari, setelah bertahun-tahun pernikahan tanpa anak, woiram mulai merasa hampa dan ingin memiliki keturunan. namun, ia malu mengungkapkan keinginannya kepada bonadebu. setiap malam, ia hanya berdoa kepada dewa, berharap keinginannya terkabul.","sasi sawijining dina, sawise pirang-pirang taun nikah tanpa anak, woiram wiwit ngerasakake kekosongan lan kepengin nduwe keturunan. nanging, dheweke isin ngungkapkake keprigelan kuwi marang bonadebu. saben wengi, dheweke mung ndonga marang dewa, ngarep keprigelane dikabulke."
Woiram,Papua,3,"pagi itu, ketika woiram sedang membuat tali busur panah, ia tak sengaja melukai jarinya dengan pisau. darah yang mengalir deras ia masukkan ke dalam tempayan air di kamarnya. setelah itu, ia menutup tempayan dan pergi berkebun bersama bonadebu.","esuk kuwi, wektu woiram lagi nggawe tali busur panah, jarine ora sengaja kesabet piso. getihe sing mili akeh langsung dilebokke ing tempayan banyu ing kamare. sawise kuwi, dheweke nutup tempayan lan lunga menyang kebon bareng bonadebu."
Woiram,Papua,4,"malam harinya, woiram terbangun oleh suara tangisan anak kecil. awalnya, ia mengira sedang bermimpi, tetapi suara itu semakin jelas. ketika ia membuka tempayan, ia terkejut melihat seorang anak laki-laki kecil duduk di dalamnya. anak itu tampak sehat dan sempurna. woiram yakin, dewa telah mengubah air bercampur darahnya menjadi seorang anak. anak itu diberi nama woiwallytmang.","wengi dina kuwi, woiram tangi merga krungu swara tangisan bocah cilik. awale, dheweke ngira lagi ngimpi, nanging swarane saya cetha. nalika mbukak tempayan, dheweke kaget weruh ana bocah lanang cilik lungguh ana ing jerone. bocah kuwi katon sehat lan sampurna. woiram yakin yen dewa wis ngowahi banyu campur getihe dadi bocah. bocah kuwi dijenengke woiwallytmang."
Woiram,Papua,5,"karena takut bonadebu salah paham, woiram menyembunyikan keberadaan woiwallytmang. ia membangun sebuah rumah kecil di tengah hutan untuk anak itu. setiap hari, woiram mengunjungi woiwallytmang dan memberinya makan. hari demi hari berlalu, woiwallytmang tumbuh menjadi pemuda yang gagah, mahir berburu, dan berkebun, seperti ayahnya.","merga wedi bonadebu salah paham, woiram ndhelikake anane woiwallytmang. dheweke mbangun omah cilik ing tengah alas kanggo bocah kuwi. saben dina, woiram ngunjungi woiwallytmang lan maringi panganan. dina demi dina mlaku, woiwallytmang tuwuh dadi nom-noman sing gagah, pinter mburu, lan trampil nggarap kebon, kaya bapake."
Woiram,Papua,6,"suatu hari, saat berburu, woiwallytmang tak sengaja memasuki kebun milik seorang perempuan yang ternyata adalah bonadebu, ibunya sendiri. bonadebu terkejut saat mengetahui woiwallytmang adalah putra woiram, suaminya. namun, ia menahan amarahnya dan dengan ramah mengajak woiwallytmang pulang ke rumah woiram.","sasi sawijining dina, wektu mburu, woiwallytmang ora sengaja mlebu kebon duweke sawijining wanita sing jebule ya bonadebu, ibune dhewe. bonadebu kaget nalika ngerti yen woiwallytmang iku putrane woiram, bojone. nanging, dheweke nahan nesune lan kanthi ramah ngajak woiwallytmang bali menyang omahe woiram."
Woiram,Papua,7,"di perjalanan, mereka berhenti di sungai wasi untuk menangkap udang. ketika bonadebu sibuk, woiwallytmang memasuki sebuah gua dan bertemu dua putri kepala adat, mesi dan mesam, yang juga sedang mencari udang. woiwallytmang jatuh cinta pada mesi dan sering kembali ke sungai untuk bertemu dengannya.","ing perjalanan, dheweke mandheg ing sungai wasi kanggo nyekel udang. nalika bonadebu sibuk, woiwallytmang mlebu guwa lan ketemu karo loro putri kepala adat, mesi lan mesam, sing uga lagi nyekel udang. woiwallytmang tresna marang mesi lan kerep bali menyang kali kanggo ketemu karo dheweke."
Woiram,Papua,8,"setelah beberapa waktu, woiwallytmang melamar mesi. kepala adat setuju dan mengadakan pesta besar untuk pernikahan mereka. namun, ketika woiram hadir di pesta, ia merasa diabaikan karena tidak dihormati sebagai ayah pengantin laki-laki. penduduk yang mendengar cerita bonadebu salah paham dan menganggap woiram telah mengasingkan anaknya.","sawise sawetara wektu, woiwallytmang nglamar mesi. kepala adat sarujuk lan nganakake pesta gedhe kanggo pernikahane. nanging, wektu woiram teka ing pesta, dheweke krasa diabaikan merga ora diurmati minangka bapake penganten lanang. warga sing krungu critane bonadebu salah paham lan nganggep yen woiram wis ngasingake anake."
Woiram,Papua,9,"merasa kecewa, woiram berdoa kepada dewa untuk memberinya keadilan. tak lama, hujan deras turun tanpa henti. semua hidangan pesta berubah menjadi batu, dan banjir besar menenggelamkan kampung merem. penduduk kampung hanyut terbawa arus, kecuali woiwallytmang, mesi, dan woiram, yang berhasil menyelamatkan diri dengan memanjat pohon pinang.","krasa kecewa, woiram ndonga marang dewa supaya diparingi keadilan. ora suwe, udan deres tumiba tanpa mandheg. kabeh panganan pesta malih dadi watu, lan banjir gedhe ngrendem kampung merem. warga kampung kabeh kabawa arus, kejaba woiwallytmang, mesi, lan woiram, sing bisa nylametke dhiri kanthi manjat wit pinang."
Woiram,Papua,10,"setelah banjir surut, woiram membawa woiwallytmang dan mesi ke sungai wasi. ia memberi mereka nasihat untuk selalu berdoa kepada dewa agar diberi keturunan yang banyak. setelah itu, woiram melangkah ke atas sebuah batu besar dan tiba-tiba menghilang. batu tersebut dipercaya sebagai tempat moksa woiram.","sawise banjir surut, woiram ngajak woiwallytmang lan mesi menyang sungai wasi. dheweke maringi nasehat supaya tansah ndonga marang dewa supaya diparingi keturunan sing akeh. sawise kuwi, woiram munggah menyang watu gedhe lan dumadakan ilang. watu kuwi dipercaya minangka panggonan moksa-ne woiram."
